Date,MU
2021-07-13,-0.01395177451372398
2021-07-14,0.0005102254017450569
2021-07-15,-0.020002577736549898
2021-07-16,-0.024830771640632743
2021-07-19,-0.0057328108765906105
2021-07-20,0.010860854565426736
2021-07-21,0.023875977133691384
2021-07-22,-0.021505587781592395
2021-07-23,0.005428161490756533
2021-07-26,0.004740611887475987
2021-07-27,-0.027260467031659963
2021-07-28,0.01791963902454663
2021-07-29,0.020251469327703386
2021-07-30,0.0064869094009942785
2021-08-02,0.0007733152583833114
2021-08-03,0.041473516632426044
2021-08-04,0.013850830422828198
2021-08-05,-0.005977024131418984
2021-08-06,0.006258559361935312
2021-08-09,-0.021829400033318458
2021-08-10,-0.05360930832787503
2021-08-11,-0.011592717519086748
2021-08-12,-0.06370764754549141
2021-08-13,0.009536938750803747
2021-08-16,0.0001414307318168273
2021-08-17,-0.0021146529976979744
2021-08-18,-0.0022609551701028296
2021-08-19,-0.004814115407817177
2021-08-20,-0.0007114777808751027
2021-08-23,0.02150056799439315
2021-08-24,0.0033456145097829904
2021-08-25,0.028618931707999007
2021-08-26,-0.017152812003608076
2021-08-27,0.016902545391521695
2021-08-30,-0.011351554464623992
2021-08-31,0.00738117795344162
2021-09-01,0.0002715547656853001
2021-09-02,0.003662340835216993
2021-09-03,-0.0024326161107601774
2021-09-07,-0.002303397155702047
2021-09-08,-0.018603908432515248
2021-09-09,0.008302101350657232
2021-09-10,0.008645608329881371
2021-09-13,0.011564816804798816
2021-09-14,-0.011567191193604609
2021-09-15,0.0044902634837256095
2021-09-16,0.010972778754207546
2021-09-17,-0.004421568270802645
2021-09-20,-0.025976039014708685
2021-09-21,-0.0031776769303768493
2021-09-22,0.025366994177938862
2021-09-23,0.0009463377722467303
2021-09-24,0.0001351538704095212
2021-09-27,0.015260074760947928
2021-09-28,-0.027667195650076692
2021-09-29,-0.01997229411986956
2021-09-30,-0.007827739280092616
2021-10-01,0.0001405634690843094
2021-10-04,-0.0052121137015153085
2021-10-05,-0.0016990119134401294
2021-10-06,-0.007943324409154573
2021-10-07,0.008578657804339862
2021-10-08,-0.005954005429889886
2021-10-11,-0.012835177833727118
2021-10-12,-0.0361167750896062
2021-10-13,-0.005095897180376396
2021-10-14,0.021392173207041676
2021-10-15,-0.0017704850326947241
2021-10-18,-0.006205148546306161
2021-10-19,0.004608924984538909
2021-10-20,0.010359246423243818
2021-10-21,0.005420119020370873
2021-10-22,-0.016462727029657676
2021-10-25,0.018515796697732734
2021-10-26,0.002617740366697374
2021-10-27,-0.010153723617533528
2021-10-28,0.019636452899212786
2021-10-29,-0.006898637183134548
2021-11-01,0.023154970441197076
2021-11-02,0.0008483788802393644
2021-11-03,0.006925149336954872
2021-11-04,0.013894744829687111
2021-11-05,0.00941291011343015
2021-11-08,0.02249033661039279
2021-11-09,0.0138147367670991
2021-11-10,-0.02884007646586706
2021-11-11,0.015529572536047809
2021-11-12,0.03688803174748889
2021-11-15,-0.006727363436311196
2021-11-16,0.00039075168107172153
2021-11-17,-0.017575838519027442
2021-11-18,0.020673176877335386
2021-11-19,0.07803168839384256
2021-11-22,0.00999646001444221
2021-11-23,0.018483339289820266
2021-11-24,0.00936644838880385
2021-11-26,-0.03236299363332673
2021-11-29,0.03260611189690654
2021-11-30,-0.024843322797485357
2021-12-01,0.01369051389351239
2021-12-02,-0.02665861296192573
2021-12-03,-0.015202821653351961
2021-12-06,0.010168767267424439
2021-12-07,0.040994988687495626
2021-12-08,0.002213545969197206
2021-12-09,-0.01267146224774196
2021-12-10,0.0071825674010221885
2021-12-13,-0.013911956643257506
2021-12-14,-0.012566470701021015
