Date,AAPL
2021-07-13,0.007889194217566509
2021-07-14,0.024100576137738194
2021-07-15,-0.0044921746676235275
2021-07-16,-0.014076075731824012
2021-07-19,-0.02691414549058402
2021-07-20,0.025973807618502986
2021-07-21,-0.005131499700575914
2021-07-22,0.00962840754889882
2021-07-23,0.011989084836709685
2021-07-26,0.002894561564542597
2021-07-27,-0.014900058112895409
2021-07-28,-0.012196418741861392
2021-07-29,0.004552494921187256
2021-07-30,0.0015109078366641882
2021-08-02,-0.002331145927631506
2021-08-03,0.012644021405303407
2021-08-04,-0.002782158872425722
2021-08-05,0.0007484530000596568
2021-08-06,-0.004766887979622769
2021-08-09,-0.00034193950612038115
2021-08-10,-0.0033543360498844432
2021-08-11,0.001785710643378735
2021-08-12,0.020773293763521883
2021-08-13,0.0014104182827163747
2021-08-16,0.013547782582159273
2021-08-17,-0.006153776138499212
2021-08-18,-0.025500811034650406
2021-08-19,0.002322803716998667
2021-08-20,0.010157015647864531
2021-08-23,0.010256559546584887
2021-08-24,-0.0006008560031622867
2021-08-25,-0.008421220221333625
2021-08-26,-0.005527286810483756
2021-08-27,0.007184526951192982
2021-08-30,0.030417093107282023
2021-08-31,-0.008424521228460269
2021-09-01,0.004478549074872884
2021-09-02,0.007474936303055957
2021-09-03,0.004230588701570337
2021-09-07,0.01548908537276561
2021-09-08,-0.010083530814906316
2021-09-09,-0.006704905264594108
2021-09-10,-0.033101736897182654
2021-09-13,0.003893118453563993
2021-09-14,-0.009561792213376386
2021-09-15,0.006143548704017121
2021-09-16,-0.0016105721327809297
2021-09-17,-0.01834786825370016
2021-09-20,-0.021360934916926477
2021-09-21,0.0034278193450520966
2021-09-22,0.01687240116527189
2021-09-23,0.006719177353295525
2021-09-24,0.0006130671989355019
2021-09-27,-0.010549806378184257
2021-09-28,-0.023801480073967096
2021-09-29,0.00648299413238318
2021-09-30,-0.009311825558832698
2021-10-01,0.00812703052872421
2021-10-04,-0.02460541346051126
2021-10-05,0.014158311023158454
2021-10-06,0.006307293846276263
2021-10-07,0.009084351643189104
2021-10-08,-0.0027219657058282776
2021-10-11,-0.0006295995578364799
2021-10-12,-0.009102985444307654
2021-10-13,-0.00424017824035694
2021-10-14,0.02022572366848374
2021-10-15,0.00751249817882127
