Date,XOM
2021-07-13,-0.004741018394464835
2021-07-14,-0.022174696057415955
2021-07-15,-0.009743028217977234
2021-07-16,-0.027650628650328413
2021-07-19,-0.03436819598164309
2021-07-20,0.011020517971219501
2021-07-21,0.03216578102858114
2021-07-22,-0.011253387751667954
2021-07-23,-0.0012256644240304926
2021-07-26,0.02524528701942974
2021-07-27,-0.011114602349279301
2021-07-28,0.006743715121499738
2021-07-29,0.012195102744839037
2021-07-30,-0.023078291114493
2021-08-02,0.0001738437677287763
2021-08-03,0.010767681826451492
2021-08-04,-0.02336791556078921
2021-08-05,0.006333590444218329
2021-08-06,0.01153836874898162
2021-08-09,-0.011406753421772442
2021-08-10,0.01713286536731684
2021-08-11,0.002921994158375796
2021-08-12,-0.0022615796942451194
2021-08-13,-0.010113474686940016
2021-08-16,-0.014620320351918736
2021-08-17,-0.006792936379557024
2021-08-18,-0.02105817014375244
2021-08-19,-0.030520560452697243
2021-08-20,0.00018971142280310715
2021-08-23,0.04114535535372421
2021-08-24,0.008195285340127256
2021-08-25,0.0018063345383450002
2021-08-26,-0.013523488990127563
2021-08-27,0.019374948664958813
2021-08-30,-0.01093786466229707
2021-08-31,-0.011602477057497396
2021-09-01,-0.013756240072047898
2021-09-02,0.024362940391541743
2021-09-03,-0.003812733611928021
2021-09-07,-0.005832186644458837
2021-09-08,-0.009165868010043488
2021-09-09,0.0007400626926767906
2021-09-10,-0.002033604742250228
2021-09-13,0.025750380300000097
2021-09-14,-0.01426748454448279
2021-09-15,0.03371171980287069
2021-09-16,-0.0106343091529294
2021-09-17,-0.011823951904828434
2021-09-20,-0.026649696631278808
2021-09-21,-0.0009312600383203362
2021-09-22,0.029269209386818762
2021-09-23,0.033871020912726424
2021-09-24,0.008934614317695155
2021-09-27,0.029692563645211
2021-09-28,0.01045529766586295
2021-09-29,-0.0006675631322752285
2021-09-30,-0.017701825549548134
2021-10-01,0.03587189192463791
2021-10-04,0.012965841087468455
2021-10-05,-0.0016204185765459345
2021-10-06,-0.018338067133452873
2021-10-07,0.002810315255387996
2021-10-08,0.02505778947299464
2021-10-11,-0.009971037347556777
2021-10-12,-0.0051981564683613035
2021-10-13,-0.0027760449364853113
2021-10-14,0.015228478950616076
2021-10-15,0.009516018828369388
2021-10-18,-0.0004792602680536717
2021-10-19,0.015025538152162898
2021-10-20,0.005511881529574714
2021-10-21,-0.018167469853270446
2021-10-22,0.006858870356846625
2021-10-25,0.019486755029671565
2021-10-26,0.023154547104472734
2021-10-27,-0.02597184164797417
2021-10-28,0.0028066491683609307
2021-10-29,0.0024880431160616556
2021-11-01,0.017992685742914905
2021-11-02,-0.01234188151347837
2021-11-03,-0.013730236200612755
2021-11-04,0.0075083544881464626
2021-11-05,0.009470440370639155
2021-11-08,0.01076605573026912
2021-11-09,0.009738031711842066
2021-11-10,-0.019700521743415078
2021-11-11,0.0018693919370036394
2021-11-12,-0.007619390265840242
2021-11-15,0.008618180700950662
2021-11-16,0.010097724109217276
2021-11-17,-0.010919715081129766
2021-11-18,-0.010884773942012371
2021-11-19,-0.0462190793510745
2021-11-22,0.013845403050006588
2021-11-23,0.026337266870012366
2021-11-24,0.005544007011575758
2021-11-26,-0.03512917602503529
2021-11-29,0.005551053929752081
2021-11-30,-0.02841365709569399
2021-12-01,-0.0008355664753453285
2021-12-02,0.02492055480309907
2021-12-03,-0.00636434043698153
2021-12-06,0.011331905650568741
2021-12-07,0.011204932413636515
2021-12-08,0.0028905119999187434
2021-12-09,0.002562136904240786
2021-12-10,0.006388866072894128
2021-12-13,-0.02190134644717623
2021-12-14,-0.0014603366323231448
2021-12-15,-0.0043873445887799845
2021-12-16,0.0016321299768962128
2021-12-17,-0.021834904288578816
2021-12-20,-0.014492694449985244
2021-12-21,0.02265050236064048
2021-12-22,0.008099148814115997
2021-12-23,0.0004918868984551406
2021-12-27,0.014257560813872638
2021-12-28,-0.0032314876025262285
2021-12-29,-0.008753353282547227
2021-12-30,-0.005887343646812426
2021-12-31,0.006580143436145436
2022-01-03,0.03840505462366672
2022-01-04,0.037613834645400246
2022-01-05,0.012437578575966945
2022-01-06,0.023520608622602968
2022-01-07,0.00819670580653531
2022-01-10,-0.005952417152101819
2022-01-11,0.04206227911037419
2022-01-12,-0.0029431304772646882
2022-01-13,-0.007169067913426974
2022-01-14,0.01755632244652694
2022-01-18,0.016835869049019347
2022-01-19,0.00041057251358189717
2022-01-20,0.0021885572680613308
2022-01-21,-0.015012811943297844
2022-01-24,0.008590877077372827
2022-01-25,0.0293993222228357
2022-01-26,-0.01014256410805392
2022-01-27,0.01280806717228078
2022-01-28,0.002129938593414815
2022-01-31,0.009032999288214327
2022-02-01,0.06411273006314921
2022-02-02,-0.0025979507713634886
2022-02-03,-0.011659817964935093
2022-02-04,0.02171209281926112
2022-02-07,0.012037794876982533
2022-02-08,-0.025852589483262967
2022-02-09,-0.004787166055218117
2022-02-10,-0.009620163333894927
2022-02-11,0.025178817804919706
2022-02-14,-0.015334736521894654
2022-02-15,-0.012534737332250967
2022-02-16,0.0046158021202307165
2022-02-17,-0.001531568963187513
2022-02-18,-0.011120879249656768
2022-02-22,-0.011634391389937382
2022-02-23,0.004054711045058168
2022-02-24,-0.012635045161740743
2022-02-25,0.026912805593958034
2022-02-28,0.007451291926823478
2022-03-01,0.00956373234318919
2022-03-02,0.017178259613815028
2022-03-03,0.006333042784270715
2022-03-04,0.03763566885188596
2022-03-07,0.03603295541433593
2022-03-08,0.007575809699885694
2022-03-09,-0.05684692400844704
2022-03-10,0.0310426250886795
2022-03-11,-0.005154640239879993
2022-03-14,-0.03579848141809605
2022-03-15,-0.05691254720104211
2022-03-16,-0.0037554451557519908
2022-03-17,0.026647662441324105
2022-03-18,-0.003925001849941823
2022-03-21,0.044870825206895004
2022-03-22,-0.004379397507374483
2022-03-23,0.0157623891542924
2022-03-24,0.0030070420220285055
2022-03-25,0.021828041520314034
2022-03-28,-0.028051628098165415
2022-03-29,-0.005313369017656333
2022-03-30,0.017117898340948123
2022-03-31,-0.014203829269124113
2022-04-01,0.006417148143115892
2022-04-04,0.0004813670442271878
2022-04-05,-0.0051706954914036984
2022-04-06,0.011120328979151495
2022-04-07,0.016736357581837558
2022-04-08,0.021046521992384104
2022-04-11,-0.03443103135350045
2022-04-12,0.020870228895283116
2022-04-13,0.014135700583642885
2022-04-14,0.01174979691307887
2022-04-18,0.008197547259495286
2022-04-19,-0.00892130619119813
2022-04-20,0.002278879026156977
2022-04-21,-0.010572974186397466
2022-04-22,-0.02183165369487039
2022-04-25,-0.03371295527840523
2022-04-26,0.0003642370444827403
2022-04-27,0.028557934380648575
2022-04-28,0.030245695898146074
2022-04-29,-0.022362370192483105
2022-05-02,0.013607031888747345
2022-05-03,0.020599486484382812
2022-05-04,0.039800482820220306
2022-05-05,-0.015158220845319814
2022-05-06,0.015280841452131266
2022-05-09,-0.07885283846606739
2022-05-10,0.006630340759938402
2022-05-11,0.020818904345244027
2022-05-12,0.00453942840009991
2022-05-13,0.02966403776095805
2022-05-16,0.023519963094387863
2022-05-17,0.012754452987238318
2022-05-18,-0.01585046404587065
2022-05-19,0.0054052560785187165
2022-05-20,0.007899959378147692
2022-05-23,0.02209898464355664
2022-05-24,0.005431548594028612
2022-05-25,0.0201273199585017
2022-05-26,0.003530564092899091
2022-05-27,0.009830214497024814
2022-05-31,-0.016292274925277073
2022-06-01,0.019166430120937772
2022-06-02,-0.0017375411264738405
2022-06-03,0.014538630448468703
2022-06-06,-0.0025230210702903433
2022-06-07,0.045831874871717915
2022-06-08,0.011802066374552611
2022-06-09,-0.021608126772037495
2022-06-10,-0.018274067179260278
2022-06-13,-0.04588908871683184
2022-06-14,0.0026083063432678077
2022-06-15,-0.012590844847777616
2022-06-16,-0.03688497757402187
2022-06-17,-0.05766492059018302
2022-06-21,0.062238856130707454
2022-06-22,-0.03957150667621512
2022-06-23,-0.030161840850918553
2022-06-24,0.019833481251920748
2022-06-27,0.02451082623076517
2022-06-28,0.027743477869265565
2022-06-29,-0.036939842122739486
2022-06-30,-0.028143256432388575
2022-07-01,0.02230256582158141
2022-07-05,-0.031296278485920204
2022-07-06,-0.018040636778951735
2022-07-07,0.03194057113975335
2022-07-08,0.001628969750750553
2022-07-11,-0.0051112930748384855
2022-07-12,-0.013311644976611858
2022-07-13,0.004023486238683649
2022-07-14,-0.020037841828889347
2022-07-15,0.016839148080664668
2022-07-18,0.01845290002674238
2022-07-19,0.02520343032981187
2022-07-20,0.010988907792559788
2022-07-21,-0.016696574983571022
2022-07-22,-0.007635280494759367
2022-07-25,0.033302604656196166
2022-07-26,-0.0038897714487750035
2022-07-27,0.021644729169274957
2022-07-28,0.01168509141734475
2022-07-29,0.04630797739404624
2022-08-01,-0.02527564258540549
2022-08-02,-0.0043397149955208825
2022-08-03,-0.03242277321673215
