Date,DNUT,KO,MARA,MU,NVDA,RIOT,RR,RZLV,VOO,VTI,CASH
2023-11-20,-0.013036852537734123,0.0024451581169278036,0.0640000343322753,0.01366683739869523,0.02253635204685489,0.0801526898166871,0.07809520903087797,0.00186050769894619,0.007530468511267152,0.007529979146790655,0.0
2023-11-21,-0.006215937599670318,0.01097550831243832,-0.03101502942273393,-0.024294004148906034,-0.009224620320745225,-0.013250850050716911,-0.01943456884147099,-0.0018570526382154506,-0.0026110257854515817,-0.0027136615372581607,0.0
2023-11-22,0.016419085879986195,0.006720590107405888,0.05916582268188919,0.0050840366550237714,-0.024587443108314067,0.03849599840991713,-0.06126128664923014,-0.00186050769894619,0.004323382018309507,0.0042821566132311695,0.0
2023-11-24,0.006153777747467171,0.0025677118479032757,0.04487177359841765,-0.002983127145967601,-0.019295303858291146,0.0362069019381126,-0.11324379045450728,0.0037279512799501813,0.0005500536328759686,0.0010661325280421075,0.0
2023-11-27,0.0015290350947259057,-0.001878043757120862,-0.011393524643245612,0.008326008416382091,0.009753661056494334,-0.01663899794698187,-0.012987000923330161,0.0,-0.0017447837684170242,-0.0012867253142471169,0.0
2023-11-28,-0.007633503578761469,0.002052707079944316,0.09751776662320744,-0.017933453651491793,-0.008726756315919793,0.08798646266534371,0.02192980392267585,-0.0037141052764309013,0.0009815758255400375,0.0006219901661901339,0.0
2023-11-29,0.0,-0.005974797806745036,0.001615468812962595,0.007488217862023694,0.0066706345583738,0.010886496660990286,-0.10085832737798495,-0.0009318989407370859,-0.0006458508902060789,0.00044382197493830766,0.0
2023-11-30,0.0,0.011597799724244906,-0.0346773681233733,-0.007432561224303247,-0.028458591952732593,-0.03461536994347203,0.019093060289627983,0.0055969649671485655,0.003877685383218754,0.004127376615589151,0.0
2023-12-01,0.017692223686501363,0.0034222627582523035,0.14452794516651646,-0.0024961063472838108,-0.00010683928491961314,0.09721117517826672,0.04918033702225122,0.0,0.005865494412174099,0.00844168865365269,0.0
2023-12-04,0.014361252324228913,-0.0011936788108057872,0.0846715228877315,-0.021598841959551973,-0.02683654346328157,0.08932458252336817,0.12276789919492215,0.0,-0.0050254035920451745,-0.00359381914672785,0.0
2023-12-05,-0.014157926765560824,0.0015366140809560669,0.028263801211140693,-0.008076376564854382,0.023293753627682046,0.009333356221516986,-0.011928512348707287,0.0,-0.00030968530820052464,-0.0019354139079216237,0.0
2023-12-06,-0.017384650560080872,-0.0010228842917903158,0.017015722082822204,-0.007599382224887208,-0.022827917732901937,-0.025099082286910934,0.0241449431513181,-0.0027829066525332236,-0.00417063061318379,-0.004230707069045714,0.0
2023-12-07,0.0038461486463445826,0.0023891272035965194,-0.0019304847519198143,0.007110560281524014,0.024020452899074618,0.008130073421291018,0.003929269219441034,0.004651180533475685,0.00782569728983984,0.008010582510511677,0.0
2023-12-08,0.0030651000433510323,-0.002213137800975984,0.08188268465649351,0.01778673341776571,0.019529769548325193,0.06384407271228265,-0.019569452450051816,0.0,0.004250556378248449,0.004785803924934218,0.0
2023-12-11,0.01145918865438511,0.0073365512282213,-0.12693688801874803,0.03775366087667886,-0.0185031130450245,-0.11433982783738605,-0.005189625089894734,-0.0009259471023357335,0.0038777334914652517,0.004107357669463241,0.0
2023-12-12,-0.0067975442586326595,0.006436316739890646,0.016382302460193454,0.004756428222497222,0.022090371222112104,0.0032096377425372413,-0.04093097667611989,0.0,0.004969835494430974,0.003786231786811367,0.0
2023-12-13,0.057034140069557315,0.008582966397427727,0.12558763213176571,0.020854595173737556,0.00904366763044373,0.08354071992818657,0.0041840962444885665,-0.0018535221649732536,0.013617153660725911,0.0155206266362935,0.0
2023-12-14,0.026618795950475116,-0.014850659182220505,0.06324579066029656,0.030079040300079907,0.005448166835580137,0.033464582450214664,-0.014583368516629225,-0.0027855789573232315,0.0029364618354641436,0.005934066008255856,0.0
2023-12-15,-0.004204783320779781,-0.007452548028546557,0.026374928661734742,-0.00949021231368985,0.011168671066614122,-0.007619040352957573,-0.004228325760225138,0.0,-0.0015216671360065437,-0.0013580020711644325,0.0
2023-12-18,0.019000665964330476,0.00716724163380289,0.08693264984417937,0.0018423412283876672,0.0242790225976941,0.049264203355823044,0.019108312496595836,0.0,0.005657015508898855,0.004334727905247027,0.0
2023-12-19,0.020718274049206897,-0.0032192835410714826,0.10513079682178916,0.007479140147237162,-0.009445395931959255,0.01707321299746467,0.05624999379118312,0.0,0.006084376889139431,0.007320282693598967,0.0
2023-12-20,-0.0006765494905762726,-0.020737664197691186,0.005917208565237031,-0.042351139131019955,-0.030098464338250808,-0.013788941128793586,-0.015779171170520412,0.0,-0.014434271295662549,-0.014912289442514659,0.0
2023-12-21,0.017603253232345573,0.006596079158360357,0.12126698004145253,0.08628805037368315,0.01827043885123203,0.018237034841750432,0.10220445937366329,-0.0018621512584328093,0.009742108679643202,0.011057516456933536,0.0
2023-12-22,-0.0006652961431856674,0.0056906511347674105,0.07788532463065123,0.01181553539682545,-0.0032662203469948636,0.061492578307194456,0.020000024275346195,0.0,0.0023258151120555404,0.0022872037446859395,0.0
2023-12-26,0.01597864746474409,0.00411510912992874,0.00935979066151793,0.006590482669817765,0.009195207958697216,-0.024184493170394172,-0.03743316098914551,0.0,0.004158103270041735,0.00494441040263327,0.0
2023-12-27,0.009829607090851233,0.0025615778451075766,0.15244809903271395,-0.004594367931605503,0.0028004343499141715,0.07319887203691744,0.07851847757200892,0.0,0.0018302194628008195,0.0018923856475083767,0.0
2023-12-28,-0.010382816829407782,0.0006813188287100314,-0.09526871945755921,-0.007616131880234356,0.002124730711962508,-0.05477982877500587,0.018200540650163965,0.0,0.00015985613379410069,-0.0005037623220021104,0.0
