HOLDINGS,TICKER,FUND WEIGHT,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
PepsiCo Inc,PEP,0.00,Soft Drinks & Non-alcoholic Beverages,US,---,"$5,095,777,818.54 ","36,310,231"
McDonald's Corp,MCD,0.00,Restaurants,US,---,"$4,973,930,886.82 ","18,873,533"
Walt Disney Co/The,DIS,0.00,Movies & Entertainment,US,---,"$4,960,224,713.70 ","46,120,174"
Seagate Technology Holdings PLC,STX,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$4,938,131,400.58 ","5,961,191"
Marvell Technology Inc,MRVL,0.00,Semiconductors,US,---,"$4,924,208,518.60 ","23,264,710"
Gilead Sciences Inc,GILD,0.00,Biotechnology,US,---,"$4,827,029,436.54 ","32,985,031"
AT&T Inc,T,0.00,Integrated Telecommunication Services,US,---,"$4,778,692,549.41 ","184,576,769"
QUALCOMM Inc,QCOM,0.00,Semiconductors,US,---,"$4,772,645,733.68 ","27,995,341"
Charles Schwab Corp/The,SCHW,0.00,Investment Banking & Brokerage,US,---,"$4,768,182,441.02 ","43,418,161"
Union Pacific Corp,UNP,0.00,Rail Transportation,US,---,"$4,742,012,394.95 ","15,771,485"
Analog Devices Inc,ADI,0.00,Semiconductors,US,---,"$4,697,167,651.90 ","12,970,585"
American Express Co,AXP,0.00,Consumer Finance,US,---,"$4,668,443,007.21 ","14,139,513"
NextEra Energy Inc,NEE,0.00,Electric Utilities,US,---,"$4,561,867,046.04 ","55,402,806"
Welltower Inc,WELL,0.00,Health Care REITs,US,---,"$4,430,783,255.68 ","18,755,432"
Blackrock Inc,BLK,0.00,Asset Management & Custody Banks,US,---,"$4,428,957,373.31 ","3,832,571"
Deere & Co,DE,0.00,Agricultural & Farm Machinery,US,---,"$4,370,224,253.65 ","6,673,015"
Boeing Co/The,BA,0.00,Aerospace & Defense,US,---,"$4,351,565,213.64 ","20,943,138"
Pfizer Inc,PFE,0.00,Pharmaceuticals,US,---,"$4,309,503,105.14 ","151,423,159"
ConocoPhillips,COP,0.00,Oil & Gas Exploration & Production,US,---,"$4,288,175,579.68 ","32,366,032"
Eaton Corp PLC,ETN,0.00,Electrical Components & Equipment,US,---,"$4,145,196,082.56 ","10,314,512"
Western Digital Corp,WDC,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$4,126,855,527.25 ","9,159,595"
Booking Holdings Inc,BKNG,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$4,096,183,974.06 ","20,574,534"
Uber Technologies Inc,UBER,0.00,Passenger Ground Transportation,US,---,"$4,090,474,100.35 ","54,071,039"
ServiceNow Inc,NOW,0.00,Systems Software,US,---,"$4,054,067,953.98 ","27,394,202"
TJX Cos Inc/The,TJX,0.00,Apparel Retail,US,---,"$3,934,106,671.67 ","29,378,737"
Vertex Pharmaceuticals Inc,VRTX,0.00,Biotechnology,US,---,"$3,671,795,284.56 ","6,743,178"
Bristol-Myers Squibb Co,BMY,0.00,Pharmaceuticals,US,---,"$3,624,677,270.34 ","54,253,514"
Newmont Corp,NEM,0.00,Gold,US,---,"$3,574,304,735.76 ","28,353,996"
Danaher Corp,DHR,0.00,Life Sciences Tools & Services,US,---,"$3,574,132,898.96 ","16,735,966"
Capital One Financial Corp,COF,0.00,Consumer Finance,US,---,"$3,546,497,047.65 ","16,533,015"
Intuitive Surgical Inc,ISRG,0.00,Health Care Equipment,US,---,"$3,545,047,778.58 ","9,406,803"
Prologis Inc,PLD,0.00,Industrial REITs,US,---,"$3,523,676,299.44 ","25,183,507"
S&P Global Inc,SPGI,0.00,Financial Exchanges & Data,US,---,"$3,510,447,565.44 ","8,054,441"
Dell Technologies Inc,DELL,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$3,503,798,892.01 ","7,683,601"
Progressive Corp/The,PGR,0.00,Property & Casualty Insurance,US,---,"$3,385,517,754.08 ","15,524,201"
Parker-Hannifin Corp,PH,0.00,Industrial Machinery & Supplies & Components,US,---,"$3,280,133,786.16 ","3,348,989"
Chubb Ltd,CB,0.00,Property & Casualty Insurance,US,---,"$3,244,806,847.40 ","9,583,009"
Starbucks Corp,SBUX,0.00,Restaurants,US,---,"$3,217,318,318.75 ","30,280,643"
CVS Health Corp,CVS,0.00,Health Care Services,US,---,"$3,183,364,466.85 ","33,898,035"
Adobe Inc,ADBE,0.00,Application Software,US,---,"$3,143,535,443.15 ","10,736,485"
Accenture PLC,ACN,0.00,IT Consulting & Other Services,US,---,"$3,095,120,898.88 ","16,310,713"
Corning Inc,GLW,0.00,Electronic Components,US,---,"$3,094,946,961.72 ","20,809,164"
Medtronic PLC,MDT,0.00,Health Care Equipment,US,---,"$3,092,044,214.35 ","34,109,699"
Lowe's Cos Inc,LOW,0.00,Home Improvement Retail,US,---,"$3,045,424,454.70 ","14,877,501"
Automatic Data Processing Inc,ADP,0.00,Human Resource & Employment Services,US,---,"$3,038,700,131.60 ","10,618,885"
Altria Group Inc,MO,0.00,Tobacco,US,---,"$3,037,787,317.76 ","44,360,212"
Lockheed Martin Corp,LMT,0.00,Aerospace & Defense,US,---,"$3,025,720,574.13 ","5,391,231"
Stryker Corp,SYK,0.00,Health Care Equipment,US,---,"$2,968,409,948.40 ","9,167,418"
Bank of New York Mellon Corp/The,BNY,0.00,Asset Management & Custody Banks,US,---,"$2,941,021,762.56 ","18,235,502"
Marathon Petroleum Corp,MPC,0.00,Oil & Gas Refining & Marketing,US,---,"$2,895,177,237.12 ","7,755,216"
Freeport-McMoRan Inc,FCX,0.00,Copper,US,---,"$2,892,621,180.40 ","38,191,460"
Valero Energy Corp,VLO,0.00,Oil & Gas Refining & Marketing,US,---,"$2,830,287,348.72 ","7,885,566"
Fortinet Inc,FTNT,0.00,Systems Software,US,---,"$2,827,602,175.01 ","16,542,457"
Blackstone Inc,BX,0.00,Asset Management & Custody Banks,US,---,"$2,826,805,446.76 ","19,734,749"
McKesson Corp,MCK,0.00,Health Care Distributors,US,---,"$2,826,392,067.88 ","3,192,509"
CME Group Inc,CME,0.00,Financial Exchanges & Data,US,---,"$2,748,598,432.50 ","9,627,315"
Equinix Inc,EQIX,0.00,Data Center REITs,US,---,"$2,743,640,482.88 ","2,621,179"
Vertiv Holdings Co,VRT,0.00,Electrical Components & Equipment,US,---,"$2,639,955,595.20 ","10,203,910"
Intuit Inc,INTU,0.00,Application Software,US,---,"$2,639,478,881.00 ","7,346,170"
Southern Co/The,SO,0.00,Electric Utilities,US,---,"$2,636,423,856.00 ","29,959,362"
Phillips 66,PSX,0.00,Oil & Gas Refining & Marketing,US,---,"$2,626,424,431.22 ","10,651,409"
Trane Technologies PLC,TT,0.00,Building Products,US,---,"$2,608,868,420.40 ","5,870,541"
Howmet Aerospace Inc,HWM,0.00,Aerospace & Defense,US,---,"$2,603,956,651.80 ","10,630,564"
PNC Financial Services Group Inc/The,PNC,0.00,Diversified Banks,US,---,"$2,556,475,641.27 ","10,668,429"
US Bancorp,USB,0.00,Diversified Banks,US,---,"$2,539,522,806.22 ","41,239,409"
Comcast Corp,CMCSA,0.00,Integrated Telecommunication Services,US,---,"$2,519,381,539.84 ","94,642,432"
General Dynamics Corp,GD,0.00,Aerospace & Defense,US,---,"$2,504,262,225.85 ","6,743,671"
CSX Corp,CSX,0.00,Rail Transportation,US,---,"$2,493,415,542.90 ","49,364,790"
Duke Energy Corp,DUK,0.00,Electric Utilities,US,---,"$2,483,831,688.03 ","20,714,133"
Cadence Design Systems Inc,CDNS,0.00,Application Software,US,---,"$2,482,545,623.22 ","7,327,899"
Williams Cos Inc/The,WMB,0.00,Oil & Gas Storage & Transportation,US,---,"$2,438,489,101.35 ","32,491,527"
Marsh & McLennan Cos Inc,MRSH,0.00,Insurance Brokers,US,---,"$2,428,797,716.80 ","12,796,616"
Quanta Services Inc,PWR,0.00,Construction & Engineering,US,---,"$2,420,580,748.74 ","3,987,186"
Intercontinental Exchange Inc,ICE,0.00,Financial Exchanges & Data,US,---,"$2,413,785,350.80 ","15,020,444"
SLB Ltd,SLB,0.00,Oil & Gas Equipment & Services,US,---,"$2,387,179,632.70 ","39,720,127"
3M Co,MMM,0.00,Industrial Conglomerates,US,---,"$2,380,787,815.72 ","13,855,484"
Constellation Energy Corp,CEG,0.00,Electric Utilities,US,---,"$2,333,602,650.87 ","8,492,931"
DoorDash Inc,DASH,0.00,Restaurants,US,---,"$2,330,457,390.30 ","10,056,345"
Emerson Electric Co,EMR,0.00,Electrical Components & Equipment,US,---,"$2,267,863,904.48 ","14,877,092"
Johnson Controls International plc,JCI,0.00,Building Products,US,---,"$2,240,739,763.20 ","16,209,055"
Synopsys Inc,SNPS,0.00,Application Software,US,---,"$2,237,509,583.28 ","5,089,992"
AppLovin Corp,APP,0.00,Advertising,US,---,"$2,230,663,235.22 ","7,148,187"
T-Mobile US Inc,TMUS,0.00,Wireless Telecommunication Services,US,---,"$2,230,286,938.36 ","12,360,269"
Elevance Health Inc,ELV,0.00,Managed Health Care,US,---,"$2,222,165,407.14 ","5,660,991"
Robinhood Markets Inc,HOOD,0.00,Investment Banking & Brokerage,US,---,"$2,203,167,828.28 ","21,020,588"
American Tower Corp,AMT,0.00,Telecom Tower REITs,US,---,"$2,174,786,839.40 ","12,377,842"
Waste Management Inc,WM,0.00,Environmental & Facilities Services,US,---,"$2,148,289,762.84 ","9,813,127"
Motorola Solutions Inc,MSI,0.00,Communications Equipment,US,---,"$2,140,660,726.50 ","4,411,005"
Regeneron Pharmaceuticals Inc,REGN,0.00,Biotechnology,US,---,"$2,120,488,230.96 ","2,653,662"
Mondelez International Inc,MDLZ,0.00,Packaged Foods & Meats,US,---,"$2,116,810,327.86 ","34,103,598"
Datadog Inc,DDOG,0.00,Application Software,US,---,"$2,083,704,860.80 ","8,790,520"
Cummins Inc,CMI,0.00,Construction Machinery & Heavy Transportation Equipment,US,---,"$2,069,147,404.40 ","3,666,101"
United Parcel Service Inc,UPS,0.00,Air Freight & Logistics,US,---,"$2,067,761,747.73 ","19,838,451"
General Motors Co,GM,0.00,Automobile Manufacturers,US,---,"$2,067,591,107.92 ","23,952,631"
Travelers Cos Inc/The,TRV,0.00,Property & Casualty Insurance,US,---,"$2,066,805,573.70 ","5,648,090"
Sherwin-Williams Co/The,SHW,0.00,Specialty Chemicals,US,---,"$2,064,486,897.07 ","6,093,347"
EOG Resources Inc,EOG,0.00,Oil & Gas Exploration & Production,US,---,"$2,050,883,932.80 ","14,147,930"
Norfolk Southern Corp,NSC,0.00,Rail Transportation,US,---,"$2,045,535,223.27 ","5,967,313"
Airbnb Inc,ABNB,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$2,033,686,301.12 ","11,099,696"
KKR & Co Inc,KKR,0.00,Asset Management & Custody Banks,US,---,"$2,015,288,354.04 ","18,367,557"
Moody's Corp,MCO,0.00,Financial Exchanges & Data,US,---,"$2,013,842,625.28 ","3,990,652"
Marriott International Inc/MD,MAR,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$1,987,129,344.00 ","5,814,400"
Ross Stores Inc,ROST,0.00,Apparel Retail,US,---,"$1,955,844,177.30 ","8,557,995"
O'Reilly Automotive Inc,ORLY,0.00,Automotive Retail,US,---,"$1,954,706,359.20 ","22,012,459"
Target Corp,TGT,0.00,Consumer Staples Merchandise Retail,US,---,"$1,941,472,490.40 ","12,067,830"
Cigna Group/The,CI,0.00,Health Care Services,US,---,"$1,939,981,858.64 ","7,026,883"
Illinois Tool Works Inc,ITW,0.00,Industrial Machinery & Supplies & Components,US,---,"$1,915,480,328.88 ","6,956,024"
Northrop Grumman Corp,NOC,0.00,Aerospace & Defense,US,---,"$1,913,656,926.30 ","3,545,779"
Hilton Worldwide Holdings Inc,HLT,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$1,912,927,858.80 ","6,048,210"
FedEx Corp,FDX,0.00,Air Freight & Logistics,US,---,"$1,909,620,414.20 ","5,832,683"
Colgate-Palmolive Co,CL,0.00,Household Products,US,---,"$1,909,110,716.82 ","21,254,851"
Boston Scientific Corp,BSX,0.00,Health Care Equipment,US,---,"$1,907,337,247.20 ","39,489,384"
Ecolab Inc,ECL,0.00,Specialty Chemicals,US,---,"$1,905,325,137.60 ","6,727,843"
Lumentum Holdings Inc,LITE,0.00,Communications Equipment,US,---,"$1,894,211,827.20 ","2,070,720"
Warner Bros Discovery Inc,WBD,0.00,Movies & Entertainment,US,---,"$1,878,527,180.25 ","65,843,925"
Hewlett Packard Enterprise Co,HPE,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$1,841,546,770.64 ","35,251,661"
Air Products and Chemicals Inc,APD,0.00,Industrial Gases,US,---,"$1,830,749,577.54 ","5,915,949"
Simon Property Group Inc,SPG,0.00,Retail REITs,US,---,"$1,828,676,490.24 ","8,612,832"
Aon PLC,AON,0.00,Insurance Brokers,US,---,"$1,824,533,080.72 ","5,674,711"
Cintas Corp,CTAS,0.00,Diversified Support Services,US,---,"$1,823,229,554.78 ","9,035,282"
Honeywell International Inc,HON,0.00,Industrial Conglomerates,US,---,"$1,797,114,602.48 ","8,416,216"
Arthur J Gallagher & Co,AJG,0.00,Insurance Brokers,US,---,"$1,788,559,532.55 ","6,822,657"
Royal Caribbean Cruises Ltd,RCL,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$1,780,108,498.44 ","6,623,906"
American Electric Power Co Inc,AEP,0.00,Electric Utilities,US,---,"$1,770,007,361.43 ","14,457,301"
Allstate Corp/The,ALL,0.00,Property & Casualty Insurance,US,---,"$1,762,775,817.00 ","6,837,765"
Monster Beverage Corp,MNST,0.00,Soft Drinks & Non-alcoholic Beverages,US,---,"$1,741,895,712.48 ","37,933,269"
TransDigm Group Inc,TDG,0.00,Aerospace & Defense,US,---,"$1,741,267,742.22 ","1,486,053"
PACCAR Inc,PCAR,0.00,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,735,353,536.90 ","13,980,130"
United Rentals Inc,URI,0.00,Trading Companies & Distributors,US,---,"$1,727,319,192.00 ","1,664,084"
Digital Realty Trust Inc,DLR,0.00,Data Center REITs,US,---,"$1,714,793,510.33 ","9,239,687"
HCA Healthcare Inc,HCA,0.00,Health Care Facilities,US,---,"$1,709,844,558.75 ","4,125,575"
Kinder Morgan Inc,KMI,0.00,Oil & Gas Storage & Transportation,US,---,"$1,676,968,597.20 ","52,015,155"
Baker Hughes Co,BKR,0.00,Oil & Gas Equipment & Services,US,---,"$1,674,946,423.80 ","26,356,356"
Targa Resources Corp,TRGP,0.00,Oil & Gas Storage & Transportation,US,---,"$1,674,526,204.40 ","5,702,456"
CRH PLC,CRH,0.00,Construction Materials,US,---,"$1,673,735,189.70 ","17,750,930"
Apollo Global Management Inc,APO,0.00,Diversified Financial Services,US,---,"$1,673,535,909.90 ","12,253,155"
Cencora Inc,COR,0.00,Health Care Distributors,US,---,"$1,672,797,776.80 ","5,169,338"
