HOLDINGS,TICKER,FUND WEIGHT,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
Agilent Technologies Inc,A,0.00,Life Sciences Tools & Services,US,---,"$1,152,802,867.92 ","7,507,182"
Keurig Dr Pepper Inc,KDP,0.00,Soft Drinks & Non-alcoholic Beverages,US,---,"$1,151,669,959.38 ","36,147,833"
Interactive Brokers Group Inc,IBKR,0.00,Investment Banking & Brokerage,US,---,"$1,151,557,713.18 ","11,836,342"
Veeva Systems Inc,VEEV,0.00,Health Care Technology,US,---,"$1,139,432,854.26 ","3,988,354"
Roper Technologies Inc,ROP,0.00,Application Software,US,---,"$1,137,346,433.92 ","2,678,378"
CBRE Group Inc,CBRE,0.00,Real Estate Services,US,---,"$1,134,459,103.33 ","7,780,393"
Yum! Brands Inc,YUM,0.00,Restaurants,US,---,"$1,122,223,987.46 ","7,319,966"
PayPal Holdings Inc,PYPL,0.00,Transaction & Payment Processing Services,US,---,"$1,111,850,419.08 ","21,111,752"
Coinbase Global Inc,COIN,0.00,Financial Exchanges & Data,US,---,"$1,111,599,386.92 ","5,908,991"
MSCI Inc,MSCI,0.00,Financial Exchanges & Data,US,---,"$1,103,608,059.12 ","1,933,983"
Paychex Inc,PAYX,0.00,Human Resource & Employment Services,US,---,"$1,090,854,926.50 ","8,566,475"
Prudential Financial Inc,PRU,0.00,Life & Health Insurance,US,---,"$1,083,998,344.80 ","9,217,673"
Waters Corp,WAT,0.00,Life Sciences Tools & Services,US,---,"$1,081,829,791.35 ","2,609,145"
American International Group Inc,AIG,0.00,Property & Casualty Insurance,US,---,"$1,075,260,667.40 ","14,081,465"
Flex Ltd,FLEX,0.00,Electronic Manufacturing Services,US,---,"$1,070,702,003.00 ","9,800,476"
Workday Inc,WDAY,0.00,Application Software,US,---,"$1,067,996,190.25 ","5,408,945"
Microchip Technology Inc,MCHP,0.00,Semiconductors,US,---,"$1,055,805,262.20 ","14,374,476"
Consolidated Edison Inc,ED,0.00,Multi-Utilities,US,---,"$1,048,145,639.46 ","9,793,923"
Archer-Daniels-Midland Co,ADM,0.00,Agricultural Products & Services,US,---,"$1,040,723,354.00 ","12,802,600"
Diamondback Energy Inc,FANG,0.00,Oil & Gas Exploration & Production,US,---,"$1,033,900,019.04 ","5,157,123"
Sysco Corp,SYY,0.00,Food Distributors,US,---,"$1,029,885,862.60 ","12,702,095"
Take-Two Interactive Software Inc,TTWO,0.00,Interactive Home Entertainment,US,---,"$1,015,760,980.00 ","4,623,400"
DR Horton Inc,DHI,0.00,Homebuilding,US,---,"$1,012,644,968.40 ","7,005,015"
Hartford Insurance Group Inc/The,HIG,0.00,Property & Casualty Insurance,US,---,"$1,000,265,703.32 ","7,281,014"
Old Dominion Freight Line Inc,ODFL,0.00,Cargo Ground Transportation,US,---,"$972,275,506.00 ","4,862,350"
NetApp Inc,NTAP,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$971,375,783.98 ","5,242,462"
Public Service Enterprise Group Inc,PEG,0.00,Multi-Utilities,US,---,"$970,808,610.33 ","13,238,901"
Expedia Group Inc,EXPE,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$964,518,577.28 ","3,041,494"
Kenvue Inc,KVUE,0.00,Personal Care Products,US,---,"$963,089,114.88 ","51,011,076"
Kimberly-Clark Corp,KMB,0.00,Household Products,US,---,"$951,741,822.70 ","8,816,506"
Dexcom Inc,DXCM,0.00,Health Care Equipment,US,---,"$933,602,393.42 ","10,252,607"
United Airlines Holdings Inc,UAL,0.00,Passenger Airlines,US,---,"$931,109,218.20 ","8,622,180"
Vulcan Materials Co,VMC,0.00,Construction Materials,US,---,"$928,992,089.76 ","3,446,072"
ResMed Inc,RMD,0.00,Health Care Equipment,US,---,"$925,268,808.10 ","3,853,681"
WEC Energy Group Inc,WEC,0.00,Multi-Utilities,US,---,"$918,846,778.62 ","8,654,486"
Northern Trust Corp,NTRS,0.00,Asset Management & Custody Banks,US,---,"$912,199,599.68 ","4,915,928"
Iron Mountain Inc,IRM,0.00,Other Specialized REITs,US,---,"$911,944,065.45 ","7,905,887"
M&T Bank Corp,MTB,0.00,Regional Banks,US,---,"$909,626,094.72 ","3,888,288"
Arch Capital Group Ltd,ACGL,0.00,Property & Casualty Insurance,US,---,"$906,282,914.88 ","9,241,184"
EQT Corp,EQT,0.00,Oil & Gas Exploration & Production,US,---,"$900,406,258.92 ","16,618,794"
Huntington Bancshares Inc/OH,HBAN,0.00,Regional Banks,US,---,"$898,542,977.90 ","53,853,340"
Crown Castle Inc,CCI,0.00,Telecom Tower REITs,US,---,"$882,702,441.00 ","11,593,150"
EMCOR Group Inc,EME,0.00,Construction & Engineering,US,---,"$867,148,709.82 ","1,180,533"
GE HealthCare Technologies Inc,GEHC,0.00,Health Care Equipment,US,---,"$860,668,314.81 ","12,082,947"
Zoetis Inc,ZTS,0.00,Pharmaceuticals,US,---,"$858,680,895.60 ","11,137,236"
Jabil Inc,JBL,0.00,Electronic Manufacturing Services,US,---,"$855,783,283.82 ","2,803,457"
Biogen Inc,BIIB,0.00,Biotechnology,US,---,"$850,015,659.15 ","3,923,451"
Willis Towers Watson PLC,WTW,0.00,Insurance Brokers,US,---,"$849,704,977.80 ","2,509,836"
Steel Dynamics Inc,STLD,0.00,Steel,US,---,"$837,590,181.60 ","3,600,680"
Cboe Global Markets Inc,CBOE,0.00,Financial Exchanges & Data,US,---,"$834,722,010.60 ","2,780,553"
Martin Marietta Materials Inc,MLM,0.00,Construction Materials,US,---,"$827,577,032.10 ","1,595,483"
Halliburton Co,HAL,0.00,Oil & Gas Equipment & Services,US,---,"$817,893,967.55 ","22,195,223"
Carnival Corp Ltd,CCL,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$816,494,956.41 ","34,177,269"
Cognizant Technology Solutions Corp,CTSH,0.00,IT Consulting & Other Services,US,---,"$812,799,876.04 ","12,585,938"
Kroger Co/The,KR,0.00,Food Retail,US,---,"$809,143,936.44 ","14,062,286"
Ares Management Corp,ARES,0.00,Asset Management & Custody Banks,US,---,"$802,648,244.20 ","5,606,260"
Centene Corp,CNC,0.00,Managed Health Care,US,---,"$801,938,714.18 ","12,464,077"
Raymond James Financial Inc,RJF,0.00,Investment Banking & Brokerage,US,---,"$794,397,848.67 ","4,458,651"
Extra Space Storage Inc,EXR,0.00,Self-Storage REITs,US,---,"$791,902,867.20 ","5,612,352"
Ameren Corp,AEE,0.00,Multi-Utilities,US,---,"$779,509,551.70 ","7,353,170"
Copart Inc,CPRT,0.00,Diversified Support Services,US,---,"$776,627,487.00 ","23,541,300"
PG&E Corp,PCG,0.00,Electric Utilities,US,---,"$776,413,182.62 ","58,508,906"
Citizens Financial Group Inc,CFG,0.00,Regional Banks,US,---,"$773,715,882.80 ","11,234,440"
ON Semiconductor Corp,ON,0.00,Semiconductors,US,---,"$771,150,650.64 ","10,408,296"
Live Nation Entertainment Inc,LYV,0.00,Movies & Entertainment,US,---,"$756,421,619.68 ","4,204,912"
Fiserv Inc,FISV,0.00,Transaction & Payment Processing Services,US,---,"$755,201,134.89 ","14,166,219"
Teledyne Technologies Inc,TDY,0.00,Electronic Equipment & Instruments,US,---,"$754,029,636.75 ","1,230,165"
Mettler-Toledo International Inc,MTD,0.00,Life Sciences Tools & Services,US,---,"$750,989,719.26 ","534,459"
DTE Energy Co,DTE,0.00,Multi-Utilities,US,---,"$749,230,699.14 ","5,524,078"
VICI Properties Inc,VICI,0.00,Other Specialized REITs,US,---,"$744,664,361.85 ","29,031,749"
Dollar General Corp,DG,0.00,Consumer Staples Merchandise Retail,US,---,"$741,615,137.25 ","5,851,007"
Casey's General Stores Inc,CASY,0.00,Food Retail,US,---,"$738,491,946.23 ","981,763"
Atmos Energy Corp,ATO,0.00,Gas Utilities,US,---,"$736,499,643.49 ","4,433,273"
HP Inc,HPQ,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$729,383,932.00 ","24,296,600"
Ingersoll Rand Inc,IR,0.00,Industrial Machinery & Supplies & Components,US,---,"$729,053,726.30 ","9,462,086"
Otis Worldwide Corp,OTIS,0.00,Industrial Machinery & Supplies & Components,US,---,"$724,982,068.89 ","10,192,353"
Labcorp Holdings Inc,LH,0.00,Health Care Services,US,---,"$724,712,118.42 ","2,178,537"
American Water Works Co Inc,AWK,0.00,Water Utilities,US,---,"$717,259,573.55 ","5,188,885"
Williams-Sonoma Inc,WSM,0.00,Homefurnishing Retail,US,---,"$713,902,318.25 ","3,127,721"
Fair Isaac Corp,FICO,0.00,Application Software,US,---,"$707,245,787.32 ","616,492"
Quest Diagnostics Inc,DGX,0.00,Health Care Services,US,---,"$706,689,138.60 ","2,940,862"
Corpay Inc,CPAY,0.00,Transaction & Payment Processing Services,US,---,"$701,240,156.50 ","1,734,455"
Eversource Energy,ES,0.00,Electric Utilities,US,---,"$700,846,384.98 ","9,992,107"
Cincinnati Financial Corp,CINF,0.00,Property & Casualty Insurance,US,---,"$698,124,536.80 ","4,109,032"
Xylem Inc/NY,XYL,0.00,Industrial Machinery & Supplies & Components,US,---,"$695,078,624.24 ","6,312,584"
Dover Corp,DOV,0.00,Industrial Machinery & Supplies & Components,US,---,"$694,936,293.92 ","3,577,904"
Hershey Co/The,HSY,0.00,Packaged Foods & Meats,US,---,"$693,771,368.85 ","3,937,185"
Synchrony Financial,SYF,0.00,Consumer Finance,US,---,"$688,539,453.20 ","8,932,790"
CenterPoint Energy Inc,CNP,0.00,Multi-Utilities,US,---,"$688,181,313.60 ","17,378,316"
PPL Corp,PPL,0.00,Electric Utilities,US,---,"$682,377,677.18 ","19,993,486"
Regions Financial Corp,RF,0.00,Regional Banks,US,---,"$677,224,941.12 ","22,664,824"
Verisk Analytics Inc,VRSK,0.00,Research & Consulting Services,US,---,"$674,037,569.70 ","3,478,365"
Estee Lauder Cos Inc/The,EL,0.00,Personal Care Products,US,---,"$672,154,989.00 ","6,570,430"
Qnity Electronics Inc,Q,0.00,Semiconductor Materials & Equipment,US,---,"$664,263,807.93 ","5,561,951"
PPG Industries Inc,PPG,0.00,Specialty Chemicals,US,---,"$663,957,337.02 ","5,919,206"
Tapestry Inc,TPR,0.00,"Apparel, Accessories & Luxury Goods",US,---,"$662,386,640.04 ","5,368,236"
Omnicom Group Inc,OMC,0.00,Advertising,US,---,"$661,829,735.28 ","7,561,176"
Expeditors International of Washington Inc,EXPD,0.00,Air Freight & Logistics,US,---,"$658,751,740.45 ","3,473,513"
Smurfit Westrock PLC,SW,0.00,Paper & Plastic Packaging Products & Materials,US,---,"$653,739,287.60 ","13,939,004"
Darden Restaurants Inc,DRI,0.00,Restaurants,US,---,"$651,893,549.10 ","3,042,535"
Veralto Corp,VLTO,0.00,Environmental & Facilities Services,US,---,"$642,757,917.39 ","6,520,827"
West Pharmaceutical Services Inc,WST,0.00,Life Sciences Tools & Services,US,---,"$640,238,568.97 ","1,876,927"
PulteGroup Inc,PHM,0.00,Homebuilding,US,---,"$639,125,008.72 ","5,059,571"
Hubbell Inc,HUBB,0.00,Electrical Components & Equipment,US,---,"$636,098,070.00 ","1,404,190"
FirstEnergy Corp,FE,0.00,Electric Utilities,US,---,"$634,342,536.58 ","13,832,153"
T Rowe Price Group Inc,TROW,0.00,Asset Management & Custody Banks,US,---,"$633,237,504.64 ","5,690,488"
Church & Dwight Co Inc,CHD,0.00,Household Products,US,---,"$628,222,862.40 ","6,296,080"
VeriSign Inc,VRSN,0.00,Internet Services & Infrastructure,US,---,"$627,262,109.84 ","2,175,878"
Expand Energy Corp,EXE,0.00,Oil & Gas Exploration & Production,US,---,"$623,838,898.32 ","6,355,327"
Ulta Beauty Inc,ULTA,0.00,Other Specialty Retail,US,---,"$621,258,199.00 ","1,156,690"
NRG Energy Inc,NRG,0.00,Electric Utilities,US,---,"$617,218,085.08 ","5,604,959"
F5 Inc,FFIV,0.00,Communications Equipment,US,---,"$610,345,682.46 ","1,499,142"
Dollar Tree Inc,DLTR,0.00,Consumer Staples Merchandise Retail,US,---,"$608,820,806.69 ","4,809,391"
STERIS PLC,STE,0.00,Health Care Equipment,US,---,"$606,300,086.72 ","2,606,173"
Equifax Inc,EFX,0.00,Research & Consulting Services,US,---,"$598,379,475.16 ","3,163,351"
International Flavors & Fragrances Inc,IFF,0.00,Specialty Chemicals,US,---,"$585,516,822.30 ","6,782,310"
Dow Inc,DOW,0.00,Commodity Chemicals,US,---,"$584,219,577.76 ","19,142,188"
General Mills Inc,GIS,0.00,Packaged Foods & Meats,US,---,"$584,098,415.20 ","14,177,146"
Kraft Heinz Co/The,KHC,0.00,Packaged Foods & Meats,US,---,"$582,311,192.01 ","22,684,503"
First Solar Inc,FSLR,0.00,Semiconductors,US,---,"$576,322,136.70 ","2,854,493"
Texas Pacific Land Corp,TPL,0.00,Oil & Gas Exploration & Production,US,---,"$576,002,573.10 ","1,538,715"
Principal Financial Group Inc,PFG,0.00,Life & Health Insurance,US,---,"$574,988,161.68 ","5,219,573"
Amcor PLC,AMCR,0.00,Paper & Plastic Packaging Products & Materials,US,---,"$563,645,301.70 ","12,282,530"
Global Payments Inc,GPN,0.00,Transaction & Payment Processing Services,US,---,"$562,245,313.35 ","6,175,127"
Broadridge Financial Solutions Inc,BR,0.00,Data Processing & Outsourced Services,US,---,"$560,426,383.00 ","3,072,850"
Fidelity National Information Services Inc,FIS,0.00,Transaction & Payment Processing Services,US,---,"$559,853,558.46 ","13,731,998"
Brown & Brown Inc,BRO,0.00,Insurance Brokers,US,---,"$558,933,555.60 ","7,744,680"
CMS Energy Corp,CMS,0.00,Multi-Utilities,US,---,"$558,505,532.56 ","8,206,076"
Super Micro Computer Inc,SMCI,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$557,972,332.32 ","14,967,069"
Edison International,EIX,0.00,Electric Utilities,US,---,"$551,868,794.42 ","10,223,579"
Packaging Corp of America,PKG,0.00,Paper & Plastic Packaging Products & Materials,US,---,"$550,217,288.46 ","2,351,959"
Incyte Corp,INCY,0.00,Biotechnology,US,---,"$549,218,894.84 ","4,457,222"
SBA Communications Corp,SBAC,0.00,Telecom Tower REITs,US,---,"$534,297,634.44 ","2,817,134"
International Paper Co,IP,0.00,Paper & Plastic Packaging Products & Materials,US,---,"$533,662,848.61 ","14,069,677"
Snap-on Inc,SNA,0.00,Industrial Machinery & Supplies & Components,US,---,"$531,614,325.54 ","1,376,134"
CF Industries Holdings Inc,CF,0.00,Fertilizers & Agricultural Chemicals,US,---,"$530,598,987.67 ","4,080,589"
KeyCorp,KEY,0.00,Diversified Banks,US,---,"$529,008,975.03 ","24,479,823"
W R Berkley Corp,WRB,0.00,Property & Casualty Insurance,US,---,"$527,601,442.56 ","7,809,376"
JB Hunt Transport Services Inc,JBHT,0.00,Cargo Ground Transportation,US,---,"$525,407,074.26 ","1,979,158"
NiSource Inc,NI,0.00,Multi-Utilities,US,---,"$521,271,245.88 ","12,738,789"
CDW Corp/DE,CDW,0.00,Technology Distributors,US,---,"$514,327,310.64 ","3,393,108"
Zimmer Biomet Holdings Inc,ZBH,0.00,Health Care Equipment,US,---,"$514,030,029.80 ","5,138,245"
Reddit Inc,RDDT,0.00,Interactive Media & Services,US,---,"$512,807,579.70 ","3,469,370"
Viatris Inc,VTRS,0.00,Pharmaceuticals,US,---,"$510,871,290.93 ","30,943,143"
Southwest Airlines Co,LUV,0.00,Passenger Airlines,US,---,"$500,193,493.19 ","12,981,923"
Genuine Parts Co,GPC,0.00,Distributors,US,---,"$496,055,240.79 ","3,656,337"
Evergy Inc,EVRG,0.00,Electric Utilities,US,---,"$495,984,103.98 ","6,121,749"
DuPont de Nemours Inc,DD,0.00,Industrial Conglomerates,US,---,"$488,517,689.07 ","3,629,673"
Tractor Supply Co,TSCO,0.00,Other Specialty Retail,US,---,"$486,218,877.70 ","13,931,773"
Loews Corp,L,0.00,Property & Casualty Insurance,US,---,"$485,489,734.73 ","4,483,237"
Constellation Brands Inc,STZ,0.00,Distillers & Vintners,US,---,"$483,865,854.36 ","3,704,378"
Essex Property Trust Inc,ESS,0.00,Multi-Family Residential REITs,US,---,"$483,222,393.36 ","1,707,741"
Lennar Corp,LEN,0.00,Homebuilding,US,---,"$480,901,280.08 ","5,717,528"
PTC Inc,PTC,0.00,Application Software,US,---,"$477,697,097.02 ","3,067,273"
Fortive Corp,FTV,0.00,Industrial Machinery & Supplies & Components,US,---,"$476,402,590.68 ","8,096,577"
NVR Inc,NVR,0.00,Homebuilding,US,---,"$469,000,555.95 ","74,265"
CH Robinson Worldwide Inc,CHRW,0.00,Air Freight & Logistics,US,---,"$468,611,949.82 ","3,131,177"
Leidos Holdings Inc,LDOS,0.00,Research & Consulting Services,US,---,"$468,502,601.35 ","3,341,435"
Jacobs Solutions Inc,J,0.00,Research & Consulting Services,US,---,"$467,353,876.55 ","3,135,551"
Alliant Energy Corp,LNT,0.00,Electric Utilities,US,---,"$466,285,900.74 ","6,859,163"
Charter Communications Inc,CHTR,0.00,Cable & Satellite,US,---,"$463,223,239.00 ","3,038,725"
Gen Digital Inc,GEN,0.00,Systems Software,US,---,"$453,930,117.00 ","14,642,907"
Nordson Corp,NDSN,0.00,Industrial Machinery & Supplies & Components,US,---,"$453,090,501.36 ","1,408,338"
IDEX Corp,IEX,0.00,Industrial Machinery & Supplies & Components,US,---,"$449,566,829.60 ","1,966,265"
Weyerhaeuser Co,WY,0.00,Timber REITs,US,---,"$447,648,377.10 ","19,154,830"
Zebra Technologies Corp,ZBRA,0.00,Electronic Equipment & Instruments,US,---,"$447,285,650.85 ","1,265,127"
LyondellBasell Industries NV,LYB,0.00,Commodity Chemicals,US,---,"$446,520,192.76 ","6,861,097"
Ball Corp,BALL,0.00,"Metal, Glass & Plastic Containers",US,---,"$445,356,647.37 ","7,072,521"
Kimco Realty Corp,KIM,0.00,Retail REITs,US,---,"$424,814,417.29 ","17,917,099"
Invitation Homes Inc,INVH,0.00,Single-Family Residential REITs,US,---,"$422,925,400.66 ","14,513,569"
Albemarle Corp,ALB,0.00,Specialty Chemicals,US,---,"$422,482,284.18 ","3,130,194"
Akamai Technologies Inc,AKAM,0.00,Internet Services & Infrastructure,US,---,"$419,547,031.02 ","3,862,521"
Bunge Global SA,BG,0.00,Agricultural Products & Services,US,---,"$419,197,941.45 ","3,607,245"
Best Buy Co Inc,BBY,0.00,Computer & Electronics Retail,US,---,"$417,329,267.95 ","5,206,853"
Tyler Technologies Inc,TYL,0.00,Application Software,US,---,"$416,653,762.50 ","1,119,375"
Tyson Foods Inc,TSN,0.00,Packaged Foods & Meats,US,---,"$413,284,170.06 ","7,495,179"
Apa Corp,APA,0.00,Oil & Gas Exploration & Production,US,---,"$405,223,073.95 ","9,391,033"
Mid-America Apartment Communities Inc,MAA,0.00,Multi-Family Residential REITs,US,---,"$398,466,434.55 ","3,092,483"
Stanley Black & Decker Inc,SWK,0.00,Industrial Machinery & Supplies & Components,US,---,"$397,662,228.07 ","4,126,411"
Everest Group Ltd,EG,0.00,Reinsurance,US,---,"$393,342,037.80 ","1,049,892"
Masco Corp,MAS,0.00,Building Products,US,---,"$386,664,741.76 ","5,358,436"
Fedex Freight Holding Co Inc,FDXF,0.00,Cargo Ground Transportation,US,---,"$386,350,653.06 ","2,888,819"
Invesco Ltd,IVZ,0.00,Asset Management & Custody Banks,US,---,"$386,077,595.20 ","11,777,840"
Revvity Inc,RVTY,0.00,Life Sciences Tools & Services,US,---,"$381,355,234.08 ","2,963,824"
Healthpeak Properties Inc,DOC,0.00,Health Care REITs,US,---,"$381,321,464.64 ","18,315,152"
Textron Inc,TXT,0.00,Aerospace & Defense,US,---,"$372,152,559.20 ","4,619,570"
J M Smucker Co/The,SJM,0.00,Packaged Foods & Meats,US,---,"$371,581,395.24 ","2,833,039"
Assurant Inc,AIZ,0.00,Property & Casualty Insurance,US,---,"$371,163,394.96 ","1,316,836"
Trimble Inc,TRMB,0.00,Application Software,US,---,"$371,104,004.52 ","6,191,258"
Host Hotels & Resorts Inc,HST,0.00,Hotel & Resort REITs,US,---,"$371,099,306.49 ","16,921,993"
Charles River Laboratories International Inc,CRL,0.00,Life Sciences Tools & Services,US,---,"$368,830,462.80 ","1,279,595"
McCormick & Co Inc/MD,MKC,0.00,Packaged Foods & Meats,US,---,"$365,892,663.34 ","6,748,297"
Cooper Cos Inc/The,COO,0.00,Health Care Supplies,US,---,"$363,370,390.60 ","5,184,340"
Baxter International Inc,BAX,0.00,Health Care Equipment,US,---,"$356,749,926.00 ","13,721,151"
Fox Corp,FOXA,0.00,Broadcasting,US,---,"$356,433,508.95 ","5,292,257"
Solventum Corp,SOLV,0.00,Health Care Supplies,US,---,"$356,191,297.66 ","3,911,611"
Ralph Lauren Corp,RL,0.00,"Apparel, Accessories & Luxury Goods",US,---,"$356,143,844.30 ","1,026,647"
Globe Life Inc,GL,0.00,Life & Health Insurance,US,---,"$356,140,163.16 ","2,062,548"
Allegion plc,ALLE,0.00,Building Products,US,---,"$354,472,389.00 ","2,283,236"
Avery Dennison Corp,AVY,0.00,Paper & Plastic Packaging Products & Materials,US,---,"$353,686,357.56 ","2,031,396"
Gartner Inc,IT,0.00,IT Consulting & Other Services,US,---,"$352,090,403.17 ","1,777,247"
CoStar Group Inc,CSGP,0.00,Real Estate Services,US,---,"$347,828,077.14 ","10,845,902"
Las Vegas Sands Corp,LVS,0.00,Casinos & Gaming,US,---,"$346,875,576.06 ","7,917,726"
GoDaddy Inc,GDDY,0.00,Internet Services & Infrastructure,US,---,"$344,267,255.44 ","3,517,238"
Hasbro Inc,HAS,0.00,Leisure Products,US,---,"$336,057,165.70 ","3,571,277"
Lululemon Athletica Inc,LULU,0.00,"Apparel, Accessories & Luxury Goods",US,---,"$334,418,406.70 ","2,780,795"
Deckers Outdoor Corp,DECK,0.00,Footwear,US,---,"$328,413,686.16 ","3,771,402"
Regency Centers Corp,REG,0.00,Retail REITs,US,---,"$327,460,523.67 ","4,379,571"
Lennox International Inc,LII,0.00,Building Products,US,---,"$321,271,814.16 ","839,619"
Jack Henry & Associates Inc,JKHY,0.00,Transaction & Payment Processing Services,US,---,"$316,984,695.75 ","1,887,825"
Pinnacle West Capital Corp,PNW,0.00,Electric Utilities,US,---,"$314,472,174.84 ","3,220,731"
Clorox Co/The,CLX,0.00,Household Products,US,---,"$313,878,758.16 ","3,213,337"
EchoStar Corp,ECHO,0.00,Cable & Satellite,US,---,"$313,048,078.60 ","3,621,565"
TKO Group Holdings Inc,TKO,0.00,Movies & Entertainment,US,---,"$305,214,171.39 ","1,671,399"
Huntington Ingalls Industries Inc,HII,0.00,Aerospace & Defense,US,---,"$303,860,211.20 ","1,043,476"
FactSet Research Systems Inc,FDS,0.00,Financial Exchanges & Data,US,---,"$303,353,040.45 ","967,479"
Bio-Techne Corp,TECH,0.00,Life Sciences Tools & Services,US,---,"$300,791,522.50 ","4,159,750"
News Corp,NWSA,0.00,Publishing,US,---,"$297,772,789.51 ","9,696,281"
UDR Inc,UDR,0.00,Multi-Family Residential REITs,US,---,"$290,251,635.30 ","7,855,254"
Generac Holdings Inc,GNRC,0.00,Electrical Components & Equipment,US,---,"$289,869,251.62 ","1,563,649"
Align Technology Inc,ALGN,0.00,Health Care Supplies,US,---,"$282,722,359.23 ","1,769,337"
Camden Property Trust,CPT,0.00,Multi-Family Residential REITs,US,---,"$282,475,525.80 ","2,669,901"
Rollins Inc,ROL,0.00,Environmental & Facilities Services,US,---,"$281,439,421.30 ","7,802,590"
AES Corp/The,AES,0.00,Independent Power Producers & Energy Traders,US,---,"$279,278,278.84 ","18,946,966"
Franklin Templeton Inc,BEN,0.00,Asset Management & Custody Banks,US,---,"$278,183,475.35 ","8,145,929"
Domino's Pizza Inc,DPZ,0.00,Restaurants,US,---,"$277,851,917.40 ","812,290"
Insulet Corp,PODD,0.00,Health Care Equipment,US,---,"$273,092,433.82 ","1,837,027"
BXP Inc,BXP,0.00,Office REITs,US,---,"$268,053,158.62 ","3,942,538"
Skyworks Solutions Inc,SWKS,0.00,Semiconductors,US,---,"$267,806,336.13 ","3,996,513"
Pentair PLC,PNR,0.00,Industrial Machinery & Supplies & Components,US,---,"$259,538,637.18 ","4,292,733"
Aptiv PLC,APTV,0.00,Automotive Parts & Equipment,US,---,"$251,527,208.64 ","5,619,464"
Federal Realty Investment Trust,FRT,0.00,Retail REITs,US,---,"$242,425,656.08 ","2,089,336"
Universal Health Services Inc,UHS,0.00,Health Care Facilities,US,---,"$240,984,927.96 ","1,414,812"
Henry Schein Inc,HSIC,0.00,Health Care Distributors,US,---,"$230,879,032.80 ","2,571,036"
Fox Corp,FOX,0.00,Broadcasting,US,---,"$222,876,267.48 ","3,701,034"
Alexandria Real Estate Equities Inc,ARE,0.00,Health Care REITs,US,---,"$213,802,416.29 ","4,168,501"
MGM Resorts International,MGM,0.00,Casinos & Gaming,US,---,"$210,891,662.08 ","5,098,928"
Mosaic Co/The,MOS,0.00,Fertilizers & Agricultural Chemicals,US,---,"$203,700,418.92 ","8,445,291"
Wynn Resorts Ltd,WYNN,0.00,Casinos & Gaming,US,---,"$203,272,618.64 ","2,226,913"
Norwegian Cruise Line Holdings Ltd,NCLH,0.00,"Hotels, Resorts & Cruise Lines",US,---,"$196,855,415.88 ","12,196,742"
Builders FirstSource Inc,BLDR,0.00,Building Products,US,---,"$189,638,665.60 ","2,856,004"
A O Smith Corp,AOS,0.00,Building Products,US,---,"$175,896,671.85 ","2,974,745"
Erie Indemnity Co,ERIE,0.00,Property & Casualty Insurance,US,---,"$172,420,965.24 ","674,679"
Molson Coors Beverage Co,TAP,0.00,Brewers,US,---,"$169,369,329.92 ","4,259,792"
Hormel Foods Corp,HRL,0.00,Packaged Foods & Meats,US,---,"$169,326,422.05 ","7,749,493"
Trade Desk Inc/The,TTD,0.00,Advertising,US,---,"$155,579,751.04 ","11,339,632"
DaVita Inc,DVA,0.00,Health Care Services,US,---,"$149,995,017.96 ","852,196"
Brown-Forman Corp,BF/B,0.00,Distillers & Vintners,US,---,"$118,811,873.35 ","4,471,655"
News Corp,NWS,0.00,Publishing,US,---,"$110,014,860.57 ","3,197,177"
Paramount Skydance Corp,PSKY,0.00,Broadcasting,US,---,"$91,438,291.95 ","8,381,145"
HOLOGIC INC - CVR (APRIL 2026),---,0.00,Health Care Equipment,US,---,"$56,982.28 ","5,698,228"
ABIOMED INC-CVR,2223637D,0.00,Health Care Equipment,US,---,$183.60 ,180
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
