Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-09-15 00:00:00-04:00,213.88506126201227,215.67504874900288,213.23246388012342,215.45130920410156,2598900,0.0,0.0,0.0
2021-09-16 00:00:00-04:00,215.3021103046675,215.84283783946663,213.77316198148011,215.2554931640625,2537200,0.0,0.0,0.0
2021-09-17 00:00:00-04:00,214.92922132183003,215.19959224467192,213.16720124311988,213.53079223632812,3078200,0.0,0.0,0.0
2021-09-20 00:00:00-04:00,210.23982954734754,210.98566125918248,207.25651692556448,209.8296356201172,7749300,0.0,0.0,0.0
2021-09-21 00:00:00-04:00,211.1720884022597,211.65688108627683,209.2609135581524,209.8109588623047,4564400,0.0,0.0,0.0
2021-09-22 00:00:00-04:00,211.00430827930063,212.96210049420617,210.53816524352933,211.92727661132812,4187300,0.0,0.0,0.0
2021-09-23 00:00:00-04:00,212.97140792167502,215.3114405704386,212.607816964687,214.50967407226562,3778100,0.0,0.0,0.0
2021-09-24 00:00:00-04:00,213.7465190739969,215.05583352642597,213.40983617616408,214.7659149169922,3122800,0.724,0.0,0.0
2021-09-27 00:00:00-04:00,214.317017896387,214.98102229921736,213.70911066328642,214.29830932617188,2856700,0.0,0.0,0.0
2021-09-28 00:00:00-04:00,212.90482431350156,213.03575577080989,209.53800929537667,209.80921936035156,5078600,0.0,0.0,0.0
2021-09-29 00:00:00-04:00,210.63222166345338,211.3523518016282,209.75310434914147,209.9495086669922,4585500,0.0,0.0,0.0
2021-09-30 00:00:00-04:00,210.75382122319638,213.6062577203891,207.56468750804345,207.67691040039062,5080200,0.0,0.0,0.0
2021-10-01 00:00:00-04:00,208.64954444701792,211.01567209520306,206.7042668915473,210.5386962890625,5148600,0.0,0.0,0.0
2021-10-04 00:00:00-04:00,209.71570421639427,209.86532997382764,206.25534635607275,207.36827087402344,4984000,0.0,0.0,0.0
2021-10-05 00:00:00-04:00,208.02291094901224,210.4171083858435,207.71429803889612,209.30418395996094,3568200,0.0,0.0,0.0
2021-10-06 00:00:00-04:00,207.51791907152042,210.248785470993,206.6668574336465,210.17396545410156,3076000,0.0,0.0,0.0
2021-10-07 00:00:00-04:00,211.8293073865546,213.56883339551416,211.46456875260137,212.1940460205078,3081300,0.0,0.0,0.0
2021-10-08 00:00:00-04:00,212.6709703683632,212.81126321564736,211.38036465017245,211.7263946533203,1922600,0.0,0.0,0.0
