Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-08-30 00:00:00-04:00,386.2946078032045,388.0646299673604,386.04308776455485,387.3193664550781,2811800,0.0,0.0,0.0
2021-08-31 00:00:00-04:00,387.22627649499805,387.56163661156006,386.22013928533977,386.6579895019531,6062900,0.0,0.0,0.0
2021-09-01 00:00:00-04:00,387.5896224273412,388.09269108297104,386.7605186576813,387.06793212890625,3256400,0.0,0.0,0.0
2021-09-02 00:00:00-04:00,388.2883039761573,388.8845376845065,387.07724334730653,388.2231140136719,2835500,0.0,0.0,0.0
2021-09-03 00:00:00-04:00,387.1517993412972,388.53056861536135,386.7605458050028,388.0740966796875,3740000,0.0,0.0,0.0
2021-09-07 00:00:00-04:00,387.79460221151913,387.8132522856596,386.07117615299035,386.6394348144531,3542500,0.0,0.0,0.0
2021-09-08 00:00:00-04:00,386.1736501018598,386.8537239397846,384.4408989512457,386.2668151855469,4012600,0.0,0.0,0.0
2021-09-09 00:00:00-04:00,385.99657516686074,387.60824269021305,384.34766436076234,384.5339660644531,3887800,0.0,0.0,0.0
2021-09-10 00:00:00-04:00,386.3226232611617,386.70458011895977,381.413134321633,381.5621643066406,4035500,0.0,0.0,0.0
2021-09-13 00:00:00-04:00,384.30108057644316,384.478085680412,380.3790784711088,382.45654296875,4738300,0.0,0.0,0.0
2021-09-14 00:00:00-04:00,383.83523820351576,383.98429661183764,379.61511974597323,380.4721984863281,3657700,0.0,0.0,0.0
2021-09-15 00:00:00-04:00,380.82622829001434,384.0588598353543,379.8107944840699,383.6489562988281,3891400,0.0,0.0,0.0
2021-09-16 00:00:00-04:00,383.1365767320286,383.9936555480516,380.30455201383705,382.9875183105469,3351500,0.0,0.0,0.0
2021-09-17 00:00:00-04:00,382.27954544390064,382.68012397977714,378.94442351035394,379.23321533203125,5396100,0.0,0.0,0.0
2021-09-20 00:00:00-04:00,373.671654585157,375.09702069372184,368.5106443100612,373.0381774902344,10942700,0.0,0.0,0.0
2021-09-21 00:00:00-04:00,375.1155759796804,376.27074323430315,372.1158427020418,372.6748046875,6418100,0.0,0.0,0.0
2021-09-22 00:00:00-04:00,374.65917355459203,378.08743267029286,373.81141959831945,376.27081298828125,6004800,0.0,0.0,0.0
2021-09-23 00:00:00-04:00,377.9569251648378,382.2515875087757,377.7333517430232,380.8169250488281,4098000,0.0,0.0,0.0
2021-09-24 00:00:00-04:00,379.3170188000056,382.07452818769775,379.11206704909705,381.4503479003906,3417700,0.0,0.0,0.0
2021-09-27 00:00:00-04:00,380.48165769745805,381.5529851782152,379.7084187084807,380.3698425292969,3546600,0.0,0.0,0.0
2021-09-28 00:00:00-04:00,377.8079034676886,378.10602034574686,372.0133881391369,372.76800537109375,8234300,0.0,0.0,0.0
2021-09-29 00:00:00-04:00,373.9531085454327,375.53266779755063,372.7941242720515,373.35491943359375,4724200,1.308,0.0,0.0
2021-09-30 00:00:00-04:00,374.65407761935,375.2802765102152,368.56950317280916,368.6255798339844,9511200,0.0,0.0,0.0
2021-10-01 00:00:00-04:00,370.3360188570505,374.6540930851464,367.10211247191387,373.0371398925781,8482200,0.0,0.0,0.0
2021-10-04 00:00:00-04:00,372.10251011543164,372.86892925387514,366.3450680047523,368.4480285644531,8820400,0.0,0.0,0.0
2021-10-05 00:00:00-04:00,369.70977008525915,374.18674695041136,368.9901005965095,372.0277099609375,5523200,0.0,0.0,0.0
2021-10-06 00:00:00-04:00,368.85921467087854,373.87827513545767,367.3731262137792,373.6820068359375,6590000,0.0,0.0,0.0
2021-10-07 00:00:00-04:00,376.72898681908015,379.51422263998757,376.5233628940338,376.897216796875,4409200,0.0,0.0,0.0
2021-10-08 00:00:00-04:00,377.6356434351484,377.96277633612857,375.67287455249533,376.1869201660156,3960900,0.0,0.0,0.0
2021-10-11 00:00:00-04:00,375.6447951836213,378.2898393891018,373.4483642578125,373.4483642578125,3695700,0.0,0.0,0.0
2021-10-12 00:00:00-04:00,374.37359297940844,374.71943702036066,371.8687408566584,372.7005920410156,6201300,0.0,0.0,0.0
2021-10-13 00:00:00-04:00,373.52314926924663,374.68210493041664,370.82199990143806,373.8970031738281,6492400,0.0,0.0,0.0
2021-10-14 00:00:00-04:00,377.31786292412613,380.35547257838226,376.86922107605864,380.1778869628906,3785200,0.0,0.0,0.0
2021-10-15 00:00:00-04:00,382.19674031358636,383.4491667430999,381.5985511705915,383.1407165527344,3501600,0.0,0.0,0.0
2021-10-18 00:00:00-04:00,381.52384544674675,384.5707826873087,380.89761788230334,384.30908203125,3402700,0.0,0.0,0.0
2021-10-19 00:00:00-04:00,385.7670884313078,387.2999267578125,385.2063217491514,387.2999267578125,2838300,0.0,0.0,0.0
2021-10-20 00:00:00-04:00,387.63634564648277,389.019636536596,387.55223065308223,388.8046569824219,3208200,0.0,0.0,0.0
2021-10-21 00:00:00-04:00,388.23451314443815,389.9729466244593,387.8232652952069,389.75799560546875,2579500,0.0,0.0,0.0
2021-10-22 00:00:00-04:00,389.35612289687117,390.6833372146628,387.5990064880487,389.365478515625,3648900,0.0,0.0,0.0
2021-10-25 00:00:00-04:00,390.3468306221179,391.74880415290147,388.748560260303,391.38427734375,2511500,0.0,0.0,0.0
2021-10-26 00:00:00-04:00,392.80495057790944,393.98261752214114,391.4870919791801,391.7581481933594,3085300,0.0,0.0,0.0
2021-10-27 00:00:00-04:00,392.23484677604563,392.8236802758354,390.0103773427188,390.0570983886719,2873500,0.0,0.0,0.0
2021-10-28 00:00:00-04:00,391.41232135747293,393.89849121095324,391.38428302737907,393.8704528808594,3643600,0.0,0.0,0.0
2021-10-29 00:00:00-04:00,391.7582298160765,394.9079932440207,391.49652916541373,394.571533203125,4637400,0.0,0.0,0.0
2021-11-01 00:00:00-04:00,395.53406277685343,395.8892339158377,393.748879988899,395.4031982421875,3937300,0.0,0.0,0.0
2021-11-02 00:00:00-04:00,395.4967591151961,397.1884716964454,395.36592307388446,396.9361267089844,2989200,0.0,0.0,0.0
2021-11-03 00:00:00-04:00,396.42208190223954,399.7120364570566,396.0014783990765,399.3288269042969,3562900,0.0,0.0,0.0
2021-11-04 00:00:00-04:00,399.88958668354496,401.3102429176686,399.5998477708173,401.1980895996094,4287300,0.0,0.0,0.0
2021-11-05 00:00:00-04:00,403.34784603646665,404.4787920916936,401.24488536156696,402.562744140625,4942900,0.0,0.0,0.0
2021-11-08 00:00:00-05:00,403.65619164779474,404.0861221767567,402.36637153768663,403.0486755371094,3511600,0.0,0.0,0.0
2021-11-09 00:00:00-05:00,403.357110314384,403.534695901908,400.3475394669023,401.6373596191406,4696000,0.0,0.0,0.0
2021-11-10 00:00:00-05:00,400.1139598845258,401.64679821494315,397.0483117469201,398.403564453125,6350700,0.0,0.0,0.0
2021-11-11 00:00:00-05:00,399.74942371329973,399.8615770394046,398.52503569794425,398.53436279296875,3634600,0.0,0.0,0.0
2021-11-12 00:00:00-05:00,399.71200930507723,402.05798750786005,398.8427925490272,401.4971923828125,3655500,0.0,0.0,0.0
2021-11-15 00:00:00-05:00,402.7870507084938,402.8431273739797,400.6373406130323,401.68414306640625,3122300,0.0,0.0,0.0
2021-11-16 00:00:00-05:00,401.4503579183201,404.3197366914702,401.40363688579043,403.21685791015625,3267000,0.0,0.0,0.0
2021-11-17 00:00:00-05:00,403.05804366712067,403.1982638419738,401.7495407132174,402.2449035644531,3764900,0.0,0.0,0.0
2021-11-18 00:00:00-05:00,403.245036567319,403.92734072365744,400.77754908951607,403.6375732421875,4732200,0.0,0.0,0.0
2021-11-19 00:00:00-05:00,403.6468817150622,404.69368409008285,402.2542637543535,402.8804626464844,4886200,0.0,0.0,0.0
2021-11-22 00:00:00-05:00,404.6375402903526,406.95547982417554,401.637325316315,401.8149108886719,4868300,0.0,0.0,0.0
2021-11-23 00:00:00-05:00,401.49723091713577,403.10482855084393,399.1325697750818,402.3384094238281,6795200,0.0,0.0,0.0
2021-11-24 00:00:00-05:00,400.55313214067354,403.5346644272164,399.7586748673828,403.32904052734375,4569600,0.0,0.0,0.0
