Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17 00:00:00-04:00,126.9932193214782,128.04857541453467,126.54470237551632,127.41536712646484,7577000,0.0,0.0
2021-08-18 00:00:00-04:00,127.2570101404228,127.4153188621788,125.92023610314874,126.0257797241211,7162000,0.0,0.0
2021-08-19 00:00:00-04:00,125.90267443370452,127.76711316109012,125.90267443370452,127.51207733154297,5787200,0.0,0.0
2021-08-20 00:00:00-04:00,127.74073727117863,128.38273515373044,127.32739267599122,127.60002136230469,5273800,0.0,0.0
2021-08-23 00:00:00-04:00,126.896463104528,127.81989286207747,126.84369799028092,126.9492416381836,4522200,0.0,0.0
2021-08-24 00:00:00-04:00,126.65022157948636,126.77334465702474,125.74438463343775,125.92027282714844,4560400,0.0,0.0
2021-08-25 00:00:00-04:00,125.8235304868765,125.8762955966577,125.10237153478052,125.47174072265625,3861500,0.0,0.0
2021-08-26 00:00:00-04:00,125.37501516715265,125.50694137674655,124.41641310671835,125.25189208984375,4749400,0.0,0.0
2021-08-27 00:00:00-04:00,125.30465700229044,125.55970628877876,124.56591853963745,125.1551513671875,4741200,0.0,0.0
2021-08-30 00:00:00-04:00,125.41019318549903,125.75317983840655,124.92649061872991,125.70040130615234,3845800,0.0,0.0
2021-08-31 00:00:00-04:00,125.79718794852059,126.22812556046567,124.92653642848205,125.22554779052734,9642400,0.0,0.0
2021-09-01 00:00:00-04:00,125.17275340475392,126.80853921756228,125.084802592042,126.50072479248047,6214200,0.0,0.0
2021-09-02 00:00:00-04:00,126.6150354702241,127.28341590103825,126.27204883318154,126.59744262695312,5392500,0.0,0.0
2021-09-03 00:00:00-04:00,126.43036025393808,126.96682797700969,126.21929978545694,126.68540954589844,5466400,0.0,0.0
2021-09-07 00:00:00-04:00,126.92286432511116,127.08115967439268,126.01701395527819,126.21049499511719,6520600,0.0,0.0
2021-09-08 00:00:00-04:00,125.83230095145711,127.46808620150212,125.77073271985826,127.16907501220703,6897800,0.0,0.0
2021-09-09 00:00:00-04:00,127.14273747886253,127.4153662138323,126.33362756813857,126.63265228271484,6354700,0.0,0.0
2021-09-10 00:00:00-04:00,126.6941843211559,127.04597409282898,126.0433967275241,126.75575256347656,5750000,0.0,0.0
2021-09-13 00:00:00-04:00,127.38896122159545,129.48205333859443,127.38896122159545,128.118896484375,9952500,0.0,0.0
2021-09-14 00:00:00-04:00,128.51465367307262,128.71692439286542,127.47689068138318,127.8990249633789,5831800,0.0,0.0
2021-09-15 00:00:00-04:00,127.82870324267864,128.1980724827621,127.29223551839833,127.62641906738281,6237100,0.0,0.0
2021-09-16 00:00:00-04:00,127.3801493905266,127.68796374347237,125.60366148087154,126.73815155029297,6142100,0.0,0.0
2021-09-17 00:00:00-04:00,126.96685039769162,128.64661182616044,126.84372729619928,126.94046783447266,18737400,0.0,0.0
2021-09-20 00:00:00-04:00,126.834936478653,127.38899714025625,124.8561637379688,125.6652603149414,10238700,0.0,0.0
2021-09-21 00:00:00-04:00,125.74440075155795,127.10755791151324,125.65646335313514,125.85873413085938,6651300,0.0,0.0
2021-09-22 00:00:00-04:00,126.48314627599912,126.94925606402593,125.63886409388051,126.28966522216797,6332500,0.0,0.0
2021-09-23 00:00:00-04:00,126.69418410303182,127.24824460533324,126.19290213094624,126.80851745605469,5171200,0.0,0.0
2021-09-24 00:00:00-04:00,126.46553771994205,127.03717767744601,125.84111922934116,126.24567413330078,5009400,0.0,0.0
2021-09-27 00:00:00-04:00,125.89388979727069,125.91148264239852,124.4603882754621,124.58351135253906,5749700,0.0,0.0
2021-09-28 00:00:00-04:00,124.04704914108382,124.32846757856197,122.73665721884342,123.64249420166016,7015300,0.0,0.0
2021-09-29 00:00:00-04:00,123.3610557167143,125.48053033454606,123.28189463269818,124.90010070800781,5460000,0.0,0.0
2021-09-30 00:00:00-04:00,125.44538614308688,125.53333695860752,122.7102821810835,122.94773864746094,6934900,0.0,0.0
2021-10-01 00:00:00-04:00,123.06203527110559,123.32587424823183,121.64612671332405,122.75423431396484,5587200,0.0,0.0
2021-10-04 00:00:00-04:00,122.58714914184795,123.47539326111107,121.0129316593105,122.0594711303711,5816000,0.0,0.0
2021-10-05 00:00:00-04:00,122.06824551163169,123.58090780754536,121.99788756537919,122.53435516357422,6902700,0.0,0.0
2021-10-06 00:00:00-04:00,122.23537657470209,124.23172847728738,121.9099693090245,124.17017364501953,5332900,0.0,0.0
2021-10-07 00:00:00-04:00,124.66265264417046,125.78835312535881,124.66265264417046,125.16394805908203,5334600,0.0,0.0
2021-10-08 00:00:00-04:00,125.13758059109117,125.42780219961828,124.03826241609967,124.64508819580078,6131800,0.0,0.0
2021-10-11 00:00:00-04:00,125.2079100405375,125.55969982803902,124.6802454883976,125.16394805908203,5995600,0.0,0.0
2021-10-12 00:00:00-04:00,125.41020844140434,125.79715712248303,124.61869139420253,124.9792709350586,6734800,0.0,0.0
2021-10-13 00:00:00-04:00,125.23432266491433,125.55092683997565,124.02947422454194,125.2695083618164,5689800,0.0,0.0
2021-10-14 00:00:00-04:00,125.6124740997552,126.91406285988941,125.59488125424537,126.68540954589844,6777800,0.0,0.0
2021-10-15 00:00:00-04:00,127.09874639600888,127.40654736680709,126.35999454339463,127.01079559326172,6923700,0.0,0.0
2021-10-18 00:00:00-04:00,126.24565644003697,126.37756920577087,124.9704505001187,125.18151092529297,9119000,0.0,0.0
2021-10-19 00:00:00-04:00,122.31453134869517,123.84478698313963,122.06828516651935,123.70407104492188,9555300,0.0,0.0
2021-10-20 00:00:00-04:00,123.25549619210064,124.84731950737927,122.99167067740781,124.18772888183594,7352700,0.0,0.0
2021-10-21 00:00:00-04:00,124.64788116299712,124.9133557092275,123.16123180566478,123.29397583007812,6545500,0.87,0.0
2021-10-22 00:00:00-04:00,123.34708594460504,124.78062979871605,123.28514952629814,124.62135314941406,5265000,0.0,0.0
2021-10-25 00:00:00-04:00,124.24968482053032,124.70098212899744,123.04621182868743,124.63904571533203,5382100,0.0,0.0
2021-10-26 00:00:00-04:00,125.32045269617001,126.70090465908751,124.98419741199874,126.40889739990234,6234900,0.0,0.0
2021-10-27 00:00:00-04:00,126.66549653998372,127.14334003591723,125.38238501131454,125.50627136230469,9643500,0.0,0.0
2021-10-28 00:00:00-04:00,125.55934523714258,126.43540727137726,125.40006859597132,126.25841522216797,4538500,0.0,0.0
2021-10-29 00:00:00-04:00,125.79827157782093,126.96634076781739,125.67438524702438,126.53274536132812,6239500,0.0,0.0
2021-11-01 00:00:00-04:00,126.86014835053074,127.24950922353399,126.09028430783573,126.22301483154297,5038900,0.0,0.0
2021-11-02 00:00:00-04:00,126.2938278015404,127.93975405424018,125.90446687040304,127.47959899902344,9954300,0.0,0.0
2021-11-03 00:00:00-04:00,127.54157006506718,128.4087745992585,127.00177659424794,128.35568237304688,7620100,0.0,0.0
2021-11-04 00:00:00-04:00,126.4000268989479,128.6565409188176,125.95757369907541,128.5946044921875,6402500,0.0,0.0
2021-11-05 00:00:00-04:00,128.7007994478539,129.52375598556378,128.13445984587904,129.2317352294922,6062700,0.0,0.0
2021-11-08 00:00:00-05:00,128.75388262238113,129.2848318692867,127.44422491664098,128.26718139648438,5854400,0.0,0.0
2021-11-09 00:00:00-05:00,128.33798829646736,129.04591619523174,127.93978307297536,128.65655517578125,4873100,0.0,0.0
2021-11-10 00:00:00-05:00,128.96625085604924,130.3555467454453,128.8335068076033,129.9219512939453,7334900,0.0,0.0
2021-11-11 00:00:00-05:00,129.95737116505782,130.0547114216861,129.3821873320919,129.55030822753906,4096300,0.0,0.0
2021-11-12 00:00:00-05:00,129.85113889007565,130.1520037533771,129.1786015455232,129.6918487548828,5687400,0.0,0.0
2021-11-15 00:00:00-05:00,130.1077696603072,130.74490326403523,129.61222430242947,130.4351806640625,5510200,0.0,0.0
2021-11-16 00:00:00-05:00,130.4263682475816,131.48825334504772,130.09009945738669,130.2493896484375,7603900,0.0,0.0
2021-11-17 00:00:00-05:00,130.05468136969128,130.77145331987276,129.56798019901288,130.1697235107422,4900200,0.0,0.0
2021-11-18 00:00:00-05:00,130.11661432408917,131.03692442278475,129.64761507281872,130.18740844726562,5509300,0.0,0.0
2021-11-19 00:00:00-05:00,130.92188624539125,131.1696589327052,129.89539168217712,129.9219512939453,6274300,0.0,0.0
2021-11-22 00:00:00-05:00,130.05468020223083,131.79794669626727,129.93079386013375,130.78915405273438,6625400,0.0,0.0
2021-11-23 00:00:00-05:00,130.81571760507777,132.29350970521867,130.6741293373444,132.24041748046875,7912800,0.0,0.0
2021-11-24 00:00:00-05:00,131.64751112939547,131.7448513603534,130.68295302168542,131.5501708984375,5665200,0.0,0.0
2021-11-26 00:00:00-05:00,131.4793778672602,132.48817049529143,130.35554310097857,130.49713134765625,6299800,0.0,0.0
2021-11-29 00:00:00-05:00,130.7803145313028,132.43509872683035,129.8954081068326,131.86875915527344,7113300,0.0,0.0
2021-11-30 00:00:00-05:00,130.7980253540571,131.44400330721388,127.5327182648241,127.93978118896484,11696400,0.0,0.0
2021-12-01 00:00:00-05:00,128.1787139331431,130.85112188311615,128.1787139331431,129.55030822753906,8313500,0.0,0.0
2021-12-02 00:00:00-05:00,130.0900527517205,131.37317751569404,130.02811634042754,130.311279296875,9468800,0.0,0.0
2021-12-03 00:00:00-05:00,130.98383448188258,132.73594517749797,130.66526767335264,132.6297607421875,11200800,0.0,0.0
2021-12-06 00:00:00-05:00,132.9040950371537,134.8508864263122,132.9040950371537,134.6385040283203,11935100,0.0,0.0
2021-12-07 00:00:00-05:00,134.4615550353184,135.01905051359518,133.85982502916832,134.28457641601562,7913400,0.0,0.0
2021-12-08 00:00:00-05:00,134.21378260660563,135.08984500288034,132.98376297083178,134.8863067626953,8329300,0.0,0.0
2021-12-09 00:00:00-05:00,134.78007935945186,136.44370756090427,134.15180343407704,135.67384338378906,8334300,0.0,0.0
2021-12-10 00:00:00-05:00,136.14283575807787,137.8684002931528,135.77116324043263,137.56753540039062,7172300,0.0,0.0
2021-12-13 00:00:00-05:00,137.4259544393124,140.10721951344152,137.08084151400664,139.52317810058594,8944000,0.0,0.0
2021-12-14 00:00:00-05:00,139.7267153468248,140.3727067415654,138.62944005101355,140.03643798828125,8677500,0.0,0.0
2021-12-15 00:00:00-05:00,139.49660058433616,141.26641282900047,139.49660058433616,140.57618713378906,9152600,0.0,0.0
2021-12-16 00:00:00-05:00,140.4612094023878,142.75312757178216,140.18689053913647,142.56729125976562,10852900,0.0,0.0
2021-12-17 00:00:00-05:00,142.169100827583,143.10709968448361,139.20465824917133,139.33740234375,24349400,0.0,0.0
2021-12-20 00:00:00-05:00,138.57632243819322,140.22224858295297,138.54977633122917,139.69129943847656,9202600,0.0,0.0
2021-12-21 00:00:00-05:00,139.50547348711552,139.94792663931392,138.74445352523034,139.60281372070312,6946000,0.0,0.0
2021-12-22 00:00:00-05:00,139.61165380913386,141.21333185757564,139.16920071276442,140.98326110839844,6626300,0.0,0.0
2021-12-23 00:00:00-05:00,141.14257369727974,142.39913919076164,141.0894814726059,141.67352294921875,5640900,0.0,0.0
2021-12-27 00:00:00-05:00,142.17789667251634,143.34597949500068,142.12480445378503,143.32827758789062,4548600,0.0,0.0
2021-12-28 00:00:00-05:00,143.31943613724212,144.576001514204,143.3017342297922,144.09814453125,5929400,0.0,0.0
2021-12-29 00:00:00-05:00,144.42556597558843,145.9918404352072,144.31052383351744,145.2927703857422,5346100,0.0,0.0
2021-12-30 00:00:00-05:00,145.47859726252216,145.64673162796285,143.8946208510638,144.0362091064453,5911500,0.0,0.0
2021-12-31 00:00:00-05:00,144.11582665035615,144.8856907362297,143.76186956555384,144.75296020507812,5327000,0.0,0.0
2022-01-03 00:00:00-05:00,143.08051594980947,144.18664893414208,141.47883754891183,144.1512451171875,9317300,0.0,0.0
2022-01-04 00:00:00-05:00,143.6114431518886,145.46975185624558,143.51410291494423,144.6556396484375,9253800,0.0,0.0
2022-01-05 00:00:00-05:00,144.62910413132815,146.29273248364154,144.59370031388312,145.31048583984375,9330200,0.0,0.0
2022-01-06 00:00:00-05:00,145.4254980855125,146.18651804353343,143.89461396740708,144.08929443359375,7556000,0.0,0.0
2022-01-07 00:00:00-05:00,144.3547564414643,144.70871352953375,143.31056007724388,144.0096435546875,6098500,0.0,0.0
2022-01-10 00:00:00-05:00,143.80610549968927,144.34589883605176,141.73542817761583,142.04515075683594,8055000,0.0,0.0
2022-01-11 00:00:00-05:00,141.77965174954198,141.77965174954198,138.85061481549022,140.39920043945312,11957900,0.0,0.0
2022-01-12 00:00:00-05:00,140.04522853444448,141.01863060384412,139.66472540896683,140.7089080810547,7127500,0.0,0.0
2022-01-13 00:00:00-05:00,140.97444675377474,141.09833311874877,139.62054094277255,140.07183837890625,6551000,0.0,0.0
2022-01-14 00:00:00-05:00,139.87714183523462,142.01861340753783,139.42583099182232,141.4168701171875,10708000,0.0,0.0
2022-01-18 00:00:00-05:00,140.28417907845912,140.28417907845912,138.08075777524144,138.69134521484375,10988400,0.0,0.0
2022-01-19 00:00:00-05:00,139.47007472136627,145.29275947163617,138.90373526098793,143.3548126220703,14088300,0.0,0.0
2022-01-20 00:00:00-05:00,142.45624960051782,146.20182657740682,142.45624960051782,144.1288604736328,10799100,0.87,0.0
2022-01-21 00:00:00-05:00,145.01851950895636,147.1092827357591,144.21780918726765,144.68043518066406,10900400,0.0,0.0
2022-01-24 00:00:00-05:00,145.40109122921274,146.01497553703572,141.210685991863,143.50607299804688,14838100,0.0,0.0
2022-01-25 00:00:00-05:00,142.74986266342782,143.50609985163464,140.47227271728497,141.94024658203125,9369600,0.0,0.0
2022-01-26 00:00:00-05:00,139.9829102087668,141.966915769523,139.1288209702696,140.70355224609375,10707100,0.0,0.0
2022-01-27 00:00:00-05:00,141.21958809794052,143.5505702441433,141.08614088034537,141.57546997070312,9083000,0.0,0.0
2022-01-28 00:00:00-05:00,141.11282403790463,143.19468199268326,139.96513729119482,142.79432678222656,9494200,0.0,0.0
