Date,CASH
2021-08-18,-0.006762394293813978
2021-08-19,-0.009077647049396065
2021-08-20,0.020611933922063175
2021-08-23,0.006732045890170957
2021-08-24,0.011347501096547141
2021-08-25,-0.007813946987588749
2021-08-26,-0.027463686402428023
2021-08-27,0.03592194243388769
2021-08-30,-0.027861339322360457
2021-08-31,0.014226852834358983
2021-09-01,0.0016262653380287873
2021-09-02,0.0
2021-09-03,-0.003450399978053187
2021-09-07,-0.016496792648488134
2021-09-08,0.0356549614715298
2021-09-09,0.018414858819130853
2021-09-10,0.004520299290239116
2021-09-13,0.010565366644178065
2021-09-14,-0.025363025419667173
2021-09-15,0.01549462260004808
2021-09-16,0.006651161205612821
2021-09-17,0.010104824986448824
2021-09-20,-0.04232386696187174
2021-09-21,-0.008236379918076575
2021-09-22,0.027952354411103997
2021-09-23,0.0185222463519088
2021-09-24,-0.001547734538192791
2021-09-27,0.006200159035496311
2021-09-28,-0.006161953941092202
2021-09-29,0.015307222913501173
2021-09-30,0.0015266151357851143
2021-10-01,0.03296482877210116
2021-10-04,0.014572993406806178
2021-10-05,0.008909050325866197
2021-10-06,0.0001802617823416508
2021-10-07,0.025765797974986127
2021-10-08,0.0
2021-10-11,0.010714834601063039
2021-10-12,0.025199987943170354
2021-10-13,0.0050854149895560585
2021-10-14,0.016022988332740518
2021-10-15,0.008466189378743216
2021-10-18,0.012345595430872658
2021-10-19,-0.012845371889553703
2021-10-20,0.012353728634413752
2021-10-21,0.0017897648179585612
2021-10-22,0.006496740066118667
2021-10-25,0.01323230929968866
2021-10-26,-0.017678094214907625
2021-10-27,-0.041990980432441316
2021-10-28,-0.067693353251145
2021-10-29,0.006353211514789958
2021-11-01,0.03986307624518015
2021-11-02,0.002081353355515292
2021-11-03,0.03894769349224925
2021-11-04,0.0011662725435614973
2021-11-05,0.03261771936053903
2021-11-08,0.02320710104238133
2021-11-09,0.007717715453067875
2021-11-10,0.011878614751682948
2021-11-11,-0.018381195273335038
2021-11-12,0.008025350448545243
2021-11-15,0.02216652052441126
2021-11-16,-0.010842940288129821
2021-11-17,-0.01976217198007202
2021-11-18,-0.006930341884154867
2021-11-19,-0.0033306750538574237
2021-11-22,0.011298529440094685
2021-11-23,0.0225018749934367
2021-11-24,0.002308435115059959
2021-11-26,-0.05174254208999729
2021-11-29,-0.00226695471223326
2021-11-30,-0.030022595750160308
2021-12-01,-0.03747708381709325
2021-12-02,0.023292206865076492
2021-12-03,-0.027348404015699712
2021-12-06,0.023052861426556603
2021-12-07,-0.0006830130120203393
2021-12-08,0.013506614118962146
2021-12-09,-0.012314274843476136
2021-12-10,-0.014005053440788506
2021-12-13,-0.01749533071272602
2021-12-14,0.010049396729995497
2021-12-15,0.01256743149934092
2021-12-16,0.0022410261218479555
2021-12-17,-0.03216370506123967
2021-12-20,-0.02683500186602006
2021-12-21,0.03305342744597439
2021-12-22,0.01785422300656614
2021-12-23,0.0036468625677625877
2021-12-27,0.021110848220757372
2021-12-28,0.007117568413003816
2021-12-29,0.007571964254077024
2021-12-30,-0.0021709757510819383
2021-12-31,-0.0015063081520040322
2022-01-03,0.006537139016255411
2022-01-04,0.006827544368741556
2022-01-05,-0.02133651148226423
2022-01-06,0.04681435459464334
2022-01-07,0.0037133012718506553
2022-01-10,-0.006273213859461335
2022-01-11,-0.02088044580894488
2022-01-12,0.02000326851839973
2022-01-13,0.007293321694378907
2022-01-14,0.013998356745017704
2022-01-18,-0.028720943365445395
2022-01-19,-0.025812768333442704
2022-01-20,-0.028676799620428683
2022-01-21,-0.00915058289000159
2022-01-24,0.007666838582508273
2022-01-25,-0.006052052613172099
2022-01-26,-0.01096056491099029
2022-01-27,-0.004221566684244338
2022-01-28,0.02172756902662365
2022-01-31,0.028008291246174766
2022-02-01,0.035654146828037137
2022-02-02,-0.04075994783363268
2022-02-03,-0.023700754276893665
2022-02-04,0.01023058717681713
2022-02-07,-0.00446261949809057
2022-02-08,0.027586065841130436
2022-02-09,-0.02651006366536568
2022-02-10,-0.012409378668459703
2022-02-11,-0.008376961083760182
2022-02-14,-0.0017599432014918648
2022-02-15,0.02979537593240833
2022-02-16,0.005821119221772975
2022-02-17,-0.03863844881622491
2022-02-18,-0.006373799086952903
2022-02-22,-0.019066383562103772
2022-02-23,-0.01834698800033885
2022-02-24,-0.007956959518483298
2022-02-25,0.030218088405102872
2022-02-28,0.0028970459649231284
2022-03-01,-0.03520486701501846
2022-03-02,0.05333064148965838
2022-03-03,-0.0026646681368679426
2022-03-04,-0.026718911458047057
2022-03-07,-0.08967773066605012
2022-03-08,-0.006031516616969768
2022-03-09,0.040899075836833054
2022-03-10,-0.011281888720288347
2022-03-11,0.00826278282552928
2022-03-14,0.02282910930012738
2022-03-15,-0.008965877623827057
2022-03-16,0.04600579152996942
2022-03-17,0.02208307673251264
2022-03-18,0.007562138585538669
2022-03-21,-0.02340946377514297
2022-03-22,0.019030074104740446
2022-03-23,-0.0427365340264918
2022-03-24,0.0046894935859813636
2022-03-25,0.03230027120438783
2022-03-28,0.0036172739012936272
2022-03-29,0.03117690301580689
2022-03-30,-0.0190494032898888
2022-03-31,-0.021557131476588554
2022-04-01,-0.005098386159806734
2022-04-04,-0.012445053243192894
2022-04-05,-0.0027797883812439306
2022-04-06,-0.03233596346830048
2022-04-07,-0.04301900691086691
2022-04-08,-0.0024082388410857636
2022-04-11,-0.014483925196627667
2022-04-12,-0.003266068062755645
2022-04-13,0.015769025412477378
2022-04-14,-0.028629040916198
2022-04-18,-0.007886989509762965
2022-04-19,0.04497907068391993
2022-04-20,-0.008608777568006598
2022-04-21,-0.029079153618193132
2022-04-22,-0.02287827110770191
2022-04-25,0.008939915078720606
2022-04-26,-0.044303914336968786
2022-04-27,-0.007726361885093791
2022-04-28,0.02157963336696933
2022-04-29,-0.04943384775548876
2022-05-02,-0.007101817261025212
2022-05-03,-0.008537402887388468
2022-05-04,0.026763234596023366
2022-05-05,-0.0444244699041807
2022-05-06,-0.026328417744914123
2022-05-09,-0.03751511382350681
2022-05-10,-0.020754124418099984
2022-05-11,-0.002843288697554569
2022-05-12,0.007257633595257662
2022-05-13,0.01466800264618029
2022-05-16,-0.025361187891564718
2022-05-17,0.03278687202945618
2022-05-18,-0.039808543828731224
2022-05-19,-0.02676448354030092
2022-05-20,-0.0037748556315068127
2022-05-23,0.05683361417677135
2022-05-24,-0.013572349981607945
2022-05-25,0.022845491713245902
2022-05-26,0.031471890317641193
2022-05-27,0.023622166550739898
2022-05-31,-0.0007211224933520999
2022-06-01,-0.017079813274670452
2022-06-02,0.015418687382760421
2022-06-03,-0.010363959024693337
2022-06-06,0.02045782587744216
2022-06-07,-0.004534686502049801
2022-06-08,-0.009121550634824227
2022-06-09,-0.039728723030430846
2022-06-10,-0.02875873055370559
2022-06-13,-0.03948041316330575
2022-06-14,0.0032449414028767887
2022-06-15,0.015363878282159238
2022-06-16,-0.013538649215638188
2022-06-17,0.013186290654676025
2022-06-21,0.008499155478295162
2022-06-22,-0.0015799642320303287
2022-06-23,0.005275527787459877
2022-06-24,0.04040939323538528
2022-06-27,0.0010088424194190093
2022-06-28,-0.011841781211287428
2022-06-29,-0.0020400035584668963
2022-06-30,-0.01200798852479723
2022-07-01,0.050426472472622
2022-07-05,0.014278946303372342
2022-07-06,-0.010922282925565185
2022-07-07,0.0024536922425013596
2022-07-08,0.005140908387177401
2022-07-11,-0.011690386208939252
2022-07-12,-0.002956976332750716
2022-07-13,-0.021255452919917928
2022-07-14,-0.03434336488159728
2022-07-15,0.026935069201954098
2022-07-18,0.0015279561203154213
2022-07-19,0.05161445590695801
2022-07-20,0.01281420234290942
2022-07-21,0.007400377193740537
2022-07-22,-0.014454805359321532
2022-07-25,0.013464418455018334
2022-07-26,-0.010676021702792804
2022-07-27,0.03405294958994287
2022-07-28,-0.2115028117240645
2022-07-29,-0.008235304022267798
2022-08-01,-0.013048717199253157
2022-08-02,0.017127284891339523
2022-08-03,0.003545219952421075
2022-08-04,0.015307627156665005
2022-08-05,-0.008408108525499003
2022-08-08,-0.0023395555217751163
2022-08-09,0.013482205230446631
2022-08-10,0.027761567245111474
2022-08-11,0.011817685114237975
2022-08-12,0.012235894272837777
2022-08-15,0.00467005427851519
2022-08-16,0.017774482328594576
2022-08-17,-0.010209768973838185
2022-08-18,0.007871971164805425
2022-08-19,-0.015620870290301347
2022-08-22,-0.0383037430841493
2022-08-23,-0.013940219759709938
2022-08-24,0.002596776171799764
2022-08-25,0.012661615170473262
2022-08-26,-0.03410034739763945
2022-08-29,-0.014122126067740215
2022-08-30,-0.006266506907505964
2022-08-31,-0.010210305720236179
2022-09-01,0.0003037253890600944
2022-09-02,-0.008493164088737348
2022-09-06,-0.015600779642581775
2022-09-07,0.020852583460759355
2022-09-08,0.007317355192456132
2022-09-09,0.03177935739225668
2022-09-12,0.008213604704002009
2022-09-13,-0.035204978067681636
2022-09-14,-0.01357062160053113
2022-09-15,0.0061143762049282735
2022-09-16,-0.0036464480401691146
2022-09-19,0.016773777731868167
2022-09-20,-0.011097933532178583
2022-09-21,-0.0051564391647597185
2022-09-22,-0.010060774647738024
2022-09-23,-0.008315151590123082
2022-09-26,-0.0009320123917286871
2022-09-27,-0.004040967325424583
2022-09-28,0.037765196336915885
2022-09-29,-0.01112751216663288
2022-09-30,0.002433104599887992
2022-10-03,0.01243901390149671
2022-10-04,0.05543922049685235
2022-10-05,0.0005679174557911004
2022-10-06,-0.009931873243595124
2022-10-07,-0.03152790303214392
2022-10-10,0.01686885881288891
2022-10-11,0.04103643107984878
2022-10-12,0.021805842820080912
2022-10-13,0.06320097814257952
2022-10-14,-0.03371069264899207
2022-10-17,0.01917455192421258
2022-10-18,-0.005487536582904462
2022-10-19,-0.014713803388135327
2022-10-20,-0.031466405757173965
2022-10-21,0.03882169241537037
2022-10-24,0.014842288212287169
2022-10-25,0.025594154149743975
2022-10-26,0.004329104380511151
2022-10-27,0.0020284096823512954
2022-10-28,0.06376487822564125
2022-10-31,-0.00023775534699188583
2022-11-01,-0.006661857132578608
2022-11-02,-0.005029855080266543
2022-11-03,-0.030573148327209476
2022-11-04,0.04022856386567564
2022-11-07,0.017187793590847766
2022-11-08,-0.007275264517581426
2022-11-09,-0.014184484581546086
2022-11-10,0.052518059239027526
2022-11-11,0.010480768113896533
2022-11-14,-0.01082297847134428
2022-11-15,0.007066309709419016
2022-11-16,-0.014033192426487262
2022-11-17,-0.010330971449120874
2022-11-18,-0.010670041632522387
2022-11-21,0.030245712113443624
2022-11-22,0.005462204225824996
2022-11-23,0.00905410116549743
2022-11-25,0.0017942774409831497
2022-11-28,-0.0360501850690953
2022-11-29,-0.006504105447985631
2022-11-30,0.017769395095046825
2022-12-01,-0.004134972310191665
2022-12-02,0.010380665071382023
2022-12-05,-0.026255450982708983
2022-12-06,-0.007971956389726587
2022-12-07,0.003785742302797157
2022-12-08,0.000707496296102228
2022-12-09,-0.008009411590228721
2022-12-12,0.014723209595749909
2022-12-13,0.015445675305706397
2022-12-14,-0.017284885984386378
2022-12-15,-0.025328226922790353
2022-12-16,0.020452328332523972
2022-12-19,0.0
2022-12-20,0.0035366772679663594
2022-12-21,0.0162126318237672
2022-12-22,-0.018265848996154688
2022-12-23,0.0009419548488551754
2022-12-27,0.003999903787373693
2022-12-28,-0.018748554084756286
2022-12-29,0.04107970288049079
2022-12-30,-0.012388420848250203
2023-01-03,0.015330955939418134
2023-01-04,0.01898908562668722
2023-01-05,-0.008980872665682482
2023-01-06,0.03217069845486953
2023-01-09,-0.0037314222671163133
2023-01-10,0.022912452704471287
2023-01-11,-0.006245992244291676
2023-01-12,0.005418171818901696
2023-01-13,0.007113950519334944
2023-01-17,-0.005137221139708714
2023-01-18,-0.018502532866008226
2023-01-19,-0.0313460220316788
2023-01-20,0.013125294512735586
2023-01-23,0.0265803482886926
2023-01-24,-0.010008812172969006
2023-01-25,0.005055127811435245
2023-01-26,0.07259996327157636
2023-01-27,0.003669774988574792
2023-01-30,-0.00832839479879266
2023-01-31,0.016386741771249547
2023-02-01,0.025393102889602392
2023-02-02,0.022405511246274656
2023-02-03,0.009996194327204222
2023-02-06,-0.0329272569055411
2023-02-07,0.0031489283842003335
2023-02-08,-0.020796505486552874
2023-02-09,-0.012622739651192982
2023-02-10,0.008522766189768438
2023-02-13,0.016700067992784673
2023-02-14,-0.00019772684364827153
2023-02-15,0.0019794156955454945
2023-02-16,-0.003358427679723497
2023-02-17,0.026957499008651187
2023-02-21,-0.018529419473123365
2023-02-22,0.005703076347576275
2023-02-23,0.003910836606444423
2023-02-24,-0.0052591297103221635
2023-02-27,0.009203207254278478
2023-02-28,-0.010283366077368794
2023-03-01,-0.010586154298734551
2023-03-02,-0.021795069541185486
2023-03-03,0.01316586256758212
2023-03-06,-0.016593385211457257
2023-03-07,-0.009351440048835036
2023-03-08,0.017853169189663287
2023-03-09,-0.054031901120200065
2023-03-10,-0.015575189865841388
2023-03-13,-0.08820966424523247
2023-03-14,0.02804844839413234
2023-03-15,0.0009248329954751888
2023-03-16,0.06583497922561699
2023-03-17,-0.04161231106382213
2023-03-20,-0.0339213463269592
2023-03-21,0.048689035198099306
2023-03-22,-0.054687463712430606
2023-03-23,-0.016765009792456653
2023-03-24,0.01609046142906201
2023-03-27,-0.008036001666345771
2023-03-28,-0.012628310144414678
2023-03-29,-0.010858717828070463
2023-03-30,-0.017565486897544003
2023-03-31,0.030295438828231047
2023-04-03,0.0021691448136123004
2023-04-04,-0.009138788080484739
2023-04-05,0.0
2023-04-06,0.020145606936097238
2023-04-10,-0.0007138501506961381
2023-04-11,-0.014285550447667772
2023-04-12,-0.01256045131396355
2023-04-13,0.02984328120370794
2023-04-14,-0.014726758237709747
2023-04-17,0.01856317564636223
2023-04-18,-0.01846154491614571
2023-04-19,0.01808538722455988
2023-04-20,-0.01231650264773232
2023-04-21,-0.0033572325536415093
2023-04-24,-0.005533939794436393
2023-04-25,-0.02516353937042326
2023-04-26,0.008438612750597319
2023-04-27,0.0703914360558966
2023-04-28,0.023913671617108445
2023-05-01,-0.004266768848970148
2023-05-02,-0.0419487714390574
2023-05-03,0.009651639126775136
2023-05-04,-0.0006992670857957073
2023-05-05,0.04199698231737248
2023-05-08,-0.02955653760874788
2023-05-09,0.000923090273640792
2023-05-10,0.008528978219277672
2023-05-11,-0.005028625786108076
2023-05-12,0.0011489594653404378
2023-05-15,0.02019243122930736
2023-05-16,0.01596945790255888
2023-05-17,0.047376794493793284
2023-05-18,-0.025153281538325523
2023-05-19,-0.004769964854209663
2023-05-22,0.006535619031371898
2023-05-23,0.00974035695986486
2023-05-24,-0.02315113947911651
2023-05-25,0.002633331819681173
2023-05-26,0.015758493575524612
2023-05-30,-0.01077385751376847
2023-05-31,-0.042910011328752606
2023-06-01,0.035047645707957376
2023-06-02,0.06860188111785259
2023-06-05,-0.03189294138514198
2023-06-06,0.04569593554278195
2023-06-07,0.032756774707445535
2023-06-08,-0.014578256429064185
2023-06-09,-0.0049980332793304605
2023-06-12,-0.006630407475793465
2023-06-13,0.019417279936339016
2023-06-14,-0.019047430643466923
2023-06-15,-0.00020244420228998639
2023-06-16,-0.022860578430108913
2023-06-20,-0.004554828461680427
2023-06-21,-0.003951718512355207
2023-06-22,-0.03236575994341018
2023-06-23,-0.030211525286646057
2023-06-26,-0.0026703607770994786
2023-06-27,0.02141922668090368
2023-06-28,0.00851879949742207
2023-06-29,0.008230560414167698
2023-06-30,-0.004081685646776467
2023-07-03,0.034296909453505275
2023-07-05,-0.005630866506203036
2023-07-06,-0.02307044111388734
2023-07-07,0.012666256862958747
2023-07-10,0.014416040002072972
2023-07-11,0.02027166510726852
2023-07-12,0.031749125748196994
2023-07-13,0.0440740046966559
2023-07-14,-0.004563760708060416
2023-07-17,0.017956281113560513
2023-07-18,0.028335363577726147
2023-07-19,0.007116899742698024
2023-07-20,0.0007246425333988782
2023-07-21,0.0016295961424435124
2023-07-24,0.020426578267008555
2023-07-25,-0.0023028453359318357
2023-07-26,0.009588070317801511
2023-07-27,-0.06735860706514452
2023-07-28,0.004903156061902614
2023-07-31,-0.02495788353541506
2023-08-01,0.015589140788425215
2023-08-02,-0.004927239273882389
2023-08-03,-0.019615280598515916
2023-08-04,-0.0011657091136632047
2023-08-07,0.006806870235922746
2023-08-08,-0.003090574435789639
2023-08-09,-0.02305757116603835
2023-08-10,-0.0003967896760471712
2023-08-11,-0.01765853560173969
2023-08-14,-0.015552634977574864
2023-08-15,-0.010258424890589035
2023-08-16,-0.011815835188618173
2023-08-17,-0.010908363239992336
2023-08-18,0.008907616403103225
2023-08-21,0.0027331275058120053
2023-08-22,-0.002515929647908699
2023-08-23,0.004834031034789854
2023-08-24,0.006274830169910928
2023-08-25,0.00956147404891361
2023-08-28,0.01729446157955361
2023-08-29,-0.004249936697765966
2023-08-30,-0.022561125559544815
2023-08-31,0.02453748909132747
2023-09-01,0.018469499491557295
2023-09-05,-0.028298216055911096
2023-09-06,0.002666187919707852
2023-09-07,0.004295375573712734
2023-09-08,0.0006110678068875774
2023-09-11,-0.002037607631598659
2023-09-12,0.002041767953562701
2023-09-13,-0.013651305118833945
