Date,BND
2021-08-24,-0.0019650104712596317
2021-08-25,-0.0016209891656465691
2021-08-26,0.00011594314114993232
2021-08-27,0.0028988680173727133
2021-08-30,0.0011571934876992707
2021-08-31,-0.001270901607088315
2021-09-01,0.00017361981087282707
2021-09-02,0.0013901726208964682
2021-09-03,-0.0020826754906339007
2021-09-07,-0.002896908140863186
2021-09-08,0.0016276076983485765
2021-09-09,0.0035970608605990773
2021-09-10,-0.0024278779122470784
2021-09-13,0.0015069816757020682
2021-09-14,0.002430228569873405
2021-09-15,-0.000923477955590557
2021-09-16,-0.0018493891342502566
2021-09-17,-0.0012733107357218998
2021-09-20,0.0027820906193709583
2021-09-21,-0.00023137059478950395
2021-09-22,0.0010413048502453393
2021-09-23,-0.0053136935944883
2021-09-24,-0.0020908276544553406
2021-09-27,-0.0011639002103877027
2021-09-28,-0.004310424151675707
2021-09-29,0.00011667303940199325
2021-09-30,-0.00023363386874164505
2021-10-01,0.00339872304219746
2021-10-04,-0.0007012028890103217
2021-10-05,-0.002454622890568303
2021-10-06,0.00046894770277572384
2021-10-07,-0.0028112128612385323
2021-10-08,-0.0024664432055510055
2021-10-11,-0.0015305405944081585
2021-10-12,0.003655743606992612
2021-10-13,0.002702103416522439
2021-10-14,0.0017576613517160666
2021-10-15,-0.0024562406468048303
2021-10-18,-0.0005861240952274027
2021-10-19,-0.00281605496185644
2021-10-20,-0.0011764589282140525
2021-10-21,-0.0014137724427006892
2021-10-22,0.0021233967625045036
2021-10-25,0.0004708895529819124
2021-10-26,0.0020000223525087346
2021-10-27,0.0036405007364235242
2021-10-28,-0.001286962830626237
2021-10-29,0.00023420887841663074
2021-11-01,-0.0007739362941486805
2021-11-02,0.001878569518416029
2021-11-03,-0.001757732171143056
2021-11-04,0.004577772722637263
2021-11-05,0.0030380808696146566
2021-11-08,-0.0022132912333759913
2021-11-09,0.0028020257651826252
2021-11-10,-0.006752988417168648
2021-11-11,-0.0016407850178341565
2021-11-12,0.00011733901995136797
2021-11-15,-0.004108799688084974
2021-11-16,-0.0007079105417077125
2021-11-17,0.0021239695729009522
2021-11-18,0.0011768502373290524
2021-11-19,0.0021163453436299218
2021-11-22,-0.0049280253215157055
2021-11-23,-0.0040088897956711556
2021-11-24,0.0023673942521180713
2021-11-26,0.007086888163226224
2021-11-29,-0.00011720143537652383
2021-11-30,0.0018768069579431224
2021-12-01,0.0006448897748572158
2021-12-02,0.00011671084756681438
2021-12-03,0.003866707693853444
2021-12-06,-0.0026844364096236806
2021-12-07,-0.002223537783468399
2021-12-08,-0.0030495883155307046
2021-12-09,0.00047039239301094327
2021-12-10,0.00035315363464638594
2021-12-13,0.0034087980865451506
2021-12-14,-0.0016398484641882982
2021-12-15,-0.0012911826522409298
2021-12-16,0.0012928519602639632
2021-12-17,0.0017597316419728504
2021-12-20,-0.0016399705384990693
2021-12-21,-0.0010556317513740199
2021-12-22,0.001056747287363713
2021-12-23,-0.0015180470896446474
2021-12-27,0.00047120090205221565
2021-12-28,-0.00011792835139212698
2021-12-29,-0.003299235358501962
2021-12-30,0.002246109839877164
2021-12-31,-0.0002356097386758682
2022-01-03,-0.006725863511462871
2022-01-04,-0.00011836607846094083
2022-01-05,-0.003445611753714828
2022-01-06,-0.0010731384911284447
2022-01-07,-0.002744442994438656
2022-01-10,-0.0008382264509357862
2022-01-11,0.002036105544731992
2022-01-12,-0.0003586890670295162
2022-01-13,0.0016740925264326911
2022-01-14,-0.005491259957160488
