Date,PG
2021-08-18,-0.010905963964021104
2021-08-19,0.011793599775184571
2021-08-20,0.0006896917735332853
2021-08-23,-0.005100153723903156
2021-08-24,-0.008105356107347306
2021-08-25,-0.003562032502168244
2021-08-26,-0.0017521764785142224
2021-08-27,-0.0007723693514096741
2021-08-30,0.00435659206200123
2021-08-31,-0.0037776610948795364
2021-09-01,0.01018304191478725
2021-09-02,0.0007645634808124413
2021-09-03,0.0006948554182450994
2021-09-07,-0.003748770694932846
2021-09-08,0.007595089593198434
2021-09-09,-0.004218185352379944
2021-09-10,0.0009721053657385514
2021-09-13,0.010754099071091927
2021-09-14,-0.0017161521604497354
2021-09-15,-0.0021314149664093396
2021-09-16,-0.006959903157831793
2021-09-17,0.0015963329250499037
2021-09-20,-0.010045713091227038
2021-09-21,0.0015395966668361183
2021-09-22,0.0034239267881124302
2021-09-23,0.0041084298780422746
2021-09-24,-0.0044385293199957765
2021-09-27,-0.013166096915183556
2021-09-28,-0.00755330413040034
2021-09-29,0.01017131298157481
2021-09-30,-0.015631389001928064
2021-10-01,-0.0015738746854949692
2021-10-04,-0.0056597899655076445
2021-10-05,0.003890595533515784
2021-10-06,0.013349876279689976
2021-10-07,0.008003326281104783
2021-10-08,-0.004145441809140893
2021-10-11,0.004162698031600076
2021-10-12,-0.0014754817732042236
2021-10-13,0.002322284524356233
2021-10-14,0.011302839793962294
2021-10-15,0.0025684571611650497
2021-10-18,-0.01440259199561944
2021-10-19,-0.011802380954267333
2021-10-20,0.003909797251041347
2021-10-21,-0.007196790373775297
2021-10-22,0.0107659543817884
2021-10-25,0.00014197058105103189
2021-10-26,0.014199817355891264
2021-10-27,-0.007140526150957172
2021-10-28,0.005992878696013726
2021-10-29,0.002172767167063272
2021-11-01,-0.0024478290493160637
2021-11-02,0.009955269798915145
2021-11-03,0.006872341777841351
2021-11-04,0.0018614066375826077
2021-11-05,0.004954568193748621
2021-11-08,-0.00746375363059959
2021-11-09,0.003035646180555629
2021-11-10,0.009835457792532809
2021-11-11,-0.0028605101963518065
2021-11-12,0.0010925526097178562
2021-11-15,0.005731523733496724
2021-11-16,-0.0014243934395544722
2021-11-17,-0.0006116430787916904
2021-11-18,0.00013586059835168918
2021-11-19,-0.002039038617377753
2021-11-22,0.006674797831715429
2021-11-23,0.011096206243135676
2021-11-24,-0.0052196340209921255
2021-11-26,-0.008004851256287915
2021-11-29,0.010510788961046513
2021-11-30,-0.029794607847051013
2021-12-01,0.01258816471004831
2021-12-02,0.005873942561366974
2021-12-03,0.017791870802146947
2021-12-06,0.015145494306044283
2021-12-07,-0.0026287250802359274
2021-12-08,0.004481008636580297
2021-12-09,0.005838521640890271
2021-12-10,0.013957679456641836
2021-12-13,0.014215873639833676
2021-12-14,0.0036786711332312816
2021-12-15,0.003854347863039731
2021-12-16,0.014163879150325798
2021-12-17,-0.022655188910972512
2021-12-20,0.0025398571293404615
2021-12-21,-0.0006334375736293252
2021-12-22,0.00988839229599714
2021-12-23,0.004896055286234269
2021-12-27,0.011680055695833857
2021-12-28,0.005371354182968524
2021-12-29,0.008290362505209758
2021-12-30,-0.008648477663140364
2021-12-31,0.0049761869121611735
2022-01-03,-0.004156841331867445
2022-01-04,0.003499064686121489
2022-01-05,0.004526931635695286
2022-01-06,-0.008404014336556243
2022-01-07,-0.0005527883193497951
2022-01-10,-0.013641397543668998
2022-01-11,-0.011587515016267425
2022-01-12,0.0022059074455706984
2022-01-13,-0.004527571927297247
2022-01-14,0.00960244224569129
2022-01-18,-0.019272982778399728
2022-01-19,0.033624790357339895
2022-01-20,0.005399524699621683
2022-01-21,0.003826955303876556
2022-01-24,-0.008116938417767061
2022-01-25,-0.010911220572783265
2022-01-26,-0.00871278136904452
2022-01-27,0.006196842302064853
2022-01-28,0.00860923726246976
2022-01-31,-0.00031159941650982237
2022-02-01,-0.004424893693414811
2022-02-02,0.017903968248599966
2022-02-03,0.009470907574321119
2022-02-04,-0.015900690483012125
2022-02-07,-0.007491007329830435
2022-02-08,-0.0022452644369069796
2022-02-09,-0.002250853089725502
2022-02-10,-0.015225518400402871
2022-02-11,-0.00559907787083147
2022-02-14,0.0028792786857110286
2022-02-15,0.0005104532398023665
2022-02-16,0.007588147428114311
2022-02-17,0.011455136418869749
2022-02-18,0.0005004012975879935
2022-02-22,-0.012320040020662448
2022-02-23,-0.012473825307151465
2022-02-24,-0.026930016399700052
2022-02-25,0.042698754104051995
2022-02-28,-0.01485076240503469
2022-03-01,-0.01655031104445459
2022-03-02,0.0031309067379770017
2022-03-03,0.003706730875926212
2022-03-04,0.005053016226695295
2022-03-07,-0.014825473512287135
2022-03-08,-0.039583838530283355
2022-03-09,0.01348882575430066
2022-03-10,-0.025744515136549184
2022-03-11,-0.011866870857404566
2022-03-14,0.012777350132373133
2022-03-15,0.035987814128209505
2022-03-16,-0.003394091737490057
2022-03-17,0.003138356826727806
2022-03-18,-0.0005324588708629507
2022-03-21,0.0037963616791807375
2022-03-22,0.0076963481974261505
2022-03-23,-0.006979336957342874
2022-03-24,0.0017240628386276935
2022-03-25,0.011583026485414205
2022-03-28,0.006870866185207047
2022-03-29,0.010267511232493698
2022-03-30,-0.00688282147579744
2022-03-31,-0.010298694122741425
2022-04-01,0.014986962929373071
2022-04-04,-0.0065126335713587835
2022-04-05,0.003504848706121111
2022-04-06,0.014293436056174169
2022-04-07,0.0129435235740476
2022-04-08,0.007805953979171054
2022-04-11,-0.0038103459210048207
2022-04-12,-0.00300980323313238
2022-04-13,0.0028303504690285752
2022-04-14,-0.00558148179339224
2022-04-18,-0.00952254560718746
2022-04-19,0.014962552941028662
2022-04-20,0.02659797887293025
2022-04-21,-0.00078024832542678
2022-04-22,-0.008363724198792388
2022-04-25,0.008061962341054274
2022-04-26,-0.016979563983095303
2022-04-27,-0.0026907775706772608
2022-04-28,0.025414206531390926
2022-04-29,-0.01750191388533595
2022-05-02,-0.013515971141339733
2022-05-03,-0.01370169398807064
2022-05-04,0.0073620521422830265
2022-05-05,-0.018428859896986505
2022-05-06,0.009970158535403062
2022-05-09,-0.002499884932699592
2022-05-10,-0.00526997338325319
2022-05-11,-0.014083385045536079
2022-05-12,-0.004062559754619222
2022-05-13,0.010724103064050361
2022-05-16,0.009764555768334349
2022-05-17,-0.0028366539226141185
2022-05-18,-0.06232215654733497
2022-05-19,-0.02302827650864625
2022-05-20,0.0006354442994764842
2022-05-23,0.022991555022322085
2022-05-24,0.017787167526790437
2022-05-25,-0.016392563867690835
2022-05-26,0.00874601428866062
2022-05-27,0.015292079795273583
2022-05-31,-0.005648071833299406
2022-06-01,-0.015147191996600973
2022-06-02,0.010779940789605424
2022-06-03,-0.00896687722652778
2022-06-06,-0.003906927677180705
2022-06-07,0.011147668196759497
2022-06-08,-0.01245415148635598
2022-06-09,-0.01805530857453208
2022-06-10,-0.0037897317683345255
2022-06-13,-0.026769973731887386
2022-06-14,-0.031197948893189387
2022-06-15,-0.009937302341560428
2022-06-16,0.006112991035867266
2022-06-17,-0.007200831417213616
2022-06-21,0.030296202996498378
2022-06-22,0.015619236264632574
2022-06-23,0.02743686547072799
2022-06-24,0.014406231789808155
2022-06-27,-0.007620389139979644
2022-06-28,-0.016265273398415547
2022-06-29,0.00908306654977098
2022-06-30,0.011181290522373155
2022-07-01,0.016134805947262576
2022-07-05,-0.009650592656533563
2022-07-06,0.009330101780249844
2022-07-07,-0.0003426202014196189
2022-07-08,-0.006712120482907258
2022-07-11,0.007033614507778063
2022-07-12,-0.008833292536861603
2022-07-13,0.006562946481487364
2022-07-14,-0.002950990267350795
2022-07-15,-0.0013767825412656087
2022-07-18,-0.012132084357811324
2022-07-19,0.005093205651522048
2022-07-20,-0.017286361117557658
2022-07-21,0.0009457722312502526
2022-07-22,0.01598348897036761
2022-07-25,0.0067823053440214665
2022-07-26,0.0019445852057595747
2022-07-27,0.00949604449912056
2022-07-28,0.01661618080202998
2022-07-29,-0.061799323569279974
2022-08-01,0.028723907837717277
2022-08-02,-0.006648253546108762
2022-08-03,0.02064121248389128
2022-08-04,-0.001587609023850911
2022-08-05,0.0004838110723619504
2022-08-08,0.0038005882545792957
2022-08-09,-0.00234072660156992
2022-08-10,0.009452920829771116
2022-08-11,-0.0071087203932653775
2022-08-12,0.00970698126437819
2022-08-15,0.01288599437196658
2022-08-16,0.0092217126803682
2022-08-17,-0.004601952784041297
2022-08-18,0.0035514998129384523
2022-08-19,-0.0002673517267097747
2022-08-22,-0.002671402951116564
2022-08-23,-0.01928630175785151
2022-08-24,-0.004301476382029823
2022-08-25,-0.0008230841939712574
2022-08-26,-0.02340436048523231
2022-08-29,-0.004216745368290753
2022-08-30,-0.01065703386539174
2022-08-31,-0.015979444905840468
2022-09-01,0.012324325386758872
2022-09-02,-0.017760016406313528
2022-09-06,-0.011154907646044765
2022-09-07,0.015114661799150664
2022-09-08,0.001307497795555168
2022-09-09,0.015232767738672104
2022-09-12,0.008145477500522524
2022-09-13,-0.0206949351153507
2022-09-14,0.002388354600758813
2022-09-15,-0.0077251235740841695
2022-09-16,0.006111776642254929
2022-09-19,-0.0020969991865051885
2022-09-20,-0.0035511149086163707
2022-09-21,-0.01287285382601877
2022-09-22,0.0035365863402474496
2022-09-23,-0.004625162596326171
2022-09-26,0.0009589266320828571
2022-09-27,-0.027485245615888276
2022-09-28,0.0
2022-09-29,-0.024852407634565088
2022-09-30,-0.01903644770595625
2022-10-03,0.017900940073998672
2022-10-04,0.012372522746206371
2022-10-05,-0.006917600948404878
2022-10-06,-0.021052714413074325
2022-10-07,-0.017473163387940582
2022-10-10,-0.004103873061308105
2022-10-11,0.0037976552749330317
2022-10-12,0.0016100097635869393
2022-10-13,0.01510882525431434
2022-10-14,-0.009737899616337087
2022-10-17,0.018068384482823108
2022-10-18,0.008088578144411773
2022-10-19,0.00927010726023747
2022-10-20,-0.012880291216137318
2022-10-21,0.012520691765288472
2022-10-24,0.006144033834584173
2022-10-25,0.011517476570253704
2022-10-26,0.007030376374191238
2022-10-27,0.0007586754512312055
2022-10-28,0.02532618917575169
2022-10-31,-0.004067494388118376
2022-11-01,0.0015595030954862477
2022-11-02,-0.014383170019485858
2022-11-03,-0.006845261054167273
2022-11-04,0.01825351038603773
2022-11-07,0.015322653617954929
2022-11-08,0.0022710986320220172
2022-11-09,-0.0024122440757109453
2022-11-10,0.03443744140964977
2022-11-11,-0.0014873539163412497
2022-11-14,7.07784193856309e-05
2022-11-15,-0.003475654722669086
2022-11-16,0.008897651912378901
2022-11-17,-0.0061381591505436095
2022-11-18,0.01206762859882482
2022-11-21,0.012695805082995504
2022-11-22,0.008588350488047514
2022-11-23,0.005699613455099506
2022-11-25,0.001843875481821522
2022-11-28,-0.0008178900020515689
2022-11-29,-0.00763985035006276
2022-11-30,0.025295438442932028
2022-12-01,0.0006033831418652547
2022-12-02,0.009112253917906266
2022-12-05,-0.010092175433171313
2022-12-06,0.0012744819771906002
2022-12-07,0.006430798945193494
2022-12-08,0.007188547510903254
2022-12-09,-0.00264349676334541
2022-12-12,0.010270226699757634
2022-12-13,-0.0015084304477166466
2022-12-14,0.003941172855906894
2022-12-15,-0.011319031129069512
2022-12-16,-0.004433626930191559
2022-12-19,-0.0002661867550615149
2022-12-20,0.00039927457102040265
2022-12-21,0.009171374638235363
2022-12-22,0.0023053329496283137
2022-12-23,0.0028251769992073683
2022-12-27,0.008714589504104975
2022-12-28,-0.012926328278813126
2022-12-29,0.004145967646748128
2022-12-30,-0.006750014059083487
2023-01-03,6.594391104020048e-05
2023-01-04,0.004354453346038678
2023-01-05,-0.012415508194275171
2023-01-06,0.023812593549114913
2023-01-09,-0.012214040029886575
2023-01-10,-0.0009866999137467802
2023-01-11,-0.008097800596548299
2023-01-12,-0.005641843767676846
2023-01-13,0.007142354138703011
2023-01-17,-0.0029160588988361713
2023-01-18,-0.02678834160171284
2023-01-19,-0.021148242835146824
2023-01-20,0.0038619081940336475
2023-01-23,-0.013429827336471911
2023-01-24,0.005459472185427083
2023-01-25,-0.0007051678985784404
2023-01-26,-0.00402221082491605
2023-01-27,-0.004108583258426446
2023-01-30,0.0031299241469491257
2023-01-31,0.009715499145878548
2023-02-01,0.005689382899368045
2023-02-02,-0.007123635431573461
2023-02-03,0.0030947000805987557
2023-02-06,-0.00848478481551107
2023-02-07,-0.009759537816139585
2023-02-08,-0.010355365931949634
2023-02-09,-0.0109693748265417
2023-02-10,0.008829066100840555
2023-02-13,0.01309132203619412
2023-02-14,-0.00564019926443915
2023-02-15,-0.0022975449115526514
2023-02-16,-0.013097273212850702
2023-02-17,0.020927478333504945
2023-02-21,-0.000714104955215844
2023-02-22,0.00421700091168864
2023-02-23,-0.0032029490433163055
2023-02-24,-0.0056406474763669445
2023-02-27,-0.0008619730658331326
2023-02-28,-0.011355498106535689
2023-03-01,0.0007272489471723542
2023-03-02,0.016489861320653887
2023-03-03,0.007289001457346123
2023-03-06,-0.004256530680153969
2023-03-07,-0.019879067220697655
2023-03-08,0.00014543763417873556
2023-03-09,-0.007341192953577713
2023-03-10,0.004539902455854561
2023-03-13,0.0069246939005092045
2023-03-14,0.012378802729380078
2023-03-15,0.01415807144340575
2023-03-16,0.007473709563728725
2023-03-17,0.0002797911127061514
2023-03-20,0.01539227884902905
2023-03-21,-0.007234989157366867
2023-03-22,-0.0006244756626828663
2023-03-23,-0.001389313388410418
2023-03-24,0.020377269147776822
2023-03-27,-0.005248373793892869
2023-03-28,0.002809364318598462
2023-03-29,0.0030744230644221826
2023-03-30,0.0043597463262938785
2023-03-31,0.008409257168297435
2023-04-03,0.005514964071541728
2023-04-04,0.004815594568071013
2023-04-05,0.0068563727804604735
2023-04-06,0.006346617532418941
2023-04-10,-0.008277340218191598
2023-04-11,-0.001987418443903266
2023-04-12,0.0027214253116858433
2023-04-13,0.004633601379897545
2023-04-14,-0.005073409089632053
2023-04-17,0.00033087183732538605
2023-04-18,0.0010593695256913005
2023-04-19,0.00019849069664701346
2023-04-20,0.003666097662365253
2023-04-21,0.03460388623295363
2023-04-24,0.0017939084622247137
2023-04-25,0.00025592001011776055
2023-04-26,-0.01157391125290308
2023-04-27,0.012226921112639788
