Date,KO
2021-09-16,-0.009484678550866765
2021-09-17,-0.016440984173410444
2021-09-20,-0.006979924693511497
2021-09-21,-0.00018513572844292003
2021-09-22,0.0014802230713872877
2021-09-23,-0.001662526097345518
2021-09-24,-0.0027757077685213183
2021-09-27,-0.005195998261076862
2021-09-28,-0.01809359609864225
2021-09-29,0.006078986801065112
2021-09-30,-0.009252116443186909
2021-10-01,0.010482156265228859
2021-10-04,-0.0005658876624815568
2021-10-05,0.0016983756993933508
2021-10-06,0.011868886265307133
2021-10-07,0.0031652017419725453
2021-10-08,0.0044543538714236774
2021-10-11,0.0020324509202198637
2021-10-12,0.0
2021-10-13,0.00018439349474652644
2021-10-14,0.006821544293260207
2021-10-15,-0.0023804352561640485
2021-10-18,-0.009911958519271069
2021-10-19,0.0038932446914869967
2021-10-20,0.00886412553520044
2021-10-21,-0.005125214772645603
2021-10-22,0.001839782776567267
2021-10-25,-0.004040347200432892
2021-10-26,0.00442568670994814
2021-10-27,0.01927665208817375
2021-10-28,0.009365911526098225
2021-10-29,0.005888528644881763
2021-11-01,-0.0035477881827403746
2021-11-02,-0.001246096132037855
2021-11-03,0.0033866149484296226
2021-11-04,0.005507163172285168
2021-11-05,0.0042401383163643835
2021-11-08,-0.00897232756830435
2021-11-09,0.0028401519527272434
2021-11-10,0.004072000794476116
2021-11-11,0.0003524424088672262
2021-11-12,-0.0022911516442987168
2021-11-15,0.0001764861103648041
2021-11-16,-0.0070644785526970955
2021-11-17,-0.005514253763892252
2021-11-18,-0.008942797017539306
2021-11-19,-0.005053383833370506
2021-11-22,0.006167270255746482
2021-11-23,0.007391526891632028
2021-11-24,-0.008053088245240647
2021-11-26,-0.030669297773790793
2021-11-29,0.015819791176730602
2021-11-30,-0.031573024607948086
2021-12-01,-0.0028597705074653312
2021-12-02,0.014722729506699617
2021-12-03,0.008856148468836533
2021-12-06,0.025588435242428043
2021-12-07,0.005463301795266107
2021-12-08,-0.0038036103133777255
2021-12-09,-0.0025453428043518134
2021-12-10,0.025884018287101185
2021-12-13,0.02629707983764651
2021-12-14,0.0006925226557394915
2021-12-15,0.004498169057995716
2021-12-16,0.010161986338599105
2021-12-17,-0.015686243054625737
2021-12-20,-0.0032910976555400318
2021-12-21,0.003996983734163573
2021-12-22,0.007097223677871023
2021-12-23,0.0006875982329983543
2021-12-27,0.0073857041778429
2021-12-28,0.003921560763656462
2021-12-29,0.0011887694760042145
2021-12-30,-0.0028837525625474703
2021-12-31,0.007315415208745124
2022-01-03,0.0015200361242153626
2022-01-04,0.01669479996709211
2022-01-05,0.0082931635406851
2022-01-06,-0.005263895183552414
2022-01-07,-0.002315095780163645
2022-01-10,0.0016575183188372034
2022-01-11,0.00033092626701836103
2022-01-12,0.0014887836462509352
2022-01-13,0.005946569660047363
2022-01-14,0.008045872847743274
2022-01-18,-0.007981653478738693
2022-01-19,0.0016417900733141089
2022-01-20,-0.004098175989991404
2022-01-21,-0.00493824894361683
2022-01-24,-0.00810598415941699
2022-01-25,-0.002334787402420213
2022-01-26,-0.0036777459488507303
2022-01-27,0.0008389467144225282
2022-01-28,0.019949595855503377
2022-01-31,0.0027943116295028325
2022-02-01,-0.007375877754727145
2022-02-02,0.01023777273203308
2022-02-03,0.00702844213320275
2022-02-04,-0.010550352631705784
2022-02-07,0.01049878912617297
2022-02-08,0.006493453688753981
2022-02-09,-0.015483633456305212
2022-02-10,0.005570096584497142
2022-02-11,-0.01775836214134463
2022-02-14,0.006468589532909963
2022-02-15,0.0037904404636392997
2022-02-16,-0.00016398045278631646
