Date,NVDA
2021-09-16,-0.0044312381192810335
2021-09-17,-0.015376557397212554
2021-09-20,-0.035935799799029944
2021-09-21,0.006299389215852935
2021-09-22,0.03271219795900415
2021-09-23,0.024656859419474042
2021-09-24,-0.017836617270907795
2021-09-27,-0.019065881638037907
2021-09-28,-0.04436782036178111
2021-09-29,-0.00879242214806708
2021-09-30,0.009699013394093514
2021-10-01,0.0012552805428094338
2021-10-04,-0.04869367982707806
2021-10-05,0.03643866987990707
2021-10-06,0.012175139454114081
2021-10-07,0.018116053355209383
2021-10-08,-0.011577673311719994
2021-10-11,-0.00652877854978362
2021-10-12,-0.0011599103508714848
2021-10-13,0.012965210751518796
2021-10-14,0.03854043266906526
2021-10-15,0.005334340924211478
2021-10-18,0.016467107190424102
2021-10-19,0.0030600095502988367
2021-10-20,-0.008389419217590288
2021-10-21,0.02664766778302452
2021-10-22,0.0014985266317306678
2021-10-25,0.01936099298659899
2021-10-26,0.06695184873265769
2021-10-27,-0.010761974887614323
2021-10-28,0.020040195409455785
2021-10-29,0.02509923054322849
2021-11-01,0.010169350554373624
2021-11-02,0.02222460904859558
2021-11-03,0.00746207140165045
2021-11-04,0.12042248190182825
2021-11-05,-0.0016442752184234743
2021-11-08,0.03535888627920847
2021-11-09,-0.004772085526131176
2021-11-10,-0.039077623020393415
2021-11-11,0.03160340520848082
2021-11-12,0.0
2021-11-15,-0.01201059733001597
2021-11-16,0.005928456296720563
2021-11-17,-0.031188987131436363
2021-11-18,0.08249882233860806
2021-11-19,0.04135776017834769
2021-11-22,-0.031196138601647494
2021-11-23,-0.00657155660667208
2021-11-24,0.0292319916587096
2021-11-26,-0.0358388415394435
2021-11-29,0.059454833171108
2021-11-30,-0.020973370186561757
2021-12-01,-0.03786109534977444
2021-12-02,0.021981779236119214
2021-12-03,-0.04460540566968951
2021-12-06,-0.021373036016712366
2021-12-07,0.07956833342272018
2021-12-08,-0.018533899018950306
2021-12-09,-0.04197817265748238
2021-12-10,-0.009576948177678513
2021-12-13,-0.06745471028512118
2021-12-14,0.006249758528501292
2021-12-15,0.07488429475586056
2021-12-16,-0.06802573365046649
2021-12-17,-0.020643189870219847
2021-12-20,-0.00294964925976271
2021-12-21,0.04891968504807598
2021-12-22,0.011177910920616041
2021-12-23,0.00816322169311734
2021-12-27,0.04402834910768272
2021-12-28,-0.02013262458756382
2021-12-29,-0.010586314999884383
2021-12-30,-0.013832815820914002
2021-12-31,-0.005915009420571882
2022-01-03,0.02414066399102821
2022-01-04,-0.027588735745322723
2022-01-05,-0.05756237768480321
2022-01-06,0.020794417053999315
2022-01-07,-0.03304021656506284
2022-01-10,0.005615503138943767
2022-01-11,0.01521869587272251
2022-01-12,0.006542927460105208
