Date,VTI
2021-08-31,-0.00188318375547869
2021-09-01,0.0017584227191780322
2021-09-02,0.003382022754554015
2021-09-03,-0.00034148981881976237
2021-09-07,-0.00431073838204421
2021-09-08,-0.0023578177521800248
2021-09-09,-0.003480384972534667
2021-09-10,-0.00793356911456422
2021-09-13,0.0022600040391258513
2021-09-14,-0.0060278508456117486
2021-09-15,0.008245872939808052
2021-09-16,-0.000908652003067778
2021-09-17,-0.008012767006873811
2021-09-20,-0.01733298908935743
2021-09-21,-8.89364380076696e-05
2021-09-22,0.01008663819526312
2021-09-23,0.012185517836448057
2021-09-24,0.0011944709198756787
2021-09-27,-0.0021771381805297807
2021-09-28,-0.02094806588544096
2021-09-29,0.0006685790952416504
2021-09-30,-0.010824500668604964
2021-10-01,0.013780066173354477
2021-10-04,-0.015058563779043133
2021-10-05,0.009335701824425335
2021-10-06,0.004155512591711208
2021-10-07,0.009611541661835643
2021-10-08,-0.0022038133658364156
2021-10-11,-0.007199707286903001
2021-10-12,-0.0007121182490862354
2021-10-13,0.004541336359922266
2021-10-14,0.01662102665016363
2021-10-15,0.005929215600804394
2021-10-18,0.0036406496047471926
2021-10-19,0.007297935517253551
2021-10-20,0.0039015098022470163
2021-10-21,0.002732684751812764
2021-10-22,-0.0019163726387292357
2021-10-25,0.006144445427599177
2021-10-26,-0.0003815269283352629
2021-10-27,-0.006830443459337698
2021-10-28,0.010679064917976211
2021-10-29,0.0013103484704946045
2021-11-01,0.004980686599513895
2021-11-02,0.0031081059782178677
2021-11-03,0.00707602304824273
2021-11-04,0.0037834731381209963
2021-11-05,0.0038521992974362984
2021-11-08,0.0016504063004643132
2021-11-09,-0.0028834521582037365
2021-11-10,-0.00983241122672307
2021-11-11,0.0012100532992538326
2021-11-12,0.007417440721869006
2021-11-15,0.0
2021-11-16,0.0043020465361249816
2021-11-17,-0.00411877578728892
2021-11-18,0.0015715687623414354
2021-11-19,-0.0028492454663605615
2021-11-22,-0.0048035935874432
2021-11-23,0.0003327338556868842
2021-11-24,0.0033694639975281326
2021-11-26,-0.021640704657279852
2021-11-29,0.009406944821527485
2021-11-30,-0.01998230978775306
