Date,CLSK
2021-08-18,0.02403439449046374
2021-08-19,-0.10142497964748731
2021-08-20,0.006529822115724615
2021-08-23,0.16960147638330292
2021-08-24,0.06814577373026243
2021-08-25,-0.020771494249230527
2021-08-26,-0.009848493660558177
2021-08-27,0.07727622436608028
2021-08-30,-0.03124997036700894
2021-08-31,0.011730193796544386
2021-09-01,-0.0036232021770864486
2021-09-02,0.04727269952947433
2021-09-03,-0.009722180094246746
2021-09-07,-0.03225806667347031
2021-09-08,-0.07318842137117776
2021-09-09,0.054730243264498046
2021-09-10,-0.04744250559726937
2021-09-13,0.003890991095427898
2021-09-14,-0.04341081259707691
2021-09-15,0.0299837828998315
2021-09-16,-0.00393392530171488
2021-09-17,0.018957328120917882
2021-09-20,-0.09767436530754503
2021-09-21,-0.03436430931327672
2021-09-22,0.04626338686410336
2021-09-23,0.008503352538192788
2021-09-24,-0.03878583907782762
2021-09-27,0.02017548277254222
2021-09-28,-0.059329366059149624
2021-09-29,0.061243153747037926
2021-09-30,-0.0017226102222882567
2021-10-01,0.08110436307228275
2021-10-04,-0.025538683291602804
2021-10-05,0.0966421213340849
2021-10-06,0.004480915937564056
2021-10-07,0.02676584501537116
2021-10-08,0.036929707437451054
2021-10-11,0.014664807445692318
2021-10-12,-0.013076365029254466
2021-10-13,0.05788004985176132
2021-10-14,0.002636780596694699
2021-10-15,0.0381328022519003
2021-10-18,0.031032344900333797
2021-10-19,0.025798529396775294
2021-10-20,0.057484972491922415
2021-10-21,-0.0011325287619752267
2021-10-22,-0.06802714836231838
2021-10-25,0.1222627836731427
2021-10-26,-0.01355013494103352
2021-10-27,-0.04230771568601355
2021-10-28,0.1308088777611689
2021-10-29,0.0279046763042452
2021-11-01,0.07008884798874049
2021-11-02,0.01983396213666655
2021-11-03,-0.01175939492105238
2021-11-04,0.0054919418668080144
2021-11-05,-0.06781974591198392
2021-11-08,0.08691409797029426
2021-11-09,-0.041778989021263646
2021-11-10,-0.04735115951685154
2021-11-11,0.05659447026582365
2021-11-12,-0.0023287954662134513
2021-11-15,-0.0340802772939407
2021-11-16,-0.11068153003465586
2021-11-17,0.0016304721341022788
2021-11-18,-0.06890941056615241
2021-11-19,0.04895105827839341
2021-11-22,-0.023888905843098995
2021-11-23,0.015936294337443258
2021-11-24,0.01288512814123477
2021-11-26,-0.04535396561307803
2021-11-29,0.029548100933882493
2021-11-30,0.000562759067204599
2021-12-01,-0.08211478826982777
2021-12-02,-0.01838230653617534
2021-12-03,-0.14794012306565463
2021-12-06,0.026373671825078437
2021-12-07,0.07922909625575625
2021-12-08,-0.025793673695410413
2021-12-09,-0.09029191887565624
2021-12-10,0.001492571517391239
2021-12-13,-0.08792848721813473
2021-12-14,-0.01062092458103392
2021-12-15,0.03303060144878178
2021-12-16,-0.07513992940523184
2021-12-17,0.012100289283964338
2021-12-20,-0.0760034449550342
2021-12-21,0.05268028323246576
2021-12-22,-0.011413530335592004
2021-12-23,0.05772643031241054
2021-12-27,0.02686815272241594
2021-12-28,-0.09975464914297194
2021-12-29,-0.1053587487100276
2021-12-30,0.02436545805314494
2021-12-31,-0.05649154471796758
2022-01-03,0.007352908766630639
2022-01-04,0.0010427767176979241
2022-01-05,-0.10729173392885005
2022-01-06,-0.0315051941311526
2022-01-07,-0.01927708960666219
2022-01-10,-0.014742000061157001
2022-01-11,0.029925156785475693
2022-01-12,0.025423732727353654
2022-01-13,-0.035419147730452294
2022-01-14,0.0012240182115605958
2022-01-18,-0.09168709643722217
2022-01-19,-0.04037681303214591
2022-01-20,-0.023842927568771266
2022-01-21,-0.08045976145262135
2022-01-24,0.02968750849831836
2022-01-25,-0.03338395477007916
2022-01-26,-0.04552589749812441
2022-01-27,-0.08223684313719959
2022-01-28,0.08602150997068225
2022-01-31,0.10891086693796015
2022-02-01,0.07589289357214257
2022-02-02,-0.07192254212374827
2022-02-03,-0.06110280850688854
2022-02-04,0.08412693919448433
2022-02-07,0.03660322149232864
2022-02-08,0.06214690140704682
2022-02-09,0.10904257629537217
2022-02-10,0.11630698432635156
2022-02-11,-0.06552100782576298
2022-02-14,-0.010344845351840659
2022-02-15,0.18583048144826475
2022-02-16,0.04995105063431482
2022-02-17,-0.04104482491580841
2022-02-18,-0.13132290494770515
2022-02-22,-0.020156808401389892
2022-02-23,-0.03885716029575892
2022-02-24,0.12722945472507652
2022-02-25,0.0
2022-02-28,0.11814355414717581
2022-03-01,0.00754716234217323
2022-03-02,0.025280851720435704
2022-03-03,-0.07945204572724707
2022-03-04,-0.07440476246791994
2022-03-07,-0.024651612445562354
2022-03-08,0.10989010528354415
2022-03-09,0.1079207086876326
2022-03-10,-0.008936499691270305
2022-03-11,-0.10459872240321122
2022-03-14,-0.038267885474570384
2022-03-15,0.01256543279187583
2022-03-16,0.06101345893825605
2022-03-17,0.08966862142011944
2022-03-18,0.06976741607154446
2022-03-21,-0.0066889568102751484
2022-03-22,0.06397308262295431
2022-03-23,-0.01265829088137238
2022-03-24,0.05288468151403136
2022-03-25,-0.03500761233851324
2022-03-28,0.05835960199591694
2022-03-29,-0.02459015810953602
2022-03-30,-0.04889230984433768
2022-03-31,-0.006425696781659385
2022-04-01,0.029911066207124692
2022-04-04,0.038461521186915926
2022-04-05,-0.09221461493325722
2022-04-06,-0.06744383048959468
2022-04-07,-0.005357095264657774
2022-04-08,-0.06552966547691375
2022-04-11,-0.03842455565738667
2022-04-12,-0.023976000562486832
2022-04-13,0.03684745545648105
2022-04-14,-0.05133271983110643
2022-04-18,-0.030176896172054213
2022-04-19,0.02038632406427343
2022-04-20,-0.05257623427615721
2022-04-21,-0.05993340156885241
2022-04-22,-0.06493508540676796
2022-04-25,-0.005050500185316276
2022-04-26,-0.1065990025873862
2022-04-27,-0.035511363828785614
2022-04-28,0.03681885145869335
2022-04-29,-0.07812502751634898
2022-05-02,0.04776585986894255
2022-05-03,0.022058766812190767
2022-05-04,0.10935255391930654
2022-05-05,-0.10505835781736483
2022-05-06,-0.05217393167227691
2022-05-09,-0.13761469428394735
2022-05-10,0.010638287978706584
2022-05-11,-0.11929821948999164
2022-05-12,0.023904359763948557
2022-05-13,0.22957204977178147
2022-05-16,-0.06645570646931442
2022-05-17,0.059322016775454234
2022-05-18,-0.07999999999999996
2022-05-19,0.017391287762185792
2022-05-20,-0.034188002141121165
2022-05-23,-0.03362832814396666
2022-05-24,-0.053113545755843705
2022-05-25,0.019342341036143962
2022-05-26,0.07020870719131067
2022-05-27,0.04432624218407666
2022-05-31,0.0
2022-06-01,-0.056027153002799146
2022-06-02,0.052158267057112795
2022-06-03,-0.04786320299756963
2022-06-06,0.03411131981415849
2022-06-07,-0.036458338507347476
2022-06-08,-0.016216243152232024
2022-06-09,-0.06410254618814104
2022-06-10,-0.041095896802363696
2022-06-13,-0.08979592829731675
2022-06-14,-0.0067265043838012906
2022-06-15,-0.004514668555645085
2022-06-16,0.009070286448309206
2022-06-17,0.04494388644374414
2022-06-21,0.017204284315123886
2022-06-22,-0.03382660608180088
2022-06-23,0.045951866577420564
2022-06-24,0.0313806719553027
2022-06-27,-0.08113582808481978
2022-06-28,-0.07064021122306197
2022-06-29,-0.04038006526213023
2022-06-30,-0.02970294225053438
2022-07-01,0.007653053777012309
2022-07-05,0.09367091633192004
2022-07-06,-0.06249999310131449
2022-07-07,0.10864186658308861
2022-07-08,0.020044578435574723
2022-07-11,-0.02401749680061005
2022-07-12,-0.06935122087919598
2022-07-13,0.00721158916075737
2022-07-14,0.0023865756343954825
2022-07-15,0.014285814843214784
2022-07-18,0.0023473595087817323
2022-07-19,0.10070253636050852
2022-07-20,0.044680860993440596
2022-07-21,-0.009164985273403481
2022-07-22,-0.11819112771160101
2022-07-25,-0.05361305853581866
2022-07-26,-0.06157635554764218
2022-07-27,0.06824153091513052
2022-07-28,0.031940941553005864
2022-07-29,-0.04999995458693529
2022-08-01,0.0927318604243863
2022-08-02,0.03899084199268499
2022-08-03,0.024282483793063525
2022-08-04,-0.053879311895186244
2022-08-05,0.06150341438225637
2022-08-08,0.060085883900585335
2022-08-09,-0.052631624670087085
2022-08-10,0.2777778287219206
2022-08-11,-0.04682277741058127
2022-08-12,0.05614038287180789
2022-08-15,-0.008305679550378975
2022-08-16,-0.06532661309743126
2022-08-17,-0.08781358025408759
2022-08-18,0.01964634609720517
2022-08-19,-0.10597306063025747
2022-08-22,-0.0711206752589848
2022-08-23,0.009280733731803936
2022-08-24,0.048275871896762856
2022-08-25,0.013157882353605599
