Date,RR
2023-11-20,0.07809520903087797
2023-11-21,-0.01943456884147099
2023-11-22,-0.06126128664923014
2023-11-24,-0.11324379045450728
2023-11-27,-0.012987000923330161
2023-11-28,0.02192980392267585
2023-11-29,-0.10085832737798495
2023-11-30,0.019093060289627983
2023-12-01,0.04918033702225122
2023-12-04,0.12276789919492215
2023-12-05,-0.011928512348707287
2023-12-06,0.0241449431513181
2023-12-07,0.003929269219441034
2023-12-08,-0.019569452450051816
2023-12-11,-0.005189625089894734
2023-12-12,-0.04093097667611989
2023-12-13,0.0041840962444885665
2023-12-14,-0.014583368516629225
2023-12-15,-0.004228325760225138
2023-12-18,0.019108312496595836
2023-12-19,0.05624999379118312
2023-12-20,-0.015779171170520412
2023-12-21,0.10220445937366329
2023-12-22,0.020000024275346195
2023-12-26,-0.03743316098914551
2023-12-27,0.07851847757200892
2023-12-28,0.018200540650163965
2023-12-29,0.0033726781628116154
2024-01-02,0.016806787340397866
2024-01-03,-0.006611563734210235
2024-01-04,-0.013311214225710133
2024-01-05,0.09274877009380189
2024-01-08,-0.03858024680002159
2024-01-09,0.06902083900837153
2024-01-10,0.16966969074030902
2024-01-11,0.014120684730817068
2024-01-12,0.012658215623466695
2024-01-16,-0.0662500262260437
2024-01-17,0.03480592184530251
2024-01-18,0.032341526440250234
2024-01-19,-0.012531316340044119
2024-01-22,0.24365482847840902
2024-01-23,0.1326530781054387
2024-01-24,-0.3243243475450277
2024-01-25,0.3199999491373695
2024-01-26,-0.6494949330992624
2024-01-29,-0.19308359388178076
2024-01-30,-0.19999998297010124
2024-01-31,0.008928562875609058
2024-02-01,-0.09292037125359753
2024-02-02,-0.03414630969318089
2024-02-05,-0.08080806317177158
2024-02-06,0.14835156809663452
2024-02-07,-0.1148324881261269
2024-02-08,0.016216200542241266
2024-02-09,-0.01063828775385156
2024-02-12,0.07795704248420354
2024-02-13,-0.06234419554841031
2024-02-14,0.021276575507703344
2024-02-15,-0.04687495634425354
2024-02-16,0.010928951069669068
2024-02-20,-0.06486486660641766
2024-02-21,-0.0867051875747814
2024-02-22,-0.0569620448949717
2024-02-23,-0.07382551248393276
2024-02-26,0.1594203111379744
2024-02-27,0.11874995948746836
2024-02-28,-0.06703911023782705
2024-02-29,0.0
2024-03-01,-0.047904147162801
2024-03-04,-0.05031449134334398
2024-03-05,0.039735140640910105
2024-03-06,0.0
2024-03-07,-0.031847178251670494
2024-03-08,0.013157882353605377
2024-03-11,-0.01948050138499513
2024-03-12,0.0
2024-03-13,-0.02649004112957354
2024-03-14,-0.027210938968575293
2024-03-15,-0.07692300638503313
2024-03-18,0.00757575004991895
2024-03-19,0.15037588121879208
2024-03-20,0.0980392019366445
2024-03-21,0.005952446419502655
2024-03-22,-0.047337301897445005
2024-03-25,-0.01863352243678007
2024-03-26,-0.06329115261120022
2024-03-27,0.0
2024-03-28,-0.04054058190241916
2024-04-01,0.00704224701794165
2024-04-02,0.06293708858726066
2024-04-03,0.15131580392079358
2024-04-04,-0.04571431023733952
2024-04-05,0.04790421854561089
2024-04-08,0.13142858232770638
2024-04-09,-0.09595962393443158
2024-04-10,0.06703911023782738
2024-04-11,-0.06806282591804724
2024-04-12,-0.03370783356400553
2024-04-15,-0.034883756389998966
2024-04-16,-0.07831325171422598
2024-04-17,-0.07189543553075795
2024-04-18,-0.056337976143534085
2024-04-19,-0.022388126755056525
2024-04-22,-0.06106864671788603
2024-04-23,-0.016260146842581924
2024-04-24,-0.024793462523359233
2024-04-25,0.05084751242024477
2024-04-26,0.008064508376086854
2024-04-29,0.09600000381469731
2024-04-30,-0.014598526172921567
2024-05-01,0.02222220063700142
2024-05-02,-0.028985479703797723
2024-05-03,-0.014925358528601551
2024-05-06,-0.015151590409901994
2024-05-07,-0.007692300638503458
2024-05-08,0.0
2024-05-09,0.04651167733574457
2024-05-10,0.01481480042466754
2024-05-13,-0.02189778925938224
2024-05-14,0.007462679264300887
2024-05-15,-0.014814800424667651
2024-05-16,-0.011278184369081234
2024-05-17,-0.022813756116841444
2024-05-20,-0.04280151671328203
2024-05-21,-0.03252029368516418
2024-05-22,0.0
2024-05-23,-0.025210158955061512
2024-05-24,-0.021551704204748168
2024-05-28,-0.02202641089709456
2024-05-29,-0.018018000602490147
2024-05-30,0.018348605792718242
2024-05-31,0.018018000602490147
2024-06-03,0.026548647359614375
2024-06-04,-0.06465511261424417
2024-06-05,0.059907774862552055
2024-06-06,0.01739128812274293
2024-06-07,0.1025641104016628
2024-06-10,0.023255884873024657
2024-06-11,-0.022727340459821055
2024-06-12,-0.015503861641813055
2024-06-13,0.03937013565078695
2024-06-14,-0.022727340459821055
2024-06-17,-0.015503861641813055
2024-06-18,-0.03149603342816265
2024-06-20,0.008130073421291018
2024-06-21,-0.056451654769131054
2024-06-24,0.042735105435526055
2024-06-25,0.0491802798135097
2024-06-26,0.007812492724041942
2024-06-27,0.031007815693931295
2024-06-28,-0.015037668789816938
2024-07-01,-0.06870222755762179
2024-07-02,-0.032786950921536606
2024-07-03,0.059322080986147885
2024-07-05,0.056000041961669966
2024-07-08,-0.030303090509739783
2024-07-09,0.007812492724041942
2024-07-10,-0.0697673773881593
2024-07-11,-0.025000074505802994
2024-07-12,-0.017094001418896276
2024-07-15,-0.008695644061371466
2024-07-16,0.04385971241490516
2024-07-17,0.07563017633757818
2024-07-18,-0.062499941792337754
2024-07-19,0.22499997516473225
2024-07-22,-0.06802722577930842
2024-07-23,-0.14598543575737444
2024-07-24,-0.025641002128344415
2024-07-25,-0.008771921569070362
2024-07-26,0.10619469493340472
2024-07-29,0.2640000343322755
2024-07-30,-0.037974721746286244
2024-07-31,-0.019736823530408287
2024-08-01,-0.07382551248393276
2024-08-02,0.0579710457911391
2024-08-05,-0.02739731508026877
2024-08-06,-0.7394366084855357
2024-08-07,0.6702701701309852
2024-08-08,-0.06148865597210118
2024-08-09,-0.06551722188908704
2024-08-12,-0.09409593994491083
2024-08-13,-0.03665989164579597
2024-08-14,0.004228338468195814
2024-08-15,0.2484210572546539
2024-08-16,0.2698145491421202
2024-08-19,0.2031872415351117
2024-08-20,0.45695367113947105
2024-08-21,-0.022727340459821055
2024-08-22,-0.03100772328362633
2024-08-23,0.10399999618530265
2024-08-26,0.18840579084177222
2024-08-27,-0.03658533128225516
2024-08-28,-0.08227847575988567
2024-08-29,0.0
2024-08-30,-0.1379310628321726
2024-09-03,0.015999984741210893
2024-09-04,-0.18110237994310263
2024-09-05,0.0865384968074836
2024-09-06,-0.0442477455993574
2024-09-09,0.027777750183035854
2024-09-10,-0.0630631095044708
2024-09-11,-0.009615375798128989
2024-09-12,-0.009708728874782357
2024-09-13,-0.08235293430165569
2024-09-16,-0.023504289560386304
2024-09-17,-0.01641136335846749
2024-09-18,-0.05895436478719318
2024-09-19,0.09101650224310043
2024-09-20,-0.1700975178507198
2024-09-23,-0.046997330318759634
2024-09-24,0.08767124495646739
2024-09-25,0.05037778383332925
2024-09-26,0.02398079272463116
2024-09-27,0.06088998531659762
2024-09-30,-0.07395146813605491
2024-10-01,-0.07985694032516433
2024-10-02,-0.041450783202701125
2024-10-03,-0.062162166516044115
2024-10-04,0.033141212849730595
2024-10-07,-0.027893975890794342
2024-10-08,-0.10329989088160141
2024-10-09,0.13599996566772465
2024-10-10,-0.02676055545821998
2024-10-11,-0.008683042676581598
2024-10-14,0.017518283615953534
2024-10-15,0.025824887204414004
2024-10-16,-0.01118875091084659
2024-10-17,0.007072128868779837
2024-10-18,0.01825844272152799
2024-10-21,-0.00689654492027858
2024-10-22,-0.07222228293065436
2024-10-23,-0.059880183953501254
2024-10-24,-0.012738878893616357
2024-10-25,0.016129016752173708
2024-10-28,0.1904761994867188
2024-10-29,-0.013333320617675781
2024-10-30,-0.04459458370988967
2024-10-31,-0.06506365303791461
2024-11-01,-0.05748863363793921
2024-11-04,0.03691813957742518
2024-11-05,-0.05882359996907205
2024-11-06,-0.05921045214536047
2024-11-07,0.08566427081014805
2024-11-08,-0.004830951723020616
2024-11-11,0.040453134206229535
2024-11-12,-0.05132191606220016
2024-11-13,-0.0065573901843073434
2024-11-14,-0.03465351062993749
2024-11-15,-0.03418800283779255
2024-11-18,-0.02300886990964468
2024-11-19,0.032608708562758215
2024-11-20,-0.07017547712211625
2024-11-21,0.08113215992399403
2024-11-22,0.0785339546224546
2024-11-25,0.02427191910279758
2024-11-26,-0.0426540431628013
2024-11-27,0.09075908678209976
2024-11-29,0.1195158768375093
2024-12-02,-0.0810810832580221
2024-12-03,-0.008823503373403763
2024-12-04,0.18991091493656964
2024-12-05,-0.07980051320937798
2024-12-06,0.09214094964416919
2024-12-09,0.1786600432052332
2024-12-10,-0.08842104470630752
2024-12-11,-0.024249385834701487
2024-12-12,-0.11242606555466739
2024-12-13,0.1266667048136394
2024-12-16,0.14911240575059947
2024-12-17,0.2667353235227732
2024-12-18,0.008130073421291018
2024-12-19,-0.07258067152130476
2024-12-20,0.10434783239671108
2024-12-23,0.5433071398293075
2024-12-24,-0.005102035851341613
2024-12-26,0.3692307748738122
2024-12-27,0.08614232677953115
2024-12-30,0.20344823957481917
2024-12-31,-0.2263610199697078
2025-01-02,-0.10740739138201627
2025-01-03,0.6970954385580999
2025-01-06,0.00488997070424535
2025-01-07,-0.05839421901675257
2025-01-08,-0.1834624859751961
2025-01-10,-0.11075953593182919
2025-01-13,-0.2455516267868455
