Date,RZLV
2021-11-11,0.0030768956893529875
2021-11-12,-0.0030674574427700385
2021-11-15,0.004102560190054172
2021-11-16,-0.004085797958007009
2021-11-17,0.0035897279397034687
2021-11-18,0.00153299372066118
2021-11-19,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,-0.0010204314986942409
2021-11-26,-0.045965251380855165
2021-11-29,0.04764450616212468
2021-11-30,0.0
2021-12-01,-0.000510997906887023
2021-12-02,-0.0005112591592475457
2021-12-03,0.0005115206788797177
2021-12-06,-0.0010224208057807438
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,-0.0010235648324754543
2021-12-10,0.0
2021-12-13,-0.001024613590913992
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0030768956893529875
2021-12-20,0.0020450366369892947
2021-12-21,0.001530549934337655
2021-12-22,0.0015283080961854267
2021-12-23,-0.0030518548529024914
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0016326320096886615
2021-12-31,-0.002648739092155905
2022-01-03,0.012257393874020917
2022-01-04,-0.001009104847206399
2022-01-05,0.0
2022-01-06,-0.010100952691779352
2022-01-07,0.0071428258634522734
2022-01-10,0.001013194427333941
2022-01-11,-0.0030364101845850033
2022-01-12,0.0
2022-01-13,0.001015154804087981
2022-01-14,-0.001014125309907743
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,-0.001015251623812219
2022-01-21,-0.0030487533034541103
2022-01-24,0.0007135544529053295
2022-01-25,-0.001731710063201497
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-31,0.0
2022-02-01,0.011224454544525697
2022-02-02,-0.006054436616167003
2022-02-03,-0.0027411600203478548
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,0.0017306523916809091
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0030487533034542214
2022-02-14,-0.0020262922311291565
2022-02-15,0.0040609096755239715
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,-0.006066776292602105
2022-02-22,-0.0010173172898729765
2022-02-23,0.0010183532782701565
2022-02-24,-0.0030518548529024914
2022-02-25,0.001020431498694352
2022-02-28,-0.00020395602754685882
2022-03-01,-0.0008156015990382626
2022-03-02,0.0
2022-03-03,0.001020431498694352
2022-03-04,0.0
2022-03-07,0.0010192940652200555
2022-03-08,0.0010183532782701565
2022-03-09,0.0010173172898728655
2022-03-10,-0.002032566814382575
2022-03-11,0.0
2022-03-14,0.004073315997566551
2022-03-15,0.0
2022-03-16,-0.0015212363256300598
2022-03-17,0.0
2022-03-18,0.0
2022-03-21,-0.0005078836267443654
2022-03-22,0.0010162834071916205
2022-03-23,-0.0020305032476239937
2022-03-24,0.0
2022-03-25,0.004069172142775024
2022-03-28,0.0
2022-03-29,0.00010135809214895097
2022-03-30,0.0
2022-03-31,-0.005166709917420187
2022-04-01,0.0
2022-04-04,0.002036706556540091
2022-04-05,0.0
2022-04-06,0.0010162834071916205
2022-04-07,0.001015154804087981
2022-04-08,0.011967549150741386
2022-04-11,-0.012828152910183244
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.001015154804087981
2022-04-28,0.0
2022-04-29,0.0
2022-05-02,0.0
2022-05-03,0.003042666094333013
2022-05-04,-0.003033436360370123
2022-05-05,0.0
2022-05-06,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-16,-0.0020283473413522657
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-23,0.0011178535970384207
2022-05-24,0.0
2022-05-25,-0.00010145677602491077
2022-05-26,-0.001015251623812219
2022-05-27,0.0010162834071916205
2022-05-31,0.001015154804087981
2022-06-01,0.0010142220314444117
2022-06-02,0.002026388854668104
2022-06-03,-0.0010111454534567077
2022-06-06,-0.0010121689034415793
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.001013194427333941
2022-06-10,0.0
2022-06-13,-0.0020243378068830475
2022-06-14,-0.001014125309907743
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-21,-0.001015251623812219
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.00406503671064562
2022-06-27,0.0
2022-06-28,-0.0005060844517207341
2022-06-29,0.0005063407028778055
2022-06-30,-0.0010121689034415793
2022-07-01,0.0
2022-07-05,0.0015197916410010226
2022-07-06,-0.0005058284598020713
2022-07-07,-0.00020241447554047998
2022-07-08,0.0
2022-07-11,-0.0008099183671026466
2022-07-12,0.0011144558959441664
2022-07-13,-0.00010114874279743002
2022-07-14,0.0
2022-07-15,0.0005060844517208452
2022-07-18,0.0005058284598020713
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-25,0.0
2022-07-26,0.0020221944787754964
2022-07-27,0.0003027507008688257
2022-07-28,0.0
2022-07-29,0.0007061403618477957
2022-08-01,-0.0010080875811414591
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-08,0.0
2022-08-09,0.002018209694412132
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,0.0
