Date,DNUT
2021-09-16,0.07058802949719545
2021-09-17,-0.07142830578309589
2021-09-20,-0.015121805075242634
2021-09-21,-0.0473964031170232
2021-09-22,-0.007708589965578327
2021-09-23,0.040254165566456335
2021-09-24,-0.01493531604884446
2021-09-27,-0.011716100770442162
2021-09-28,-0.00906566231280126
2021-09-29,-0.014778232688327342
2021-09-30,0.0
2021-10-01,0.015714298044588126
2021-10-04,-0.020393721944498622
2021-10-05,-0.0028717173869343693
2021-10-06,-0.00647937961881373
2021-10-07,-0.0036232274730202407
2021-10-08,0.02690922232847881
2021-10-11,-0.010623272338202039
2021-10-12,0.02147460452250205
2021-10-13,0.002802945486167552
2021-10-14,-0.011180932279623357
2021-10-15,-0.016961144508141013
2021-10-18,0.012221397629811559
2021-10-19,-0.013494365130680142
2021-10-20,0.0021599370007590046
2021-10-21,-0.05675288247946497
2021-10-22,-0.01447065136413439
2021-10-25,0.0015456734225436364
2021-10-26,0.025918808471933064
2021-10-27,-0.03695332859440803
2021-10-28,0.009397000762058072
2021-10-29,-0.010861092859222432
2021-11-01,0.01568626103128201
2021-11-02,0.09266409117938657
2021-11-03,-0.020494724567605593
2021-11-04,0.0
2021-11-05,0.01731597438770116
2021-11-08,-0.03900720316089479
2021-11-09,-0.04206630463368599
2021-11-10,0.03004632421394504
2021-11-11,0.06955866729378846
2021-11-12,0.01048943207548092
2021-11-15,-0.006920409978083408
2021-11-16,0.013240310843659842
2021-11-17,0.03026143770255607
2021-11-18,-0.08611486201226914
2021-11-19,0.00949599038702642
2021-11-22,0.015919076508352337
2021-11-23,0.0042734581947638794
2021-11-24,0.10141851631287069
2021-11-26,-0.005795268601779147
2021-11-29,-0.014896309345875713
2021-11-30,-0.04339262400956134
2021-12-01,-0.09347074737882277
2021-12-02,0.07429866677862074
2021-12-03,0.10797473716645745
2021-12-06,0.001910648705803375
2021-12-07,0.004450142856012418
2021-12-08,0.010126536797409935
2021-12-09,-0.06641595541013945
2021-12-10,0.04228192549102294
2021-12-13,0.028976150615674268
2021-12-14,0.0006257443178800948
2021-12-15,0.0006254775791014744
2021-12-16,-0.02562494032047624
2021-12-17,0.10134674391550424
2021-12-20,-0.06930680204703998
2021-12-21,-0.00813511240836029
2021-12-22,0.003154508521075128
2021-12-23,0.06352223646278676
2021-12-27,-0.04080460474176073
2021-12-28,0.10049353230507152
2021-12-29,-0.007283252191325196
2021-12-30,0.04232519935696777
2021-12-31,0.024363976881749627
2022-01-03,-0.01797047002363339
2022-01-04,-0.005382019731499321
2022-01-05,-0.016774951676217897
2022-01-06,0.006604221294856272
2022-01-07,-0.039365785912994555
2022-01-10,-0.018781784702620263
2022-01-11,0.02552187716565424
2022-01-12,-0.03789588388690357
2022-01-13,-0.01587310695262434
2022-01-14,-0.03225801461663025
2022-01-18,-0.03456795755212816
2022-01-19,-0.02237849866822761
2022-01-20,-0.06540223513541166
2022-01-21,0.005598260220968321
2022-01-24,0.031315285951210026
2022-01-25,-0.037538185859432804
2022-01-26,-0.00351357243035455
2022-01-27,-0.006346940282746738
2022-01-28,0.031227850628321896
2022-01-31,0.031658476675278546
2022-02-01,-0.01867901890292767
2022-02-02,-0.020394336986813255
2022-02-03,-0.011797335763398475
2022-02-04,0.014747127899661816
2022-02-07,0.022145395768128573
2022-02-08,0.016926241385517793
2022-02-09,0.019973414822050506
2022-02-10,-0.008485645867537084
2022-02-11,-0.07965769281614243
2022-02-14,-0.0057225306128307896
2022-02-15,0.02589945604137056
