Date,AAPL
2021-08-10,-0.0033541231405822547
2021-08-11,0.0017858181881422741
2021-08-12,0.020773400925212515
2021-08-13,0.0014106280964110152
2021-08-16,0.013547778321395088
2021-08-17,-0.006154084524203185
2021-08-18,-0.02550112325124887
2021-08-19,0.0023229112568017296
2021-08-20,0.01015691126418039
2021-08-23,0.010257195652795259
2021-08-24,-0.0006013778443423323
2021-08-25,-0.008421117512140586
2021-08-26,-0.00552728739281616
2021-08-27,0.007184739595301304
2021-08-30,0.030417195093589644
2021-08-31,-0.008424621589239956
2021-09-01,0.004478342717733508
2021-09-02,0.007475244536333747
2021-09-03,0.004230180926373395
2021-09-07,0.015489291111048242
2021-09-08,-0.010083530814906316
2021-09-09,-0.0067048044935038575
2021-09-10,-0.03310203789287269
2021-09-13,0.0038935389685983424
2021-09-14,-0.009562103767346342
2021-09-15,0.006143654878955074
2021-09-16,-0.0016105721327809297
2021-09-17,-0.01834776320223752
2021-09-20,-0.02136125367582964
2021-09-21,0.0034279294455399345
2021-09-22,0.016872620958483298
2021-09-23,0.006718962295149122
2021-09-24,0.0006131737179693175
2021-09-27,-0.010550231932327514
2021-09-28,-0.023801060219075798
2021-09-29,0.006482773843416778
2021-09-30,-0.009311499291791092
2021-10-01,0.008127140094605467
2021-10-04,-0.024605517641434482
2021-10-05,0.014157972420987264
2021-10-06,0.006307295243580979
2021-10-07,0.009084683867156995
2021-10-08,-0.002721965408906235
2021-10-11,-0.0006297088703961506
2021-10-12,-0.009103204345003668
2021-10-13,-0.00423995826536161
2021-10-14,0.02022572366848374
2021-10-15,0.007512715632998157
2021-10-18,0.011806155915159211
2021-10-19,0.015080145369405829
2021-10-20,0.0033609579765199182
2021-10-21,0.0014739433004642422
2021-10-22,-0.00528489727749526
2021-10-25,-0.0003360753380621251
2021-10-26,0.004574769092673181
2021-10-27,-0.0031476841701424396
2021-10-28,0.02499132362384282
2021-10-29,-0.018155559633016294
2021-11-01,-0.005607297594336869
2021-11-02,0.007116038137162661
2021-11-03,0.009798560884232366
2021-11-04,-0.003498494564988075
2021-11-05,0.003582220539790182
2021-11-08,-0.005552601976791971
2021-11-09,0.002459446521822173
2021-11-10,-0.019163132370017544
2021-11-11,-0.0003379655612776311
2021-11-12,0.014336990956602236
2021-11-15,6.659782116913426e-05
2021-11-16,0.006666622271075839
2021-11-17,0.01649013285670553
2021-11-18,0.02853591101231734
2021-11-19,0.016976020378856926
2021-11-22,0.002927427447181774
2021-11-23,0.002422111352566203
2021-11-24,0.0032835322402020584
2021-11-26,-0.03167847068361773
2021-11-29,0.02187385101168693
2021-11-30,0.03157749863002968
2021-12-01,-0.0032063553781989107
2021-12-02,-0.006129650200726866
2021-12-03,-0.01172473995615586
2021-12-06,0.02150310222964169
2021-12-07,0.03544633729741076
2021-12-08,0.022782882926910997
2021-12-09,-0.002970015731740827
2021-12-10,0.028013257710722828
2021-12-13,-0.020674172861308127
2021-12-14,-0.008023277985977795
2021-12-15,0.028509238233720202
2021-12-16,-0.039263819061357785
2021-12-17,-0.0065019010993432325
2021-12-20,-0.008121833336798945
2021-12-21,0.01908678188841506
2021-12-22,0.01531874780474074
2021-12-23,0.0036438106448322127
2021-12-27,0.02297479426409743
2021-12-28,-0.005767270544916769
2021-12-29,0.0005022118125546093
2021-12-30,-0.006578204350248029
2021-12-31,-0.003535320933901409
2022-01-03,0.02500389602273434
2022-01-04,-0.012691554124973803
2022-01-05,-0.026599750170539616
2022-01-06,-0.01669328794821967
2022-01-07,0.0009884652735896449
2022-01-10,0.00011594589687047296
2022-01-11,0.016783738202581056
2022-01-12,0.002570459647287082
2022-01-13,-0.01902824248687318
2022-01-14,0.0051107268248846704
2022-01-18,-0.01889406203756283
2022-01-19,-0.02102487885322757
2022-01-20,-0.010346910067259296
2022-01-21,-0.012765474595566095
2022-01-24,-0.004863980004758961
2022-01-25,-0.011384768977262594
2022-01-26,-0.0005633391171566693
2022-01-27,-0.0029430950154846203
2022-01-28,0.06977752038123786
2022-01-31,0.026125996106519445
2022-02-01,-0.0009728322268044431
2022-02-02,0.0070442143648663524
2022-02-03,-0.016719830380281908
2022-02-04,-0.0016793083448616297
2022-02-07,-0.004234403805275844
2022-02-08,0.018466551577625223
2022-02-09,0.008293818051351654
2022-02-10,-0.02359894891766745
2022-02-11,-0.02021835109152903
2022-02-14,0.001423011956628084
2022-02-15,0.023152581637229552
2022-02-16,-0.0013890151876004841
2022-02-17,-0.021269197569704357
2022-02-18,-0.00935554994154053
2022-02-22,-0.017812021814951562
2022-02-23,-0.0258644217423587
2022-02-24,0.01668020278863591
2022-02-25,0.012965481384959121
2022-02-28,0.0016376581762298503
2022-03-01,-0.01162781915919009
2022-03-02,0.020588149611996176
2022-03-03,-0.0019812515763677485
2022-03-04,-0.0184082982034407
2022-03-07,-0.02371726939919594
