Date,MARA
2021-08-18,0.004241470464379393
2021-08-19,0.03346324744377793
2021-08-20,0.10845642607710793
2021-08-23,0.042541125110716616
2021-08-24,0.03318828281851349
2021-08-25,0.009215436888805995
2021-08-26,-0.055048278360426695
2021-08-27,0.10988402562397992
2021-08-30,0.008457715077989203
2021-08-31,0.0012333309307202
2021-09-01,0.014535603606058878
2021-09-02,0.024769316420706122
2021-09-03,0.028672963568647347
2021-09-07,-0.09260540133365891
2021-09-08,-0.0533129856984198
2021-09-09,0.04290690358912985
2021-09-10,-0.08099762819796008
2021-09-13,-0.004197020672477514
2021-09-14,-0.02556897565357108
2021-09-15,0.06833906894548258
2021-09-16,-0.019163268531526834
2021-09-17,-0.013758943255381184
2021-09-20,-0.05440850319858748
2021-09-21,-0.01917963183499438
2021-09-22,0.07400718893664404
2021-09-23,0.05602240776633871
2021-09-24,-0.04031831371361383
2021-09-27,-0.027916034486212604
2021-09-28,-0.06880859524986105
2021-09-29,-0.0653434928136929
2021-09-30,0.031688967462041306
2021-10-01,0.05034826627867406
2021-10-04,0.0138680411384704
2021-10-05,0.10585778904327792
2021-10-06,0.04759345316276775
2021-10-07,-0.01386039343472567
2021-10-08,0.02785017075785201
2021-10-11,0.08787027750110199
2021-10-12,-0.04888264708739509
2021-10-13,0.071708278546464
2021-10-14,-0.004567270124640199
2021-10-15,0.12158750214516556
2021-10-18,0.05236247505114622
2021-10-19,0.04781339257519801
2021-10-20,-0.015581527638016013
2021-10-21,-0.040700958353741434
2021-10-22,-0.028481649327939618
2021-10-25,0.10574200645058696
2021-10-26,-0.03346129205173731
2021-10-27,-0.053348461261121916
2021-10-28,0.006994373855266911
2021-10-29,0.03671367952424309
2021-11-01,0.06259564582698496
2021-11-02,0.14105570289699165
2021-11-03,0.02083996694571444
2021-11-04,-0.005722281559332076
2021-11-05,-0.007310642619536956
2021-11-08,0.17988096853382807
2021-11-09,0.010491278275112537
2021-11-10,-0.14785123592387173
2021-11-11,0.09022218436025797
2021-11-12,0.07398494195659588
2021-11-15,-0.2702844723125929
2021-11-16,-0.0005415630535700044
2021-11-17,-0.0798265893843112
2021-11-18,0.010009780449388606
