Date,MU
2021-08-03,0.04147341586068598
2021-08-04,0.013850928521839778
2021-08-05,-0.0059769286944876265
2021-08-06,0.006258654771827077
2021-08-09,-0.021829682108534088
2021-08-10,-0.0536092160141336
2021-08-11,-0.011592923655818432
2021-08-12,-0.0637076608320073
2021-08-13,0.009537386365218392
2021-08-16,0.0001412100598929822
2021-08-17,-0.002114873607264256
2021-08-18,-0.0022605135157153233
2021-08-19,-0.004814446708109932
2021-08-20,-0.0007113665351139442
2021-08-23,0.02150067939860878
2021-08-24,0.0033453960261820015
2021-08-25,0.028619260905959454
2021-08-26,-0.01715291404997632
2021-08-27,0.016902436058530368
2021-08-30,-0.01135144873599303
2021-08-31,0.007381070221495145
2021-09-01,0.0002714486066681676
2021-09-02,0.003662659614526609
2021-09-03,-0.002432827082112232
2021-09-07,-0.002303397155702047
2021-09-08,-0.01860401467803041
2021-09-09,0.00830210224943917
2021-09-10,0.008645716626340949
2021-09-13,0.01156439101328699
2021-09-14,-0.011566880369672128
2021-09-15,0.0044904768865374756
2021-09-16,0.010972565618333485
2021-09-17,-0.00442156873434274
2021-09-20,-0.025975620543104205
2021-09-21,-0.0031783245594897425
2021-09-22,0.02536754470473923
2021-09-23,0.0009463375720555334
2021-09-24,0.00013494249885614984
2021-09-27,0.015259757789236383
2021-09-28,-0.02766678801131528
2021-09-29,-0.019972720103639596
2021-09-30,-0.00782785105633832
2021-10-01,0.00014067360421621267
2021-10-04,-0.0052114550758528555
2021-10-05,-0.0016997857898173319
2021-10-06,-0.007942995462253633
2021-10-07,0.008578882182688652
2021-10-08,-0.005954004770425403
2021-10-11,-0.012835064980357802
2021-10-12,-0.036116428320611016
2021-10-13,-0.005096479702843881
2021-10-14,0.021391937804860595
2021-10-15,-0.0017696787889529553
2021-10-18,-0.006205606725734336
2021-10-19,0.004608924449161167
2021-10-20,0.010359476481804242
2021-10-21,0.005419544946368093
2021-10-22,-0.01646261695168061
2021-10-25,0.018515914571559877
2021-10-26,0.0026176267396302855
2021-10-27,-0.010153724768259154
2021-10-28,0.019636569640387957
2021-10-29,-0.006898300319167383
2021-11-01,0.023154736451009184
2021-11-02,0.0008487103139520613
2021-11-03,0.0069247046166023285
2021-11-04,0.013894964141904165
2021-11-05,0.009412908077355064
2021-11-08,0.022490331790948614
2021-11-09,0.01381431471962058
2021-11-10,-0.028839565626652797
2021-11-11,0.015528929000073743
2021-11-12,0.03688814814744945
2021-11-15,-0.0067269605014064204
2021-11-16,0.0003904463268586955
2021-11-17,-0.017575535151273747
2021-11-18,0.020672758443389228
2021-11-19,0.07803210998983667
2021-11-22,0.009996269936174862
2021-11-23,0.01848315295550451
2021-11-24,0.009366724531579163
2021-11-26,-0.03236308132785237
2021-11-29,0.03260611189690654
2021-11-30,-0.024843141395143653
2021-12-01,0.013690604358629566
2021-12-02,-0.026659064402124066
2021-12-03,-0.015202541713239426
2021-12-06,0.010168957742137552
2021-12-07,0.04099450323118892
2021-12-08,0.002214001515993047
2021-12-09,-0.012671822105655983
2021-12-10,0.007182476068378962
2021-12-13,-0.01391150249780293
2021-12-14,-0.01256683771279532
2021-12-15,0.02845501686609553
2021-12-16,-0.03467206528987299
2021-12-17,0.0037488971191970144
2021-12-20,-0.011686832829991167
2021-12-21,0.10544928789609087
2021-12-22,-0.003749601509524969
2021-12-23,0.04516283755612083
2021-12-27,0.00010616476357561133
2021-12-28,-0.015778893607557354
2021-12-29,0.03475345935678198
2021-12-30,-0.02370806474884668
2021-12-31,-0.006823745455870833
2022-01-03,0.02791183555936283
2022-01-04,0.006161823446539039
2022-01-05,-0.0201367009511354
2022-01-06,0.013241491704969466
2022-01-07,-0.012545822381084593
2022-01-10,-0.005929157667600826
2022-01-11,0.003301671841799081
2022-01-12,0.009660566949344584
2022-01-13,0.00536192941491187
2022-01-14,0.018197338198428614
2022-01-18,-0.04611772714643403
2022-01-19,-0.03090331133619484
2022-01-20,-0.05477772802055714
2022-01-21,-0.03691087861916964
2022-01-24,0.012449664455103537
2022-01-25,-0.026883747388914636
2022-01-26,0.015485787017395003
2022-01-27,-0.039648840038702504
2022-01-28,0.006986832283406574
2022-01-31,0.037845251375196565
2022-02-01,-0.00996687826353082
2022-02-02,0.037568900576578246
2022-02-03,-0.030055532246909267
2022-02-04,-0.009759701287614497
2022-02-07,-0.003695899347847531
2022-02-08,0.04018795304300804
2022-02-09,0.04755118548129866
2022-02-10,0.032909656009724175
