Date,BTC-USD
2021-10-09,0.01853649985027972
2021-10-10,-0.003577422040362044
2021-10-11,0.04953684064585273
2021-10-12,-0.025114999851183484
2021-10-13,0.02426861834211813
2021-10-14,-0.001386283921372633
2021-10-15,0.07453440740995654
2021-10-16,-0.01139348166745524
2021-10-17,0.01086243756414218
2021-10-18,0.007675599893030238
2021-10-19,0.036047967727284025
2021-10-20,0.026934175102288238
2021-10-21,-0.057319313661295834
2021-10-22,-0.024399647264276236
2021-10-23,0.011555863919028075
2021-10-24,-0.007537937512081094
2021-10-25,0.0346128236844363
2021-10-26,-0.04244985266320056
2021-10-27,-0.03116779376295975
2021-10-28,0.03658793903693369
2021-10-29,0.02648913766352501
2021-10-30,-0.005449845794435637
2021-10-31,-0.009208042570786446
2021-11-01,-0.005129747739996526
2021-11-02,0.03642353446805324
2021-11-03,-0.004054563588107407
2021-11-04,-0.024103783966732184
2021-11-05,-0.005313959884109654
2021-11-06,0.006573419146120196
2021-11-07,0.029247220896912562
2021-11-08,0.06695154718111462
2021-11-09,-0.008806096371717143
2021-11-10,-0.029513867421399387
2021-11-11,-0.0006965054346836919
2021-11-12,-0.01222509636324598
2021-11-13,0.0048878705639170406
2021-11-14,0.015469517787564335
2021-11-15,-0.02915932332393234
2021-11-16,-0.05344145330150951
2021-11-17,0.003436857419438999
2021-11-18,-0.05674983989800575
2021-11-19,0.020677857806173483
2021-11-20,0.027144333086984274
2021-11-21,-0.01619370466132397
2021-11-22,-0.041565940596482776
2021-11-23,0.022735855747423095
2021-11-24,-0.02238438701660228
2021-11-25,0.017666069374003168
2021-11-26,-0.06468677053655503
2021-11-27,0.02324655494514305
2021-11-28,0.044392510044424904
2021-11-29,0.009748898117819094
2021-11-30,-0.013858989986877734
2021-12-01,0.003936508510805847
2021-12-02,-0.013140205787574133
2021-12-03,-0.05098586481791345
2021-12-04,-0.08204639683653359
2021-12-05,0.003417522933012007
2021-12-06,0.02458589579002135
2021-12-07,0.002322159783127109
2021-12-08,-0.00385184874717448
2021-12-09,-0.05608726213196957
2021-12-10,-0.00899511908452133
2021-12-11,0.044857216044006165
2021-12-12,0.014906619570362878
2021-12-13,-0.0670851717099511
2021-12-14,-0.00267125345649466
2021-12-15,0.04900151967252708
2021-12-16,-0.025181582897818466
2021-12-17,-0.030699007215741814
2021-12-18,0.013995731563123393
2021-12-19,-0.0030259427628138713
2021-12-20,0.003709543768351198
2021-12-21,0.04386356169401262
2021-12-22,-0.006295931447672265
2021-12-23,0.04433669194360079
2021-12-24,0.0007414904357732066
2021-12-25,-0.007719775485643066
2021-12-26,0.0075284019171428795
2021-12-27,-0.003328070621613999
2021-12-28,-0.06025942562091624
2021-12-29,-0.02404227880624954
2021-12-30,0.01579112126431248
2021-12-31,-0.018476352917798256
2022-01-01,0.029809396471367267
2022-01-02,-0.007163274962024402
2022-01-03,-0.0187368774698079
2022-01-04,-0.012065555013512697
2022-01-05,-0.050734060615097554
2022-01-06,-0.009366159015892994
2022-01-07,-0.03714070469186992
2022-01-08,0.004235994902819673
2022-01-09,0.004256970472081845
2022-01-10,-0.0021554853640055605
2022-01-11,0.021869109453241498
2022-01-12,0.028389418684672707
2022-01-13,-0.030888714484173407
2022-01-14,0.011930269358978673
2022-01-15,0.001802778677309158
2022-01-16,-0.0014711291913973579
2022-01-17,-0.020024366790964976
2022-01-18,0.0029604828561313745
2022-01-19,-0.014897823244158781
2022-01-20,-0.02548634039729203
2022-01-21,-0.10381165615712484
2022-01-22,-0.039143484680769114
2022-01-23,0.03558509252717301
2022-01-24,0.010406744495611076
2022-01-25,0.008175727030871549
2022-01-26,-0.002757016878562668
2022-01-27,0.007763821260712289
2022-01-28,0.017397102127314046
2022-01-29,0.00936493083845824
2022-01-30,-0.005783656346668664
2022-01-31,0.01491453610450133
2022-02-01,0.00676006528835682
2022-02-02,-0.046209029430310355
2022-02-03,0.005456046132945147
2022-02-04,0.116978066100073
2022-02-05,-0.001438787435204647
2022-02-06,0.023437312952531153
2022-02-07,0.033665872045371525
2022-02-08,0.0063448528050995545
2022-02-09,0.004994545046617338
2022-02-10,-0.01744935921313273
2022-02-11,-0.026561982607033352
2022-02-12,-0.0038546734323026133
2022-02-13,-0.001111462077505676
2022-02-14,0.009228086961576842
2022-02-15,0.04668769779745485
2022-02-16,-0.013759752216496501
2022-02-17,-0.07788223029977337
