Date,RIOT
2021-08-18,-0.026556745313167762
2021-08-19,0.005958057229311864
2021-08-20,0.07013715310396007
2021-08-23,0.04078058947014718
2021-08-24,0.05317664568209457
2021-08-25,0.0023917127300894236
2021-08-26,-0.0381760974232388
2021-08-27,0.06312020376456373
2021-08-30,-0.022556363463013263
2021-08-31,-0.010079603724803876
2021-09-01,-0.02197212490700906
2021-09-02,-0.014794545630886113
2021-09-03,-0.0425472418868198
2021-09-07,-0.06738308667616999
2021-09-08,-0.0537215929206063
2021-09-09,0.03175909643965147
2021-09-10,-0.055183397804961176
2021-09-13,-0.010803564925933151
2021-09-14,-0.015699627865205512
2021-09-15,0.05166434685280197
2021-09-16,-0.03165179976549615
2021-09-17,-0.002383438889090539
2021-09-20,-0.06040950841310022
2021-09-21,-0.006175084346307869
2021-09-22,0.05007305925886696
2021-09-23,0.02297249766543996
2021-09-24,-0.049676730683665515
2021-09-27,-0.005728601706547765
2021-09-28,-0.0716600553948431
2021-09-29,-0.035298674289155674
2021-09-30,0.03337353822669353
2021-10-01,0.015564187029406318
2021-10-04,-0.03256706394813702
2021-10-05,0.043168322874767906
2021-10-06,0.010250586795730987
2021-10-07,-0.018414121002595762
2021-10-08,-0.011102638063156145
2021-10-11,0.06968638181870679
2021-10-12,-0.07672815766477015
2021-10-13,0.0050960078243913465
2021-10-14,0.01872080581167035
2021-10-15,0.06623275216889701
2021-10-18,0.07001791127041668
2021-10-19,0.034563782315959024
2021-10-20,0.019785942648754773
2021-10-21,-0.06361323047159251
2021-10-22,-0.03940216801525409
2021-10-25,0.046322469382435116
2021-10-26,-0.03886446815140343
2021-10-27,-0.06504923863325196
2021-10-28,0.035727745674608125
2021-10-29,-0.011619520389791638
2021-11-01,0.03196182443717266
2021-11-02,0.13563543770900877
2021-11-03,0.026959207313073774
2021-11-04,-0.001220912786304651
2021-11-05,-0.037591729941828245
2021-11-08,0.16513175272742076
2021-11-09,0.08639962121271205
2021-11-10,-0.08454588259613782
2021-11-11,0.08331041274311635
2021-11-12,0.1178851502988838
2021-11-15,-0.04752203076222383
2021-11-16,-0.12330716578507495
2021-11-17,-0.043902511642062714
2021-11-18,-0.0467686442254045
2021-11-19,0.07582513101607402
2021-11-22,-0.0754560397791314
2021-11-23,0.08011958876081882
2021-11-24,0.02407968187558507
2021-11-26,-0.0562162657041807
2021-11-29,0.0701603920792373
2021-11-30,0.0
2021-12-01,-0.04736420948231479
2021-12-02,-0.07387633050967146
2021-12-03,-0.13133156417160552
2021-12-06,-0.01745810093071154
2021-12-07,0.054726401880941244
2021-12-08,-0.011455530629782329
2021-12-09,-0.09679618738302542
2021-12-10,-0.018867924528301883
2021-12-13,-0.06269227541410005
2021-12-14,0.022979049924398698
2021-12-15,0.037705596572434
2021-12-16,-0.07692313930847816
2021-12-17,-0.026800645399515655
2021-12-20,-0.030981037884917795
2021-12-21,0.06793955364993853
2021-12-22,-0.01787935182819178
2021-12-23,0.08679081982314951
2021-12-27,0.0070120882213011715
2021-12-28,-0.08510641123690266
2021-12-29,-0.027484128076728842
2021-12-30,0.021739130434782705
2021-12-31,-0.04978723728910406
2022-01-03,0.01836094262485166
2022-01-04,0.07211958690216802
2022-01-05,-0.12059059589469401
2022-01-06,-0.04477616454795885
2022-01-07,-0.005859322976902059
2022-01-10,-0.013261318746051187
2022-01-11,0.038327548626946095
2022-01-12,0.012943362536675052
2022-01-13,-0.046379535312805586
2022-01-14,0.026302764103186993
2022-01-18,-0.09574465730258108
2022-01-19,-0.06470593275158187
2022-01-20,-0.0011435367653177542
2022-01-21,-0.1416714095634486
2022-01-24,0.009003016332920888
2022-01-25,-0.03238597273046162
2022-01-26,-0.0211748915537483
2022-01-27,-0.061409638459602456
2022-01-28,0.09293680429191742
2022-01-31,0.08435372702090893
2022-02-01,0.04705150397853908
2022-02-02,-0.06710609966416259
2022-02-03,-0.05009632294536781
2022-02-04,0.12035157116715611
2022-02-07,0.06819559981453716
2022-02-08,0.0333333405173204
2022-02-09,0.0743574978089998
2022-02-10,-0.01933838005819888
2022-02-11,-0.04670470146084882
2022-02-14,-0.024496502034903167
2022-02-15,0.10100443405336801
2022-02-16,-0.0070957624377404604
2022-02-17,-0.09341500303481653
2022-02-18,-0.04448203295868325
2022-02-22,-0.060106042743718335
2022-02-23,-0.055172421627850854
2022-02-24,0.07830128261920599
2022-02-25,-0.001846196101262021
2022-02-28,0.06226882069287565
2022-03-01,0.015670369410156537
2022-03-02,0.013142830984933074
2022-03-03,-0.09926674115331235
2022-03-04,-0.06574828886525852
2022-03-07,0.0020107059529348437
2022-03-08,0.010033483218617079
2022-03-09,0.11523177001064444
2022-03-10,-0.01959619481685937
2022-03-11,-0.08298000403188777
2022-03-14,-0.06472922547474425
2022-03-15,0.052966102265676884
2022-03-16,0.09926221042136407
2022-03-17,0.12446619838288475
2022-03-18,0.05968531542350597
2022-03-21,0.004608302581854629
2022-03-22,0.057594246301304164
2022-03-23,0.004337356751223709
2022-03-24,0.03358928780298154
2022-03-25,-0.03621172950290985
2022-03-28,0.10115608662412967
2022-03-29,0.006124207607634435
2022-03-30,-0.04173909062924597
2022-03-31,-0.03947372064855392
2022-04-01,-0.020784153635895697
2022-04-04,-0.0019295228684020893
2022-04-05,-0.07056553669092447
2022-04-06,-0.08164325180434395
2022-04-07,-0.013590021132040553
2022-04-08,-0.04247989482647563
2022-04-11,-0.0461630961436339
2022-04-12,-0.02765553643011942
2022-04-13,0.034906267132000623
2022-04-14,-0.06495939706339793
2022-04-18,-0.01202406826753566
2022-04-19,0.006085203030427477
2022-04-20,-0.06250002002844235
2022-04-21,-0.08243724976730693
2022-04-22,-0.07421873399289336
2022-04-25,0.016033719347419373
2022-04-26,-0.07973422269008223
2022-04-27,-0.009025305248944404
2022-04-28,-0.00364298392719975
2022-04-29,-0.07312607566229157
2022-05-02,0.08185403309701211
2022-05-03,-0.011850511511074746
2022-05-04,0.06734313025466632
2022-05-05,-0.11927399747972822
2022-05-06,-0.0686947829333282
2022-05-09,-0.19178079438560158
2022-05-10,-0.018252915918254065
2022-05-11,-0.09163347118127374
2022-05-12,0.06871341808579157
2022-05-13,0.09028725753466316
2022-05-16,-0.09786697032678782
2022-05-17,0.059805260767251456
2022-05-18,-0.0905511899715512
2022-05-19,0.02886007085951725
2022-05-20,-0.04067320577816946
2022-05-23,0.0029239737544373146
